siteID,plotID,individualID,scientificName,taxonID,status,reason
HARV,HARV_045,NEON.PLA.D01.HARV.02410,Pinus strobus L.,PIST,UNMEASURED,Never measured in survey campaigns
HARV,HARV_024,NEON.PLA.D01.HARV.02714,Unknown plant,2PLANT,UNMEASURED,Never measured in survey campaigns
HARV,HARV_044,NEON.PLA.D01.HARV.08395,Unknown plant,2PLANT,UNMEASURED,Never measured in survey campaigns
HARV,HARV_052,NEON.PLA.D01.HARV.03593,Tsuga canadensis (L.) Carrière,TSCA,UNMEASURED,Never measured in survey campaigns
HARV,HARV_049,NEON.PLA.D01.HARV.05077,Unknown plant,2PLANT,UNMEASURED,Never measured in survey campaigns
HARV,HARV_050,NEON.PLA.D01.HARV.00468,Pinus resinosa Aiton,PIRE,UNMEASURED,Never measured in survey campaigns
HARV,HARV_035,NEON.PLA.D01.HARV.04651,Tsuga canadensis (L.) Carrière,TSCA,UNMEASURED,Never measured in survey campaigns
HARV,HARV_036,NEON.PLA.D01.HARV.00347,Acer pensylvanicum L.,ACPE,UNMEASURED,Never measured in survey campaigns
HARV,HARV_034,NEON.PLA.D01.HARV.11500,Betula lenta L.,BELE,UNMEASURED,Never measured in survey campaigns
HARV,HARV_020,NEON.PLA.D01.HARV.01976,Ostrya virginiana (Mill.) K. Koch,OSVI,UNMEASURED,Never measured in survey campaigns
HARV,HARV_048,NEON.PLA.D01.HARV.03736,Tsuga canadensis (L.) Carrière,TSCA,UNMEASURED,Never measured in survey campaigns
HARV,HARV_046,NEON.PLA.D01.HARV.04398,Unknown plant,2PLANT,UNMEASURED,Never measured in survey campaigns
HARV,HARV_043,NEON.PLA.D01.HARV.03510,Tsuga canadensis (L.) Carrière,TSCA,UNMEASURED,Never measured in survey campaigns
HARV,HARV_033,NEON.PLA.D01.HARV.03591,Unknown plant,2PLANT,UNMEASURED,Never measured in survey campaigns
HARV,HARV_045,NEON.PLA.D01.HARV.02891,Acer pensylvanicum L.,ACPE,UNMEASURED,Never measured in survey campaigns
HARV,HARV_035,NEON.PLA.D01.HARV.04516,Tsuga canadensis (L.) Carrière,TSCA,UNMEASURED,Never measured in survey campaigns
HARV,HARV_047,NEON.PLA.D01.HARV.08320,Unknown plant,2PLANT,UNMEASURED,Never measured in survey campaigns
HARV,HARV_036,NEON.PLA.D01.HARV.00139,Acer pensylvanicum L.,ACPE,UNMEASURED,Never measured in survey campaigns
HARV,HARV_041,NEON.PLA.D01.HARV.09270,Unknown plant,2PLANT,UNMEASURED,Never measured in survey campaigns
HARV,HARV_036,NEON.PLA.D01.HARV.00431,Acer pensylvanicum L.,ACPE,UNMEASURED,Never measured in survey campaigns
HARV,HARV_045,NEON.PLA.D01.HARV.02488,Acer pensylvanicum L.,ACPE,UNMEASURED,Never measured in survey campaigns
HARV,HARV_048,NEON.PLA.D01.HARV.03730,Tsuga canadensis (L.) Carrière,TSCA,UNMEASURED,Never measured in survey campaigns
HARV,HARV_033,NEON.PLA.D01.HARV.05835,Unknown plant,2PLANT,UNMEASURED,Never measured in survey campaigns
HARV,HARV_050,NEON.PLA.D01.HARV.00474A,Tsuga canadensis (L.) Carrière,TSCA,UNMEASURED,Never measured in survey campaigns
HARV,HARV_049,NEON.PLA.D01.HARV.05087,Unknown plant,2PLANT,UNMEASURED,Never measured in survey campaigns
HARV,HARV_048,NEON.PLA.D01.HARV.05502A,Tsuga canadensis (L.) Carrière,TSCA,UNMEASURED,Never measured in survey campaigns
HARV,HARV_050,NEON.PLA.D01.HARV.00400,Tsuga canadensis (L.) Carrière,TSCA,UNMEASURED,Never measured in survey campaigns
HARV,HARV_034,NEON.PLA.D01.HARV.05143,Unknown plant,2PLANT,UNMEASURED,Never measured in survey campaigns
HARV,HARV_020,NEON.PLA.D01.HARV.09756,Pinus strobus L.,PIST,UNMEASURED,Never measured in survey campaigns
HARV,HARV_033,NEON.PLA.D01.HARV.03539,Tsuga canadensis (L.) Carrière,TSCA,UNMEASURED,Never measured in survey campaigns
HARV,HARV_048,NEON.PLA.D01.HARV.03761,Tsuga canadensis (L.) Carrière,TSCA,UNMEASURED,Never measured in survey campaigns
HARV,HARV_043,NEON.PLA.D01.HARV.02471,Tsuga canadensis (L.) Carrière,TSCA,UNMEASURED,Never measured in survey campaigns
HARV,HARV_020,NEON.PLA.D01.HARV.02052,Betula alleghaniensis Britton,BEAL2,UNMEASURED,Never measured in survey campaigns
HARV,HARV_045,NEON.PLA.D01.HARV.02877,Fagus grandifolia Ehrh.,FAGR,UNMEASURED,Never measured in survey campaigns
HARV,HARV_033,NEON.PLA.D01.HARV.05833A,Unknown plant,2PLANT,UNMEASURED,Never measured in survey campaigns
HARV,HARV_050,NEON.PLA.D01.HARV.00693,Kalmia latifolia L.,KALA,UNMEASURED,Never measured in survey campaigns
HARV,HARV_050,NEON.PLA.D01.HARV.00643,Tsuga canadensis (L.) Carrière,TSCA,UNMEASURED,Never measured in survey campaigns
HARV,HARV_050,NEON.PLA.D01.HARV.00445,Acer rubrum L.,ACRU,UNMEASURED,Never measured in survey campaigns
HARV,HARV_049,NEON.PLA.D01.HARV.08083,Unknown plant,2PLANT,UNMEASURED,Never measured in survey campaigns
HARV,HARV_036,NEON.PLA.D01.HARV.00157,Acer pensylvanicum L.,ACPE,UNMEASURED,Never measured in survey campaigns
HARV,HARV_036,NEON.PLA.D01.HARV.00225,Acer pensylvanicum L.,ACPE,UNMEASURED,Never measured in survey campaigns
HARV,HARV_051,NEON.PLA.D01.HARV.08504,Unknown plant,2PLANT,UNMEASURED,Never measured in survey campaigns
HARV,HARV_048,NEON.PLA.D01.HARV.03762,Tsuga canadensis (L.) Carrière,TSCA,UNMEASURED,Never measured in survey campaigns
HARV,HARV_046,NEON.PLA.D01.HARV.04393,Unknown plant,2PLANT,UNMEASURED,Never measured in survey campaigns
HARV,HARV_049,NEON.PLA.D01.HARV.05090,Unknown plant,2PLANT,UNMEASURED,Never measured in survey campaigns
HARV,HARV_040,NEON.PLA.D01.HARV.09151,Unknown plant,2PLANT,UNMEASURED,Never measured in survey campaigns
HARV,HARV_051,NEON.PLA.D01.HARV.08523,Unknown plant,2PLANT,UNMEASURED,Never measured in survey campaigns
HARV,HARV_045,NEON.PLA.D01.HARV.02429,Pinus strobus L.,PIST,UNMEASURED,Never measured in survey campaigns
HARV,HARV_033,NEON.PLA.D01.HARV.03566,Tsuga canadensis (L.) Carrière,TSCA,UNMEASURED,Never measured in survey campaigns
HARV,HARV_033,NEON.PLA.D01.HARV.03557,Fagus grandifolia Ehrh.,FAGR,UNMEASURED,Never measured in survey campaigns
HARV,HARV_020,NEON.PLA.D01.HARV.01960,Carpinus caroliniana Walter ssp. virginiana (Marshall) Furlow,CACAV,UNMEASURED,Never measured in survey campaigns
HARV,HARV_048,NEON.PLA.D01.HARV.03798,Tsuga canadensis (L.) Carrière,TSCA,UNMEASURED,Never measured in survey campaigns
HARV,HARV_008,NEON.PLA.D01.HARV.01313A,Betula lenta L.,BELE,UNMEASURED,Never measured in survey campaigns
HARV,HARV_044,NEON.PLA.D01.HARV.08386,Unknown plant,2PLANT,UNMEASURED,Never measured in survey campaigns
HARV,HARV_050,NEON.PLA.D01.HARV.00733,Tsuga canadensis (L.) Carrière,TSCA,UNMEASURED,Never measured in survey campaigns
