siteID,plotID,year,plotArea_m2,tree_AGBJenkins,tree_AGBChojnacky,tree_AGBAnnighofer,n_trees,small_woody_AGBJenkins,small_woody_AGBChojnacky,small_woody_AGBAnnighofer,n_small_woody_total,n_small_woody_measured,n_unaccounted_trees,total_AGBJenkins,total_AGBChojnacky,total_AGBAnnighofer,growth,growth_cumu
SJER,SJER_002,2016,1600,0.124433508084595,0.11909839456131499,0.0,3,0.124433508084595,0.11909839456131499,,1,1,0,0.24886701616919,0.23819678912262998,0.0,,-0.008157570893996874
SJER,SJER_002,2022,1600,0.19992159080520874,0.19160353192363,0.0,2,0.0,0.0,0.0,0,0,0,0.19992159080520874,0.19160353192363,0.0,-0.008157570893996874,-0.008157570893996874
SJER,SJER_003,2016,1600,26.02296244695142,1.8427768072052313,0.0,5,0.0,0.0,0.0,0,0,0,26.02296244695142,1.8427768072052313,0.0,,0.5762571010814485
SJER,SJER_003,2019,1600,27.355414867946863,2.15434833700912,0.0,6,0.0,0.0,0.0,0,0,0,27.355414867946863,2.15434833700912,0.0,0.44415080699848036,0.5762571010814485
SJER,SJER_003,2022,1600,29.37049270117818,2.182134855291843,0.0,6,0.11001235226193211,0.10505575288912575,,2,2,0,29.480505053440112,2.287190608180969,0.0,0.7083633951644165,0.5762571010814485
SJER,SJER_004,2016,1600,2.6263637621988174,2.528567281088481,0.0,3,,,,15,0,0,2.6263637621988174,2.528567281088481,0.0,,0.17481946439034304
SJER,SJER_004,2019,1600,3.4287332677137257,3.3040960103493466,0.0,3,,,,19,0,0,3.4287332677137257,3.3040960103493466,0.0,0.2674565018383028,0.17481946439034304
SJER,SJER_004,2022,1600,3.6752805485408757,3.542498505751443,0.0,3,,,,5,0,0,3.6752805485408757,3.542498505751443,0.0,0.08218242694238335,0.17481946439034304
SJER,SJER_005,2016,1600,0.0,0.0,0.0,0,,,,61,0,0,0.0,0.0,0.0,,0.0
SJER,SJER_005,2019,1600,0.0,0.0,0.0,0,,,,91,0,0,0.0,0.0,0.0,0.0,0.0
SJER,SJER_005,2022,1600,0.0,0.0,0.0,0,,,,27,0,0,0.0,0.0,0.0,0.0,0.0
SJER,SJER_006,2016,1600,0.0,0.0,0.0,0,,,,3,0,1,0.0,0.0,0.0,,0.0
SJER,SJER_006,2019,1600,0.0,0.0,0.0,0,,,,3,0,1,0.0,0.0,0.0,0.0,0.0
