siteID,plotID,individualID,scientificName,taxonID,status,reason
SJER,SJER_051,NEON.PLA.D17.SJER.00269A,Quercus wislizeni A. DC.,QUWI2,UNMEASURED,Never measured in survey campaigns
SJER,SJER_027,NEON.PLA.D17.SJER.05497Z,Aesculus californica (Spach) Nutt.,AECA,UNMEASURED,Never measured in survey campaigns
SJER,SJER_057,NEON.PLA.D17.SJER.00052,Unknown plant,2PLANT,UNMEASURED,Never measured in survey campaigns
SJER,SJER_052,NEON.PLA.D17.SJER.04181,Toxicodendron diversilobum (Torr. & A. Gray) Greene,TODI,UNMEASURED,Never measured in survey campaigns
SJER,SJER_001,NEON.PLA.D17.SJER.04789,Quercus wislizeni A. DC.,QUWI2,UNMEASURED,Never measured in survey campaigns
SJER,SJER_052,NEON.PLA.D17.SJER.00216C,Quercus wislizeni A. DC.,QUWI2,UNMEASURED,Never measured in survey campaigns
SJER,SJER_006,NEON.PLA.D17.SJER.05496,Quercus douglasii Hook. & Arn.,QUDO,UNMEASURED,Never measured in survey campaigns
SJER,SJER_008,NEON.PLA.D17.SJER.04791,Pinus sabiniana Douglas ex Douglas,PISA2,UNMEASURED,Never measured in survey campaigns
SJER,SJER_012,NEON.PLA.D17.SJER.04787,Sambucus nigra L.,SANI4,UNMEASURED,Never measured in survey campaigns
SJER,SJER_048,NEON.PLA.D17.SJER.04442,Quercus wislizeni A. DC.,QUWI2,UNMEASURED,Never measured in survey campaigns
SJER,SJER_007,NEON.PLA.D17.SJER.05447Z,Quercus douglasii Hook. & Arn.,QUDO,UNMEASURED,Never measured in survey campaigns
SJER,SJER_016,NEON.PLA.D17.SJER.09976,Ceanothus cuneatus (Hook.) Nutt.,CECU,UNMEASURED,Never measured in survey campaigns
SJER,SJER_052,NEON.PLA.D17.SJER.00216B,Quercus wislizeni A. DC.,QUWI2,UNMEASURED,Never measured in survey campaigns
SJER,SJER_014,NEON.PLA.D17.SJER.08544,Quercus wislizeni A. DC.,QUWI2,UNMEASURED,Never measured in survey campaigns
SJER,SJER_008,NEON.PLA.D17.SJER.05499,Toxicodendron diversilobum (Torr. & A. Gray) Greene,TODI,UNMEASURED,Never measured in survey campaigns
SJER,SJER_059,NEON.PLA.D17.SJER.00080,,,NO_ALLOMETRY,Has diameter measurements but no biomass estimates
SJER,SJER_058,NEON.PLA.D17.SJER.00283,,,NO_ALLOMETRY,Has diameter measurements but no biomass estimates
SJER,SJER_045,NEON.PLA.D17.SJER.00132,Ceanothus leucodermis Greene,CELE2,NO_ALLOMETRY,Has diameter measurements but no biomass estimates
SJER,SJER_045,NEON.PLA.D17.SJER.00101,Ceanothus leucodermis Greene,CELE2,NO_ALLOMETRY,Has diameter measurements but no biomass estimates
SJER,SJER_012,NEON.PLA.D17.SJER.04909,Toxicodendron diversilobum (Torr. & A. Gray) Greene,TODI,NO_ALLOMETRY,Has diameter measurements but no biomass estimates
SJER,SJER_045,NEON.PLA.D17.SJER.00207K,Quercus wislizeni A. DC.,QUWI2,NO_ALLOMETRY,Has diameter measurements but no biomass estimates
SJER,SJER_047,NEON.PLA.D17.SJER.00291A,Quercus wislizeni A. DC.,QUWI2,NO_ALLOMETRY,Has diameter measurements but no biomass estimates
