siteID,plotID,individualID,year,AGBJenkins,AGBChojnacky,AGBAnnighofer,growth_AGBJenkins,growth_cumu_AGBJenkins,growth_AGBChojnacky,growth_cumu_AGBChojnacky,growth_AGBAnnighofer,growth_cumu_AGBAnnighofer,stemDiameter,height,plantStatus,corrected_is_dead,scientificName,taxonID,genus,family,taxonRank,pointID,stemDistance,stemAzimuth
TALL,TALL_003,NEON.PLA.D08.TALL.00072,2015,51.6743212300807,47.4672211589137,0.0,,,,,,,11.9,10.0,Live,False,Acer rubrum L.,ACRU,Acer,Aceraceae,species,,,
TALL,TALL_009,NEON.PLA.D08.TALL.00129,2015,132.146072699293,127.150798628237,0.0,,0.0,,0.0,,0.0,17.0,13.2,Live,False,Quercus alba L.,QUAL,Quercus,Fagaceae,species,41,3.9,315.0
TALL,TALL_009,NEON.PLA.D08.TALL.00129,2023,132.146072699293,127.150798628237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.6,14.9,Live,False,Quercus alba L.,QUAL,Quercus,Fagaceae,species,41,3.9,315.0
TALL,TALL_009,NEON.PLA.D08.TALL.00167,2015,69.7992925078402,75.183534629269,0.0,,,,,,,16.2,16.0,Live,False,Pinus taeda L.,PITA,Pinus,Pinaceae,species,41,2.0,222.0
TALL,TALL_009,NEON.PLA.D08.TALL.00172,2015,71.3832898751995,68.5668568053183,0.0,,0.0,,0.0,,0.0,13.2,11.6,Live,False,Quercus alba L.,QUAL,Quercus,Fagaceae,species,41,9.0,185.0
TALL,TALL_009,NEON.PLA.D08.TALL.00172,2023,71.3832898751995,68.5668568053183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.4,9.7,"Live, disease damaged",False,Quercus alba L.,QUAL,Quercus,Fagaceae,species,41,9.0,185.0
TALL,TALL_009,NEON.PLA.D08.TALL.00177,2015,82.3759356969086,79.1574527399836,0.0,,0.0,,0.0,,0.0,14.0,13.8,Live,False,Quercus alba L.,QUAL,Quercus,Fagaceae,species,41,3.9,229.0
TALL,TALL_009,NEON.PLA.D08.TALL.00177,2023,82.3759356969086,79.1574527399836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,13.1,Live,False,Quercus alba L.,QUAL,Quercus,Fagaceae,species,41,3.9,229.0
TALL,TALL_009,NEON.PLA.D08.TALL.00205,2015,259.960632683095,313.910473424874,0.0,,,,,,,27.8,16.1,Live,False,Pinus taeda L.,PITA,Pinus,Pinaceae,species,41,7.3,50.5
TALL,TALL_009,NEON.PLA.D08.TALL.00207,2015,91.2353658355506,87.6957600016173,0.0,,0.0,,0.0,,0.0,14.6,14.3,Live,False,Quercus alba L.,QUAL,Quercus,Fagaceae,species,41,5.1,66.0
TALL,TALL_009,NEON.PLA.D08.TALL.00207,2023,91.2353658355506,87.6957600016173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.9,15.6,Live,False,Quercus alba L.,QUAL,Quercus,Fagaceae,species,41,5.1,66.0
TALL,TALL_009,NEON.PLA.D08.TALL.00212,2015,68.7790866715438,66.0585441594021,0.0,,,,,,,13.0,11.4,Live,False,Quercus alba L.,QUAL,Quercus,Fagaceae,species,41,9.6,85.9
TALL,TALL_047,NEON.PLA.D08.TALL.00213,2015,311.604131770935,327.546109623754,0.0,,29.348285013898916,,31.56882177230982,,0.0,27.4,22.7,Live,False,Liquidambar styraciflua L.,LIST2,Liquidambar,Hamamelidaceae,species,23,14.2,339.5
TALL,TALL_047,NEON.PLA.D08.TALL.00213,2016,106.749969746088,109.198441513568,0.0,-204.854162024847,29.348285013898916,-218.34766811018596,31.56882177230982,0.0,0.0,17.8,22.9,Live,False,Liquidambar styraciflua L.,LIST2,Liquidambar,Hamamelidaceae,species,23,14.2,339.5
