siteID,plotID,year,plotArea_m2,tree_AGBJenkins,tree_AGBChojnacky,tree_AGBAnnighofer,n_trees,small_woody_AGBJenkins,small_woody_AGBChojnacky,small_woody_AGBAnnighofer,n_small_woody_total,n_small_woody_measured,n_unaccounted_trees,total_AGBJenkins,total_AGBChojnacky,total_AGBAnnighofer,growth,growth_cumu
TALL,TALL_001,2015,1600,78.66934267470066,88.34446959606831,0.0,23,0.12962368754667397,0.09886145004185622,,40,34,57,78.79896636224733,88.44333104611016,0.0,,-1.1273203659008473
TALL,TALL_001,2020,1600,70.87390327040637,79.75901350505775,0.0,23,0.3105880478692222,0.3585294838009899,0.451991024687185,37,17,57,71.18449131827559,80.11754298885874,0.451991024687185,-1.5228950087943474,-1.1273203659008473
TALL,TALL_001,2023,1600,69.78763554623482,78.10317650800576,0.0,24,0.3523812005270913,0.4266392698586393,,29,12,57,70.14001674676192,78.5298157778644,0.0,-0.34815819050455826,-1.1273203659008473
TALL,TALL_002,2015,1600,34.00710194143486,36.16695469283854,0.0,42,0.6468067144184577,0.6679017175813737,0.08015777946071771,56,54,9,34.65390865585332,36.83485641041991,0.08015777946071771,,-0.40047156289948066
TALL,TALL_002,2020,1600,28.228139836326935,27.793825751876394,0.0,39,1.017832682087495,1.083509268458917,0.47989143528058315,65,53,9,29.24597251841443,28.877335020335313,0.47989143528058315,-1.0815872274877782,-0.40047156289948066
TALL,TALL_002,2023,1600,31.223544345690215,30.82730367965364,0.0,35,0.8457878656838936,0.9348401813010444,0.2733572786463771,41,32,9,32.06933221137411,31.762143860954684,0.2733572786463771,0.9411198976532269,-0.40047156289948066
TALL,TALL_003,2015,1600,0.32296450768800433,0.29667013224321065,0.0,1,0.0967352820190434,0.06504893244307873,,66,47,11,0.41969978970704774,0.3617190646862894,0.0,,-0.05246247371338097
TALL,TALL_003,2023,1600,0.0,0.0,0.0,7,,,,29,0,11,0.0,0.0,0.0,-0.05246247371338097,-0.05246247371338097
TALL,TALL_004,2015,1600,21.895107440528466,27.360756277916416,0.0,11,0.16034976433915749,0.08063848047654769,,49,25,2,22.055457204867626,27.441394758392963,0.0,,-0.4141558831188705
TALL,TALL_004,2023,1600,18.74221013991666,23.327745927118837,0.0,10,,,,50,0,2,18.74221013991666,23.327745927118837,0.0,-0.4141558831188705,-0.4141558831188705
TALL,TALL_005,2015,1600,11.901783687191035,3.3619033439520636,0.0,3,0.0051842288034820135,0.005698350879654476,,12,9,34,11.906967915994517,3.367601694831718,0.0,,-0.0521338710463301
TALL,TALL_005,2020,1600,10.867829203208414,0.6288780932790625,0.0,3,0.03757708312661192,0.02817672644729225,0.7350810815811774,65,46,34,10.905406286335026,0.6570548197263548,0.7350810815811774,-0.20031232593189827,-0.0521338710463301
TALL,TALL_005,2023,1600,11.589490074958627,0.6552580649136018,0.0,4,0.03511455892485606,0.027192072820460888,0.6351735702290326,60,35,34,11.624604633883484,0.6824501377340627,0.6351735702290326,0.23973278251615268,-0.0521338710463301
TALL,TALL_006,2015,1600,34.636811213502824,40.834661776358615,0.0,10,0.11046146713160178,0.07287391038184916,0.4032072967777216,50,45,17,34.747272680634424,40.90753568674047,0.4032072967777216,,0.24217455276469255
TALL,TALL_006,2020,1600,35.80944145796487,42.253420659667704,0.0,10,0.23828132671541444,0.19358524321406292,0.5982627404654719,74,47,17,36.04772278468029,42.44700590288177,0.5982627404654719,0.260090020809173,0.24217455276469255
