siteID,plotID,individualID,scientificName,taxonID,status,reason
TALL,TALL_003,NEON.PLA.D08.TALL.13098Z,Quercus falcata Michx.,QUFA,UNMEASURED,Never measured in survey campaigns
TALL,TALL_020,NEON.PLA.D08.TALL.02508,Oxydendrum arboreum (L.) DC.,OXAR,UNMEASURED,Never measured in survey campaigns
TALL,TALL_022,NEON.PLA.D08.TALL.01523,Vaccinium arboreum Marshall,VAAR,UNMEASURED,Never measured in survey campaigns
TALL,TALL_048,NEON.PLA.D08.TALL.00527,Rhus sp.,RHUS,UNMEASURED,Never measured in survey campaigns
TALL,TALL_011,NEON.PLA.D08.TALL.01594,Callicarpa americana L.,CAAM2,UNMEASURED,Never measured in survey campaigns
TALL,TALL_051,NEON.PLA.D08.TALL.04141A,Quercus nigra L.,QUNI,UNMEASURED,Never measured in survey campaigns
TALL,TALL_016,NEON.PLA.D08.TALL.01338,Liquidambar styraciflua L.,LIST2,UNMEASURED,Never measured in survey campaigns
TALL,TALL_016,NEON.PLA.D08.TALL.01256,Quercus marilandica Münchh.,QUMA3,UNMEASURED,Never measured in survey campaigns
TALL,TALL_022,NEON.PLA.D08.TALL.01571,Pinus taeda L.,PITA,UNMEASURED,Never measured in survey campaigns
TALL,TALL_060,NEON.PLA.D08.TALL.00351,Sassafras albidum (Nutt.) Nees,SAAL5,UNMEASURED,Never measured in survey campaigns
TALL,TALL_015,NEON.PLA.D08.TALL.01196,Oxydendrum arboreum (L.) DC.,OXAR,UNMEASURED,Never measured in survey campaigns
TALL,TALL_007,NEON.PLA.D08.TALL.01029,Quercus laevis Walter,QULA2,UNMEASURED,Never measured in survey campaigns
TALL,TALL_017,NEON.PLA.D08.TALL.02035,Quercus falcata Michx.,QUFA,UNMEASURED,Never measured in survey campaigns
TALL,TALL_053,NEON.PLA.D08.TALL.02926,Quercus falcata Michx.,QUFA,UNMEASURED,Never measured in survey campaigns
TALL,TALL_061,NEON.PLA.D08.TALL.02562,Rhus copallinum L.,RHCO,UNMEASURED,Never measured in survey campaigns
TALL,TALL_022,NEON.PLA.D08.TALL.01539,Oxydendrum arboreum (L.) DC.,OXAR,UNMEASURED,Never measured in survey campaigns
TALL,TALL_007,NEON.PLA.D08.TALL.00954,Smilax rotundifolia L.,SMRO,UNMEASURED,Never measured in survey campaigns
TALL,TALL_016,NEON.PLA.D08.TALL.01341,Carya tomentosa (Lam.) Nutt.,CATO6,UNMEASURED,Never measured in survey campaigns
TALL,TALL_020,NEON.PLA.D08.TALL.02600,Oxydendrum arboreum (L.) DC.,OXAR,UNMEASURED,Never measured in survey campaigns
TALL,TALL_001,NEON.PLA.D08.TALL.02126,Carya glabra (Mill.) Sweet,CAGL8,UNMEASURED,Never measured in survey campaigns
TALL,TALL_053,NEON.PLA.D08.TALL.02980,Oxydendrum arboreum (L.) DC.,OXAR,UNMEASURED,Never measured in survey campaigns
TALL,TALL_054,NEON.PLA.D08.TALL.02341,Pinus palustris Mill.,PIPA2,UNMEASURED,Never measured in survey campaigns
TALL,TALL_011,NEON.PLA.D08.TALL.01638,Pinus taeda L.,PITA,UNMEASURED,Never measured in survey campaigns
TALL,TALL_055,NEON.PLA.D08.TALL.01952,Quercus falcata Michx.,QUFA,UNMEASURED,Never measured in survey campaigns
TALL,TALL_057,NEON.PLA.D08.TALL.02366,Vaccinium arboreum Marshall,VAAR,UNMEASURED,Never measured in survey campaigns
TALL,TALL_005,NEON.PLA.D08.TALL.00551,Liquidambar styraciflua L.,LIST2,UNMEASURED,Never measured in survey campaigns
TALL,TALL_053,NEON.PLA.D08.TALL.02934,Oxydendrum arboreum (L.) DC.,OXAR,UNMEASURED,Never measured in survey campaigns
TALL,TALL_053,NEON.PLA.D08.TALL.02978,Liquidambar styraciflua L.,LIST2,UNMEASURED,Never measured in survey campaigns
TALL,TALL_005,NEON.PLA.D08.TALL.00546,Cornus florida L.,COFL2,UNMEASURED,Never measured in survey campaigns
TALL,TALL_022,NEON.PLA.D08.TALL.01514,Sassafras albidum (Nutt.) Nees,SAAL5,UNMEASURED,Never measured in survey campaigns
TALL,TALL_051,NEON.PLA.D08.TALL.02162,Carya sp.,CARYA,UNMEASURED,Never measured in survey campaigns
TALL,TALL_013,NEON.PLA.D08.TALL.02022,Vitis rotundifolia Michx.,VIRO3,UNMEASURED,Never measured in survey campaigns
TALL,TALL_056,NEON.PLA.D08.TALL.02617,Vaccinium arboreum Marshall,VAAR,UNMEASURED,Never measured in survey campaigns
TALL,TALL_053,NEON.PLA.D08.TALL.02972,Quercus stellata Wangenh.,QUST,UNMEASURED,Never measured in survey campaigns
TALL,TALL_045,NEON.PLA.D08.TALL.03025,Vaccinium arboreum Marshall,VAAR,UNMEASURED,Never measured in survey campaigns
TALL,TALL_022,NEON.PLA.D08.TALL.01559,Pinus taeda L.,PITA,UNMEASURED,Never measured in survey campaigns
TALL,TALL_005,NEON.PLA.D08.TALL.00544,Oxydendrum arboreum (L.) DC.,OXAR,UNMEASURED,Never measured in survey campaigns
TALL,TALL_022,NEON.PLA.D08.TALL.01516,Oxydendrum arboreum (L.) DC.,OXAR,UNMEASURED,Never measured in survey campaigns
TALL,TALL_007,NEON.PLA.D08.TALL.00902,Vaccinium elliottii Chapm.,VAEL,UNMEASURED,Never measured in survey campaigns
TALL,TALL_001,NEON.PLA.D08.TALL.02184,Acer rubrum L.,ACRU,UNMEASURED,Never measured in survey campaigns
TALL,TALL_020,NEON.PLA.D08.TALL.02551,Liquidambar styraciflua L.,LIST2,UNMEASURED,Never measured in survey campaigns
TALL,TALL_057,NEON.PLA.D08.TALL.02364,Vaccinium arboreum Marshall,VAAR,UNMEASURED,Never measured in survey campaigns
TALL,TALL_053,NEON.PLA.D08.TALL.02971,Vaccinium arboreum Marshall,VAAR,UNMEASURED,Never measured in survey campaigns
TALL,TALL_022,NEON.PLA.D08.TALL.01581,Oxydendrum arboreum (L.) DC.,OXAR,UNMEASURED,Never measured in survey campaigns
TALL,TALL_006,NEON.PLA.D08.TALL.01803,Rhus copallinum L.,RHCO,UNMEASURED,Never measured in survey campaigns
TALL,TALL_053,NEON.PLA.D08.TALL.02915,Oxydendrum arboreum (L.) DC.,OXAR,UNMEASURED,Never measured in survey campaigns
TALL,TALL_001,NEON.PLA.D08.TALL.02180,Quercus stellata Wangenh.,QUST,UNMEASURED,Never measured in survey campaigns
TALL,TALL_052,NEON.PLA.D08.TALL.12772Z,Quercus marilandica Münchh.,QUMA3,UNMEASURED,Never measured in survey campaigns
TALL,TALL_053,NEON.PLA.D08.TALL.02925,Carya tomentosa (Lam.) Nutt.,CATO6,UNMEASURED,Never measured in survey campaigns
TALL,TALL_054,NEON.PLA.D08.TALL.04405,Vaccinium arboreum Marshall,VAAR,UNMEASURED,Never measured in survey campaigns
TALL,TALL_005,NEON.PLA.D08.TALL.00552,Sassafras albidum (Nutt.) Nees,SAAL5,UNMEASURED,Never measured in survey campaigns
TALL,TALL_042,NEON.PLA.D08.TALL.03381,Acer rubrum L.,ACRU,UNMEASURED,Never measured in survey campaigns
TALL,TALL_022,NEON.PLA.D08.TALL.01555,Liquidambar styraciflua L.,LIST2,UNMEASURED,Never measured in survey campaigns
TALL,TALL_020,NEON.PLA.D08.TALL.02534,Acer barbatum Michx.,ACBA3,UNMEASURED,Never measured in survey campaigns
TALL,TALL_061,NEON.PLA.D08.TALL.02540,Liquidambar styraciflua L.,LIST2,UNMEASURED,Never measured in survey campaigns
TALL,TALL_061,NEON.PLA.D08.TALL.02584,Rhus copallinum L.,RHCO,UNMEASURED,Never measured in survey campaigns
TALL,TALL_005,NEON.PLA.D08.TALL.13096Z,Quercus falcata Michx.,QUFA,UNMEASURED,Never measured in survey campaigns
TALL,TALL_047,NEON.PLA.D08.TALL.00230,Liriodendron tulipifera L.,LITU,UNMEASURED,Never measured in survey campaigns
TALL,TALL_001,NEON.PLA.D08.TALL.01910,Quercus marilandica Münchh.,QUMA3,UNMEASURED,Never measured in survey campaigns
TALL,TALL_053,NEON.PLA.D08.TALL.02924,Carya tomentosa (Lam.) Nutt.,CATO6,UNMEASURED,Never measured in survey campaigns
TALL,TALL_052,NEON.PLA.D08.TALL.12774Z,Nyssa sylvatica Marshall,NYSY,UNMEASURED,Never measured in survey campaigns
TALL,TALL_005,NEON.PLA.D08.TALL.00537,Vaccinium arboreum Marshall,VAAR,UNMEASURED,Never measured in survey campaigns
TALL,TALL_054,NEON.PLA.D08.TALL.02322,Carya tomentosa (Lam.) Nutt.,CATO6,UNMEASURED,Never measured in survey campaigns
TALL,TALL_058,NEON.PLA.D08.TALL.02434,Quercus laevis Walter,QULA2,UNMEASURED,Never measured in survey campaigns
TALL,TALL_001,NEON.PLA.D08.TALL.02171,Halesia carolina L.,HACA3,UNMEASURED,Never measured in survey campaigns
TALL,TALL_011,NEON.PLA.D08.TALL.01644,Liquidambar styraciflua L.,LIST2,UNMEASURED,Never measured in survey campaigns
TALL,TALL_047,NEON.PLA.D08.TALL.04390,Carya tomentosa (Lam.) Nutt.,CATO6,UNMEASURED,Never measured in survey campaigns
TALL,TALL_044,NEON.PLA.D08.TALL.03283,Sassafras albidum (Nutt.) Nees,SAAL5,UNMEASURED,Never measured in survey campaigns
TALL,TALL_020,NEON.PLA.D08.TALL.02594,Liquidambar styraciflua L.,LIST2,UNMEASURED,Never measured in survey campaigns
TALL,TALL_005,NEON.PLA.D08.TALL.00557,Liriodendron tulipifera L.,LITU,UNMEASURED,Never measured in survey campaigns
TALL,TALL_049,NEON.PLA.D08.TALL.01100,Rhus copallinum L.,RHCO,UNMEASURED,Never measured in survey campaigns
TALL,TALL_022,NEON.PLA.D08.TALL.01503A,Acer rubrum L.,ACRU,UNMEASURED,Never measured in survey campaigns
TALL,TALL_001,NEON.PLA.D08.TALL.02139,Acer rubrum L.,ACRU,UNMEASURED,Never measured in survey campaigns
