siteID,plotID,individualID,year,AGBJenkins,AGBChojnacky,AGBAnnighofer,growth_AGBJenkins,growth_cumu_AGBJenkins,growth_AGBChojnacky,growth_cumu_AGBChojnacky,growth_AGBAnnighofer,growth_cumu_AGBAnnighofer,stemDiameter,height,plantStatus,corrected_is_dead,gapFilling,scientificName,taxonID,genus,family,taxonRank,pointID,stemDistance,stemAzimuth
ABBY,ABBY_075,NEON.PLA.D16.ABBY.00001,2021,21.9584699408818,19.0684426502217,0.0,,,,,,,10.5,8.6,Live,False,ORIGINAL,Pseudotsuga menziesii (Mirb.) Franco var. menziesii,PSMEM,Pseudotsuga,Pinaceae,variety,21,4.6,77.1
ABBY,ABBY_075,NEON.PLA.D16.ABBY.00005,2021,56.659164869195,50.0044570854075,0.0,,,,,,,13.0,9.7,Live,False,ORIGINAL,Pseudotsuga menziesii (Mirb.) Franco var. menziesii,PSMEM,Pseudotsuga,Pinaceae,variety,21,2.9,31.1
ABBY,ABBY_075,NEON.PLA.D16.ABBY.00012,2016,0.0,0.0,0.0,,1723.8455507161189,,1695.0409867456247,,0.0,172.0,4.3,"Dead, broken bole",True,ORIGINAL,Pseudotsuga menziesii (Mirb.) Franco var. menziesii,PSMEM,Pseudotsuga,Pinaceae,variety,41,7.4,348.5
ABBY,ABBY_075,NEON.PLA.D16.ABBY.00012,2017,0.0,0.0,0.0,0.0,1723.8455507161189,0.0,1695.0409867456247,0.0,0.0,169.9,3.6,"Dead, broken bole",True,ORIGINAL,Pseudotsuga menziesii (Mirb.) Franco var. menziesii,PSMEM,Pseudotsuga,Pinaceae,variety,41,7.4,348.5
ABBY,ABBY_075,NEON.PLA.D16.ABBY.00012,2018,0.0,0.0,0.0,0.0,1723.8455507161189,0.0,1695.0409867456247,0.0,0.0,171.4,3.6,"Dead, broken bole",True,ORIGINAL,Pseudotsuga menziesii (Mirb.) Franco var. menziesii,PSMEM,Pseudotsuga,Pinaceae,variety,41,7.4,348.5
ABBY,ABBY_075,NEON.PLA.D16.ABBY.00012,2019,31891.14268824819,31358.258254794055,0.0,31891.14268824819,1723.8455507161189,31358.258254794055,1695.0409867456247,0.0,0.0,171.4,,,False,FILLED,Pseudotsuga menziesii (Mirb.) Franco var. menziesii,PSMEM,Pseudotsuga,Pinaceae,variety,41,7.4,348.5
ABBY,ABBY_075,NEON.PLA.D16.ABBY.00012,2021,0.0,0.0,0.0,-15945.571344124095,1723.8455507161189,-15679.129127397027,1695.0409867456247,0.0,0.0,176.5,3.6,"Dead, broken bole",True,ORIGINAL,Pseudotsuga menziesii (Mirb.) Franco var. menziesii,PSMEM,Pseudotsuga,Pinaceae,variety,41,7.4,348.5
ABBY,ABBY_075,NEON.PLA.D16.ABBY.00013,2016,6669.32729679202,6384.99262818517,0.0,,244.52944159582552,,238.47813047867376,,0.0,91.5,52.4,Live,False,ORIGINAL,Pseudotsuga menziesii (Mirb.) Franco var. menziesii,PSMEM,Pseudotsuga,Pinaceae,variety,41,5.6,319.7
ABBY,ABBY_075,NEON.PLA.D16.ABBY.00013,2017,6957.8992042453,6666.07881866655,0.0,288.5719074532799,244.52944159582552,281.0861904813801,238.47813047867376,0.0,0.0,93.1,53.9,Live,False,ORIGINAL,Pseudotsuga menziesii (Mirb.) Franco var. menziesii,PSMEM,Pseudotsuga,Pinaceae,variety,41,5.6,319.7
ABBY,ABBY_075,NEON.PLA.D16.ABBY.00013,2018,6994.47921673479,6701.72431045434,0.0,36.58001248948949,244.52944159582552,35.64549178778998,238.47813047867376,0.0,0.0,93.3,51.7,Live,False,ORIGINAL,Pseudotsuga menziesii (Mirb.) Franco var. menziesii,PSMEM,Pseudotsuga,Pinaceae,variety,41,5.6,319.7
ABBY,ABBY_075,NEON.PLA.D16.ABBY.00013,2019,7376.619702719734,7074.573561616708,0.0,382.14048598494446,244.52944159582552,372.8492511623672,238.47813047867376,0.0,0.0,93.3,,,False,FILLED,Pseudotsuga menziesii (Mirb.) Franco var. menziesii,PSMEM,Pseudotsuga,Pinaceae,variety,41,5.6,319.7
ABBY,ABBY_075,NEON.PLA.D16.ABBY.00013,2021,7906.65532672364,7591.58596724611,0.0,265.0178120019532,244.52944159582552,258.5062028147013,238.47813047867376,0.0,0.0,98.1,52.7,Live,False,ORIGINAL,Pseudotsuga menziesii (Mirb.) Franco var. menziesii,PSMEM,Pseudotsuga,Pinaceae,variety,41,5.6,319.7
ABBY,ABBY_076,NEON.PLA.D16.ABBY.00014,2021,88.4605313403995,78.6665219004859,0.0,,,,,,,15.6,10.9,Live,False,ORIGINAL,Pseudotsuga menziesii (Mirb.) Franco var. menziesii,PSMEM,Pseudotsuga,Pinaceae,variety,21,10.3,26.6
ABBY,ABBY_007,NEON.PLA.D16.ABBY.00016,2016,122.028186753264,84.8914346766484,0.0,,-20.338031125544,,-14.148572446108068,,0.0,13.4,8.4,Removed,False,ORIGINAL,Tsuga heterophylla (Raf.) Sarg.,TSHE,Tsuga,Pinaceae,species,31,5.3,86.5
ABBY,ABBY_007,NEON.PLA.D16.ABBY.00016,2019,61.014093376632,42.4457173383242,0.0,-20.338031125544,-20.338031125544,-14.148572446108068,-14.148572446108068,0.0,0.0,13.4,,,False,FILLED,Tsuga heterophylla (Raf.) Sarg.,TSHE,Tsuga,Pinaceae,species,31,5.3,86.5
ABBY,ABBY_076,NEON.PLA.D16.ABBY.00018,2021,26.8455945846295,23.392439529087,0.0,,,,,,,11.4,9.3,Live,False,ORIGINAL,Pseudotsuga menziesii (Mirb.) Franco var. menziesii,PSMEM,Pseudotsuga,Pinaceae,variety,21,9.3,43.3
ABBY,ABBY_007,NEON.PLA.D16.ABBY.00020,2016,0.0,0.0,0.0,,0.0,,0.0,,0.0,92.2,3.2,"Dead, broken bole",True,ORIGINAL,Pseudotsuga menziesii (Mirb.) Franco var. menziesii,PSMEM,Pseudotsuga,Pinaceae,variety,31,5.1,74.2
ABBY,ABBY_007,NEON.PLA.D16.ABBY.00020,2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.2,,"Lost, presumed dead",True,ORIGINAL,Pseudotsuga menziesii (Mirb.) Franco var. menziesii,PSMEM,Pseudotsuga,Pinaceae,variety,31,5.1,74.2
ABBY,ABBY_007,NEON.PLA.D16.ABBY.00021,2016,332.663884515604,299.037681051088,0.0,,-55.44398075260067,,-49.83961350851467,,0.0,20.2,19.0,Removed,False,ORIGINAL,Pseudotsuga menziesii (Mirb.) Franco var. menziesii,PSMEM,Pseudotsuga,Pinaceae,variety,49,6.4,174.5
ABBY,ABBY_007,NEON.PLA.D16.ABBY.00021,2019,166.331942257802,149.518840525544,0.0,-55.44398075260067,-55.44398075260067,-49.83961350851467,-49.83961350851467,0.0,0.0,20.2,,,False,FILLED,Pseudotsuga menziesii (Mirb.) Franco var. menziesii,PSMEM,Pseudotsuga,Pinaceae,variety,49,6.4,174.5
ABBY,ABBY_007,NEON.PLA.D16.ABBY.00022,2016,0.0,0.0,0.0,,615.5960863339601,,576.5769622965701,,0.0,54.1,13.1,Removed,True,ORIGINAL,Pseudotsuga menziesii (Mirb.) Franco var. menziesii,PSMEM,Pseudotsuga,Pinaceae,variety,49,9.8,136.3
