siteID,plotID,individualID,scientificName,taxonID,status,reason
ABBY,ABBY_004,NEON.PLA.D16.ABBY.05927,Corylus cornuta Marshall var. californica (A. DC.) Sharp,COCOC,UNMEASURED,Never measured in survey campaigns
ABBY,ABBY_077,NEON.PLA.D16.ABBY.09702,Pseudotsuga menziesii (Mirb.) Franco var. menziesii,PSMEM,UNMEASURED,Never measured in survey campaigns
ABBY,ABBY_011,NEON.PLA.D16.ABBY.08939,Holodiscus discolor (Pursh) Maxim.,HODI,UNMEASURED,Never measured in survey campaigns
ABBY,ABBY_013,NEON.PLA.D16.ABBY.09726,Holodiscus discolor (Pursh) Maxim.,HODI,UNMEASURED,Never measured in survey campaigns
ABBY,ABBY_009,NEON.PLA.D16.ABBY.07164A,Pseudotsuga menziesii (Mirb.) Franco var. menziesii,PSMEM,UNMEASURED,Never measured in survey campaigns
ABBY,ABBY_065,NEON.PLA.D16.ABBY.03115,Acer circinatum Pursh,ACCI,UNMEASURED,Never measured in survey campaigns
ABBY,ABBY_010,NEON.PLA.D16.ABBY.07358,Mahonia nervosa (Pursh) Nutt.,MANE2,UNMEASURED,Never measured in survey campaigns
ABBY,ABBY_013,NEON.PLA.D16.ABBY.09730,Pseudotsuga menziesii (Mirb.) Franco var. menziesii,PSMEM,UNMEASURED,Never measured in survey campaigns
ABBY,ABBY_077,NEON.PLA.D16.ABBY.09712,Tsuga heterophylla (Raf.) Sarg.,TSHE,UNMEASURED,Never measured in survey campaigns
ABBY,ABBY_023,NEON.PLA.D16.ABBY.08173,Rubus spectabilis Pursh,RUSP,UNMEASURED,Never measured in survey campaigns
ABBY,ABBY_013,NEON.PLA.D16.ABBY.09733,Acer circinatum Pursh,ACCI,UNMEASURED,Never measured in survey campaigns
ABBY,ABBY_077,NEON.PLA.D16.ABBY.08460,Pseudotsuga menziesii (Mirb.) Franco var. menziesii,PSMEM,UNMEASURED,Never measured in survey campaigns
ABBY,ABBY_065,NEON.PLA.D16.ABBY.03113,Acer circinatum Pursh,ACCI,UNMEASURED,Never measured in survey campaigns
ABBY,ABBY_002,NEON.PLA.D16.ABBY.08190,Prunus emarginata (Douglas ex Hook.) D. Dietr.,PREM,UNMEASURED,Never measured in survey campaigns
ABBY,ABBY_017,NEON.PLA.D16.ABBY.08162,Tsuga heterophylla (Raf.) Sarg.,TSHE,UNMEASURED,Never measured in survey campaigns
ABBY,ABBY_002,NEON.PLA.D16.ABBY.08264,Vaccinium parvifolium Sm.,VAPA,UNMEASURED,Never measured in survey campaigns
ABBY,ABBY_008,NEON.PLA.D16.ABBY.08568,Oplopanax horridus (Sm.) Miq.,OPHO,UNMEASURED,Never measured in survey campaigns
ABBY,ABBY_014,NEON.PLA.D16.ABBY.09745,Acer circinatum Pursh,ACCI,UNMEASURED,Never measured in survey campaigns
ABBY,ABBY_014,NEON.PLA.D16.ABBY.09744,Vaccinium parvifolium Sm.,VAPA,UNMEASURED,Never measured in survey campaigns
ABBY,ABBY_009,NEON.PLA.D16.ABBY.07169,Pseudotsuga menziesii (Mirb.) Franco var. menziesii,PSMEM,UNMEASURED,Never measured in survey campaigns
