siteID,plotID,individualID,year,AGBJenkins,AGBChojnacky,AGBAnnighofer,growth_AGBJenkins,growth_cumu_AGBJenkins,growth_AGBChojnacky,growth_cumu_AGBChojnacky,growth_AGBAnnighofer,growth_cumu_AGBAnnighofer,stemDiameter,height,plantStatus,corrected_is_dead,gapFilling,scientificName,taxonID,genus,family,taxonRank,pointID,stemDistance,stemAzimuth
BART,BART_013,NEON.PLA.D01.BART.00005,2016,0.0,0.0,0.0,,0.0,,0.0,,0.0,48.9,10.1,"Dead, broken bole",True,ORIGINAL,Betula alleghaniensis Britton,BEAL2,Betula,Betulaceae,species,57,22.3,138.4
BART,BART_013,NEON.PLA.D01.BART.00005,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.2,2.2,"Dead, broken bole",True,ORIGINAL,Betula alleghaniensis Britton,BEAL2,Betula,Betulaceae,species,57,22.3,138.4
BART,BART_013,NEON.PLA.D01.BART.00006,2016,49.958948076216,47.9399986349689,0.0,,0.43208381281786074,,0.41580538740766004,,0.0,11.4,10.2,"Live, disease damaged",False,ORIGINAL,Fagus grandifolia Ehrh.,FAGR,Fagus,Fagaceae,species,49,5.1,134.4
BART,BART_013,NEON.PLA.D01.BART.00006,2021,52.1193671403053,50.0190255720072,0.0,0.43208381281786074,0.43208381281786074,0.41580538740766004,0.41580538740766004,0.0,0.0,11.6,11.0,"Live, disease damaged",False,ORIGINAL,Fagus grandifolia Ehrh.,FAGR,Fagus,Fagaceae,species,49,5.1,134.4
BART,BART_013,NEON.PLA.D01.BART.00007,2016,49.958948076216,47.9399986349689,0.0,,1.328785248251441,,1.2788757989465793,,0.0,11.4,10.2,"Live, disease damaged",False,ORIGINAL,Fagus grandifolia Ehrh.,FAGR,Fagus,Fagaceae,species,49,4.6,139.6
BART,BART_013,NEON.PLA.D01.BART.00007,2021,56.6028743174732,54.3343776297018,0.0,1.328785248251441,1.328785248251441,1.2788757989465793,1.2788757989465793,0.0,0.0,12.0,10.1,"Live, disease damaged",False,ORIGINAL,Fagus grandifolia Ehrh.,FAGR,Fagus,Fagaceae,species,49,4.6,139.6
BART,BART_013,NEON.PLA.D01.BART.00021,2016,99.0287235982339,95.208561518125,0.0,,6.246629529957217,,6.024846486541801,,0.0,15.1,11.2,"Live, disease damaged",False,ORIGINAL,Fagus grandifolia Ehrh.,FAGR,Fagus,Fagaceae,species,57,21.6,127.3
BART,BART_013,NEON.PLA.D01.BART.00021,2021,130.26187124802,125.332793950834,0.0,6.246629529957218,6.246629529957217,6.024846486541802,6.024846486541801,0.0,0.0,16.9,11.3,"Live, disease damaged",False,ORIGINAL,Fagus grandifolia Ehrh.,FAGR,Fagus,Fagaceae,species,57,21.6,127.3
BART,BART_004,NEON.PLA.D01.BART.00028,2016,64.8570220074359,68.7786595955556,0.0,,1.952173673360639,,2.0541800666324805,,0.0,13.1,14.1,Live,False,ORIGINAL,Betula alleghaniensis Britton,BEAL2,Betula,Betulaceae,species,41,3.0,2.3
BART,BART_004,NEON.PLA.D01.BART.00028,2021,74.6178903742391,79.049559928718,0.0,1.952173673360639,1.952173673360639,2.0541800666324805,2.0541800666324805,0.0,0.0,13.9,14.1,Live,False,ORIGINAL,Betula alleghaniensis Britton,BEAL2,Betula,Betulaceae,species,41,3.0,2.3
