siteID,plotID,individualID,scientificName,taxonID,status,reason
BART,BART_001,NEON.PLA.D01.BART.01936,Picea rubens Sarg.,PIRU,UNMEASURED,Never measured in survey campaigns
BART,BART_041,NEON.PLA.D01.BART.08158,Fagus grandifolia Ehrh.,FAGR,UNMEASURED,Never measured in survey campaigns
BART,BART_016,NEON.PLA.D01.BART.00565,Acer saccharinum L.,ACSA2,UNMEASURED,Never measured in survey campaigns
BART,BART_033,NEON.PLA.D01.BART.02303,Fagus grandifolia Ehrh.,FAGR,UNMEASURED,Never measured in survey campaigns
BART,BART_003,NEON.PLA.D01.BART.00905,Fagus grandifolia Ehrh.,FAGR,UNMEASURED,Never measured in survey campaigns
BART,BART_033,NEON.PLA.D01.BART.02326,Fagus grandifolia Ehrh.,FAGR,UNMEASURED,Never measured in survey campaigns
BART,BART_005,NEON.PLA.D01.BART.01965,Tsuga canadensis (L.) Carrière,TSCA,UNMEASURED,Never measured in survey campaigns
BART,BART_011,NEON.PLA.D01.BART.00464,Tsuga canadensis (L.) Carrière,TSCA,UNMEASURED,Never measured in survey campaigns
BART,BART_002,NEON.PLA.D01.BART.01261,Fagus grandifolia Ehrh.,FAGR,UNMEASURED,Never measured in survey campaigns
BART,BART_047,NEON.PLA.D01.BART.02595,Fagus grandifolia Ehrh.,FAGR,UNMEASURED,Never measured in survey campaigns
BART,BART_033,NEON.PLA.D01.BART.02325,Fagus grandifolia Ehrh.,FAGR,UNMEASURED,Never measured in survey campaigns
BART,BART_039,NEON.PLA.D01.BART.08149,Picea rubens Sarg.,PIRU,UNMEASURED,Never measured in survey campaigns
BART,BART_047,NEON.PLA.D01.BART.02568,Fagus grandifolia Ehrh.,FAGR,UNMEASURED,Never measured in survey campaigns
BART,BART_047,NEON.PLA.D01.BART.02574,Picea rubens Sarg.,PIRU,UNMEASURED,Never measured in survey campaigns
BART,BART_016,NEON.PLA.D01.BART.00564,Tsuga canadensis (L.) Carrière,TSCA,UNMEASURED,Never measured in survey campaigns
BART,BART_003,NEON.PLA.D01.BART.00397,Acer rubrum L.,ACRU,UNMEASURED,Never measured in survey campaigns
BART,BART_011,NEON.PLA.D01.BART.00058,Tsuga canadensis (L.) Carrière,TSCA,UNMEASURED,Never measured in survey campaigns
BART,BART_011,NEON.PLA.D01.BART.01327,Tsuga canadensis (L.) Carrière,TSCA,UNMEASURED,Never measured in survey campaigns
BART,BART_011,NEON.PLA.D01.BART.01342,Tsuga canadensis (L.) Carrière,TSCA,UNMEASURED,Never measured in survey campaigns
BART,BART_033,NEON.PLA.D01.BART.02163,Fagus grandifolia Ehrh.,FAGR,UNMEASURED,Never measured in survey campaigns
BART,BART_023,NEON.PLA.D01.BART.01840,Tsuga canadensis (L.) Carrière,TSCA,UNMEASURED,Never measured in survey campaigns
BART,BART_003,NEON.PLA.D01.BART.02425,Acer rubrum L.,ACRU,UNMEASURED,Never measured in survey campaigns
BART,BART_005,NEON.PLA.D01.BART.01616,Tsuga canadensis (L.) Carrière,TSCA,UNMEASURED,Never measured in survey campaigns
BART,BART_001,NEON.PLA.D01.BART.01688,Tsuga canadensis (L.) Carrière,TSCA,UNMEASURED,Never measured in survey campaigns
BART,BART_003,NEON.PLA.D01.BART.00380,Acer rubrum L.,ACRU,UNMEASURED,Never measured in survey campaigns
BART,BART_011,NEON.PLA.D01.BART.01302,Tsuga canadensis (L.) Carrière,TSCA,UNMEASURED,Never measured in survey campaigns
BART,BART_037,NEON.PLA.D01.BART.08217,Fagus grandifolia Ehrh.,FAGR,UNMEASURED,Never measured in survey campaigns
BART,BART_015,NEON.PLA.D01.BART.02127,Fagus grandifolia Ehrh.,FAGR,UNMEASURED,Never measured in survey campaigns
BART,BART_001,NEON.PLA.D01.BART.01568,Picea rubens Sarg.,PIRU,UNMEASURED,Never measured in survey campaigns
BART,BART_003,NEON.PLA.D01.BART.02409,Acer saccharum Marshall,ACSA3,UNMEASURED,Never measured in survey campaigns
BART,BART_047,NEON.PLA.D01.BART.02571,Fraxinus pennsylvanica Marshall,FRPE,UNMEASURED,Never measured in survey campaigns
BART,BART_003,NEON.PLA.D01.BART.00907,Betula alleghaniensis Britton,BEAL2,UNMEASURED,Never measured in survey campaigns
BART,BART_003,NEON.PLA.D01.BART.00382,Acer saccharum Marshall,ACSA3,UNMEASURED,Never measured in survey campaigns
BART,BART_016,NEON.PLA.D01.BART.00530,Viburnum lantanoides Michx.,VILA11,UNMEASURED,Never measured in survey campaigns
BART,BART_016,NEON.PLA.D01.BART.00506,Viburnum lantanoides Michx.,VILA11,UNMEASURED,Never measured in survey campaigns
BART,BART_003,NEON.PLA.D01.BART.00931,Acer rubrum L.,ACRU,UNMEASURED,Never measured in survey campaigns
BART,BART_003,NEON.PLA.D01.BART.00383,Acer saccharum Marshall,ACSA3,UNMEASURED,Never measured in survey campaigns
BART,BART_011,NEON.PLA.D01.BART.01315,Tsuga canadensis (L.) Carrière,TSCA,UNMEASURED,Never measured in survey campaigns
BART,BART_016,NEON.PLA.D01.BART.00513,Tsuga canadensis (L.) Carrière,TSCA,UNMEASURED,Never measured in survey campaigns
BART,BART_006,NEON.PLA.D01.BART.02279,Picea rubens Sarg.,PIRU,UNMEASURED,Never measured in survey campaigns
BART,BART_010,NEON.PLA.D01.BART.00971,Fagus grandifolia Ehrh.,FAGR,UNMEASURED,Never measured in survey campaigns
BART,BART_011,NEON.PLA.D01.BART.02484,Tsuga canadensis (L.) Carrière,TSCA,UNMEASURED,Never measured in survey campaigns
BART,BART_011,NEON.PLA.D01.BART.01859,Tsuga canadensis (L.) Carrière,TSCA,UNMEASURED,Never measured in survey campaigns
BART,BART_003,NEON.PLA.D01.BART.00926,Acer rubrum L.,ACRU,UNMEASURED,Never measured in survey campaigns
BART,BART_034,NEON.PLA.D01.BART.08216,Fagus grandifolia Ehrh.,FAGR,UNMEASURED,Never measured in survey campaigns
BART,BART_006,NEON.PLA.D01.BART.02173,Viburnum lantanoides Michx.,VILA11,UNMEASURED,Never measured in survey campaigns
BART,BART_005,NEON.PLA.D01.BART.01632,Tsuga canadensis (L.) Carrière,TSCA,UNMEASURED,Never measured in survey campaigns
BART,BART_003,NEON.PLA.D01.BART.02420,Acer pensylvanicum L.,ACPE,UNMEASURED,Never measured in survey campaigns
BART,BART_001,NEON.PLA.D01.BART.01531,Tsuga canadensis (L.) Carrière,TSCA,UNMEASURED,Never measured in survey campaigns
BART,BART_001,NEON.PLA.D01.BART.01927,Fagus grandifolia Ehrh.,FAGR,UNMEASURED,Never measured in survey campaigns
BART,BART_002,NEON.PLA.D01.BART.01211,Fagus grandifolia Ehrh.,FAGR,UNMEASURED,Never measured in survey campaigns
BART,BART_003,NEON.PLA.D01.BART.02411,Acer saccharum Marshall,ACSA3,UNMEASURED,Never measured in survey campaigns
BART,BART_013,NEON.PLA.D01.BART.00632,Betula alleghaniensis Britton,BEAL2,UNMEASURED,Never measured in survey campaigns
BART,BART_001,NEON.PLA.D01.BART.01908,Picea rubens Sarg.,PIRU,UNMEASURED,Never measured in survey campaigns
BART,BART_015,NEON.PLA.D01.BART.01045,Fagus grandifolia Ehrh.,FAGR,UNMEASURED,Never measured in survey campaigns
BART,BART_023,NEON.PLA.D01.BART.01745,Picea rubens Sarg.,PIRU,UNMEASURED,Never measured in survey campaigns
BART,BART_016,NEON.PLA.D01.BART.02980,Fagus grandifolia Ehrh.,FAGR,UNMEASURED,Never measured in survey campaigns
BART,BART_003,NEON.PLA.D01.BART.00923,Acer rubrum L.,ACRU,UNMEASURED,Never measured in survey campaigns
BART,BART_011,NEON.PLA.D01.BART.01308,Fagus grandifolia Ehrh.,FAGR,UNMEASURED,Never measured in survey campaigns
BART,BART_006,NEON.PLA.D01.BART.02176,Fagus grandifolia Ehrh.,FAGR,UNMEASURED,Never measured in survey campaigns
BART,BART_015,NEON.PLA.D01.BART.02142,Fagus grandifolia Ehrh.,FAGR,UNMEASURED,Never measured in survey campaigns
BART,BART_002,NEON.PLA.D01.BART.01167,Fagus grandifolia Ehrh.,FAGR,UNMEASURED,Never measured in survey campaigns
BART,BART_047,NEON.PLA.D01.BART.02898,Fraxinus sp.,FRAXI,UNMEASURED,Never measured in survey campaigns
BART,BART_047,NEON.PLA.D01.BART.02886,Fagus grandifolia Ehrh.,FAGR,UNMEASURED,Never measured in survey campaigns
BART,BART_006,NEON.PLA.D01.BART.02384,Fagus grandifolia Ehrh.,FAGR,UNMEASURED,Never measured in survey campaigns
BART,BART_003,NEON.PLA.D01.BART.02003,Acer saccharum Marshall,ACSA3,UNMEASURED,Never measured in survey campaigns
BART,BART_003,NEON.PLA.D01.BART.02401,Acer rubrum L.,ACRU,UNMEASURED,Never measured in survey campaigns
BART,BART_034,NEON.PLA.D01.BART.02977,Fagus grandifolia Ehrh.,FAGR,UNMEASURED,Never measured in survey campaigns
BART,BART_037,NEON.PLA.D01.BART.08215,Fagus grandifolia Ehrh.,FAGR,UNMEASURED,Never measured in survey campaigns
BART,BART_023,NEON.PLA.D01.BART.02214,Picea rubens Sarg.,PIRU,UNMEASURED,Never measured in survey campaigns
BART,BART_033,NEON.PLA.D01.BART.02501,Fagus grandifolia Ehrh.,FAGR,UNMEASURED,Never measured in survey campaigns
BART,BART_042,NEON.PLA.D01.BART.08208,Fagus grandifolia Ehrh.,FAGR,UNMEASURED,Never measured in survey campaigns
BART,BART_015,NEON.PLA.D01.BART.01077,Picea rubens Sarg.,PIRU,UNMEASURED,Never measured in survey campaigns
BART,BART_002,NEON.PLA.D01.BART.01217,Fagus grandifolia Ehrh.,FAGR,UNMEASURED,Never measured in survey campaigns
BART,BART_001,NEON.PLA.D01.BART.01934,Betula alleghaniensis Britton,BEAL2,UNMEASURED,Never measured in survey campaigns
BART,BART_033,NEON.PLA.D01.BART.02924,Fagus grandifolia Ehrh.,FAGR,UNMEASURED,Never measured in survey campaigns
BART,BART_006,NEON.PLA.D01.BART.02179,Viburnum lantanoides Michx.,VILA11,UNMEASURED,Never measured in survey campaigns
