siteID,plotID,individualID,year,AGBJenkins,AGBChojnacky,AGBAnnighofer,growth_AGBJenkins,growth_cumu_AGBJenkins,growth_AGBChojnacky,growth_cumu_AGBChojnacky,growth_AGBAnnighofer,growth_cumu_AGBAnnighofer,stemDiameter,height,plantStatus,corrected_is_dead,gapFilling,scientificName,taxonID,genus,family,taxonRank,pointID,stemDistance,stemAzimuth
BLAN,BLAN_052,NEON.PLA.D02.BLAN.00082,2015,27.2512196662979,0.0,0.0,,5.2682895193066095,,0.0,,0.0,10.6,5.0,Live,False,ORIGINAL,Tetradium daniellii (Benn.) T.G. Hartley,TEDA,Tetradium,Rutaceae,species,41,8.0,345.4
BLAN,BLAN_052,NEON.PLA.D02.BLAN.00082,2016,31.7729907555144,0.0,0.0,4.5217710892165,5.2682895193066095,0.0,0.0,0.0,0.0,11.6,6.0,Live,False,ORIGINAL,Tetradium daniellii (Benn.) T.G. Hartley,TEDA,Tetradium,Rutaceae,species,41,8.0,345.4
BLAN,BLAN_052,NEON.PLA.D02.BLAN.00082,2017,36.5774636865319,0.0,0.0,4.8044729310175,5.2682895193066095,0.0,0.0,0.0,0.0,12.6,6.0,Live,False,ORIGINAL,Tetradium daniellii (Benn.) T.G. Hartley,TEDA,Tetradium,Rutaceae,species,41,8.0,345.4
BLAN,BLAN_052,NEON.PLA.D02.BLAN.00082,2018,42.7063723983247,0.0,0.0,6.128908711792803,5.2682895193066095,0.0,0.0,0.0,0.0,13.8,7.3,Live,False,ORIGINAL,Tetradium daniellii (Benn.) T.G. Hartley,TEDA,Tetradium,Rutaceae,species,41,8.0,345.4
BLAN,BLAN_052,NEON.PLA.D02.BLAN.00082,2021,58.4944483615981,0.0,0.0,5.2626919877578,5.2682895193066095,0.0,0.0,0.0,0.0,16.6,7.5,Live,False,ORIGINAL,Tetradium daniellii (Benn.) T.G. Hartley,TEDA,Tetradium,Rutaceae,species,41,8.0,345.4
BLAN,BLAN_050,NEON.PLA.D02.BLAN.00090,2015,27.2512196662979,0.0,0.0,,3.108310282044493,,0.0,,0.0,10.6,6.2,Live,False,ORIGINAL,Tetradium daniellii (Benn.) T.G. Hartley,TEDA,Tetradium,Rutaceae,species,49,4.8,159.7
BLAN,BLAN_050,NEON.PLA.D02.BLAN.00090,2016,25.5233584081141,0.0,0.0,-1.7278612581838004,3.108310282044493,0.0,0.0,0.0,0.0,10.2,7.4,Live,False,ORIGINAL,Tetradium daniellii (Benn.) T.G. Hartley,TEDA,Tetradium,Rutaceae,species,49,4.8,159.7
BLAN,BLAN_050,NEON.PLA.D02.BLAN.00090,2017,29.4763080862495,0.0,0.0,3.9529496781354005,3.108310282044493,0.0,0.0,0.0,0.0,11.1,7.1,Live,False,ORIGINAL,Tetradium daniellii (Benn.) T.G. Hartley,TEDA,Tetradium,Rutaceae,species,49,4.8,159.7
BLAN,BLAN_050,NEON.PLA.D02.BLAN.00090,2018,32.2408357060993,0.0,0.0,2.7645276198497974,3.108310282044493,0.0,0.0,0.0,0.0,11.7,8.6,Live,False,ORIGINAL,Tetradium daniellii (Benn.) T.G. Hartley,TEDA,Tetradium,Rutaceae,species,49,4.8,159.7
BLAN,BLAN_050,NEON.PLA.D02.BLAN.00090,2021,44.2993968779606,0.0,0.0,4.0195203906204355,3.108310282044493,0.0,0.0,0.0,0.0,14.1,9.0,Live,False,ORIGINAL,Tetradium daniellii (Benn.) T.G. Hartley,TEDA,Tetradium,Rutaceae,species,49,4.8,159.7
