siteID,plotID,year,plotArea_m2,tree_AGBJenkins,tree_AGBChojnacky,tree_AGBAnnighofer,n_trees,small_woody_AGBJenkins,small_woody_AGBChojnacky,small_woody_AGBAnnighofer,n_small_woody_total,n_small_woody_measured,n_unaccounted_trees,total_AGBJenkins,total_AGBChojnacky,total_AGBAnnighofer,growth,growth_cumu
BLAN,BLAN_001,2015,1600.0,60.00310844729231,38.82288937883583,,24,0.43487405041954447,3.945478165149165,,76,69,3,60.43798249771186,42.76836754398499,0.0,,-0.590419988536147
BLAN,BLAN_001,2019,1600.0,51.04075614133105,31.616690584067566,,22,0.6084086369823807,4.248573050774151,,76,69,3,51.649164778313434,35.86526363484172,0.0,-2.197204429849606,-0.590419988536147
BLAN,BLAN_001,2023,1600.0,54.921145669773374,34.23409250969012,,22,0.793476919649306,4.471261821276988,,77,70,3,55.71462258942268,38.70535433096711,0.0,1.016364452777312,-0.590419988536147
BLAN,BLAN_003,2015,1600.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,,0.0
BLAN,BLAN_003,2019,1600.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
BLAN,BLAN_003,2023,1600.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
BLAN,BLAN_004,2015,1600.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,2,0.0,0.0,0.0,,0.0
BLAN,BLAN_004,2019,1600.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,2,0.0,0.0,0.0,0.0,0.0
BLAN,BLAN_004,2023,1600.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,2,0.0,0.0,0.0,0.0,0.0
BLAN,BLAN_005,2015,1600.0,18.386423312046087,17.136214831291028,,19,0.8662967817911109,4.15573793044116,,74,39,8,19.252720093837198,21.291952761732187,0.0,,1.0105859445525076
BLAN,BLAN_005,2019,1600.0,21.89076268406481,19.94695897162392,,18,1.0925826469896078,3.3815093061732657,,75,39,8,22.98334533105442,23.328468277797185,0.0,0.9326563093043054,1.0105859445525076
BLAN,BLAN_005,2023,1600.0,25.8594922117148,22.837021659564176,,19,1.4779154385424578,3.5167696784201965,,78,38,8,27.33740765025726,26.353791337984372,0.0,1.0885155798007098,1.0105859445525076
BLAN,BLAN_006,2015,1600.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,,0.0
BLAN,BLAN_006,2019,1600.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
BLAN,BLAN_006,2023,1600.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
BLAN,BLAN_007,2015,1600.0,34.934383722496506,35.655940562908256,,10,0.4462962259842148,7.469319068755093,,83,60,3,35.38067994848072,43.12525963166335,0.0,,0.73628390824235
BLAN,BLAN_007,2019,1600.0,35.81881119294291,36.364550929657845,,10,0.6010285673481097,7.559310864764189,,84,61,3,36.41983976029102,43.92386179442204,0.0,0.2597899529525751,0.73628390824235
BLAN,BLAN_007,2023,1600.0,40.434500895296466,41.51031034158546,,10,0.8364503191230511,7.649302660773287,,85,62,3,41.27095121441952,49.159613002358746,0.0,1.212777863532125,0.73628390824235
BLAN,BLAN_008,2015,1600.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,,0.0
BLAN,BLAN_008,2019,1600.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
BLAN,BLAN_008,2023,1600.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
BLAN,BLAN_009,2015,1600.0,20.998119447906625,7.401535031291755,,14,0.2021213404861665,2.0261317911039596,,68,42,0,21.20024078839279,9.427666822395715,0.0,,0.8771474268365996
BLAN,BLAN_009,2019,1600.0,24.389591088398436,8.91853390336774,,14,0.19170734849121682,1.6738544190739777,,69,42,0,24.581298436889654,10.592388322441717,0.0,0.8452644121242159,0.8771474268365996
BLAN,BLAN_009,2023,1600.0,28.019245339866828,10.435532775443708,,14,0.19817486321876168,1.291780991292455,,69,42,0,28.217420203085588,11.727313766736163,0.0,0.9090304415489836,0.8771474268365996
BLAN,BLAN_010,2015,1600.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,,0.0
BLAN,BLAN_010,2019,1600.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
BLAN,BLAN_010,2023,1600.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
BLAN,BLAN_011,2015,1600.0,49.715633746048375,27.817209670611195,,9,0.2853049433748295,1.7437527413273246,,120,82,1,50.00093868942321,29.56096241193852,0.0,,-1.2141914851796436
BLAN,BLAN_011,2019,1600.0,36.049907995708544,31.828853831760203,,9,0.38708953387659184,2.309372021293455,,120,82,1,36.436997529585135,34.138225853053655,0.0,-3.3909852899595183,-1.2141914851796436
BLAN,BLAN_011,2023,1600.0,39.7979566650587,35.840497992909334,,9,0.4894501429273578,2.8749913012596124,,120,82,1,40.28740680798606,38.71548929416895,0.0,0.9626023196002311,-1.2141914851796436
BLAN,BLAN_012,2015,1600.0,25.769183188772217,14.76539709204734,,18,1.3757262765113731,9.60896350227109,,114,56,5,27.14490946528359,24.374360594318432,0.0,,1.0487858957102443
BLAN,BLAN_012,2019,1600.0,29.314383301456466,15.410871178828847,,20,1.0019765638733489,7.930907911063595,,114,54,5,30.316359865329815,23.34177908989244,0.0,0.7928626000115564,1.0487858957102443
BLAN,BLAN_012,2023,1600.0,34.564869732991404,18.177509904072778,,20,0.9703268979741388,6.563038376365865,,114,54,5,35.535196630965544,24.740548280438645,0.0,1.3047091914089322,1.0487858957102443
BLAN,BLAN_013,2015,1600.0,48.24571823696916,37.58343533273476,,19,0.39719904864736294,,,139,58,1,48.64291728561653,37.58343533273476,0.0,,2.026013328393268
BLAN,BLAN_013,2019,1600.0,54.456861357015995,42.94254331235128,,19,0.5738092591530275,,,139,58,1,55.030670616169026,42.94254331235128,0.0,1.5969383326381248,2.026013328393268
BLAN,BLAN_013,2023,1600.0,64.09939485917918,48.30165129196798,,19,0.7516290535834912,,,139,58,1,64.85102391276267,48.30165129196798,0.0,2.455088324148411,2.026013328393268
BLAN,BLAN_014,2015,1600.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,,0.0
BLAN,BLAN_014,2019,1600.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
BLAN,BLAN_014,2023,1600.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
BLAN,BLAN_015,2015,1600.0,24.835528993331152,10.793592348756434,,24,0.4716161179681282,1.7871470757678751,,51,29,0,25.30714511129928,12.580739424524308,0.0,,0.39367619925492825
BLAN,BLAN_015,2019,1600.0,25.958017524255727,10.238955299076471,,24,0.48484877018879885,1.8149477396667124,,51,29,0,26.442866294444524,12.053903038743183,0.0,0.2839302957863108,0.39367619925492825
BLAN,BLAN_015,2023,1600.0,27.958473282929237,10.490165559291379,,24,0.4980814224094693,1.8427484035655501,,51,29,0,28.456554705338707,12.332913962856928,0.0,0.5034221027235457,0.39367619925492825
BLAN,BLAN_016,2015,1600.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,,0.0
BLAN,BLAN_016,2019,1600.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
BLAN,BLAN_016,2023,1600.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
BLAN,BLAN_017,2015,1600.0,100.17861282725747,92.50797020032968,,16,0.35943013259082507,3.5384106342001997,,44,26,2,100.5380429598483,96.04638083452988,0.0,,2.544370362421441
BLAN,BLAN_017,2019,1600.0,110.27579109654911,102.12315452416232,,16,0.43973331298511154,3.5384106342001997,,44,26,2,110.71552440953423,105.66156515836252,0.0,2.544370362421482,2.544370362421441
