siteID,plotID,individualID,scientificName,taxonID,status,reason
BLAN,BLAN_004,NEON.PLA.D02.BLAN.02471Z,Acer negundo L. var. negundo,ACNEN,UNMEASURED,Never measured in survey campaigns
BLAN,BLAN_005,NEON.PLA.D02.BLAN.10013,Rubus phoenicolasius Maxim.,RUPH,UNMEASURED,Never measured in survey campaigns
BLAN,BLAN_047,NEON.PLA.D02.BLAN.17048,Rhamnus davurica Pall.,RHDA,UNMEASURED,Never measured in survey campaigns
BLAN,BLAN_007,NEON.PLA.D02.BLAN.16281,Asimina triloba (L.) Dunal,ASTR,UNMEASURED,Never measured in survey campaigns
BLAN,BLAN_012,NEON.PLA.D02.BLAN.17439,Berberis thunbergii DC.,BETH,UNMEASURED,Never measured in survey campaigns
BLAN,BLAN_044,NEON.PLA.D02.BLAN.05825,Celastrus orbiculatus Thunb.,CEOR7,UNMEASURED,Never measured in survey campaigns
BLAN,BLAN_018,NEON.PLA.D02.BLAN.17416,Asimina triloba (L.) Dunal,ASTR,UNMEASURED,Never measured in survey campaigns
BLAN,BLAN_050,NEON.PLA.D02.BLAN.08267,Lonicera japonica Thunb.,LOJA,UNMEASURED,Never measured in survey campaigns
BLAN,BLAN_044,NEON.PLA.D02.BLAN.05826,Celastrus orbiculatus Thunb.,CEOR7,UNMEASURED,Never measured in survey campaigns
BLAN,BLAN_005,NEON.PLA.D02.BLAN.02475Z,Prunus serotina Ehrh. var. serotina,PRSES,UNMEASURED,Never measured in survey campaigns
BLAN,BLAN_057,NEON.PLA.D02.BLAN.08427,Rhamnus davurica Pall.,RHDA,UNMEASURED,Never measured in survey campaigns
BLAN,BLAN_018,NEON.PLA.D02.BLAN.17419,Vitis sp.,VITIS,UNMEASURED,Never measured in survey campaigns
BLAN,BLAN_036,NEON.PLA.D02.BLAN.08463,Rhamnus davurica Pall.,RHDA,UNMEASURED,Never measured in survey campaigns
BLAN,BLAN_018,NEON.PLA.D02.BLAN.17417,Asimina triloba (L.) Dunal,ASTR,UNMEASURED,Never measured in survey campaigns
BLAN,BLAN_057,NEON.PLA.D02.BLAN.05300,Lonicera japonica Thunb.,LOJA,UNMEASURED,Never measured in survey campaigns
BLAN,BLAN_007,NEON.PLA.D02.BLAN.17224,Asimina triloba (L.) Dunal,ASTR,UNMEASURED,Never measured in survey campaigns
BLAN,BLAN_032,NEON.PLA.D02.BLAN.02468Z,Tetradium daniellii (Benn.) T.G. Hartley,TEDA,UNMEASURED,Never measured in survey campaigns
BLAN,BLAN_057,NEON.PLA.D02.BLAN.08429,Rhamnus davurica Pall.,RHDA,UNMEASURED,Never measured in survey campaigns
