siteID,plotID,individualID,year,AGBJenkins,AGBChojnacky,AGBAnnighofer,growth_AGBJenkins,growth_cumu_AGBJenkins,growth_AGBChojnacky,growth_cumu_AGBChojnacky,growth_AGBAnnighofer,growth_cumu_AGBAnnighofer,stemDiameter,height,plantStatus,corrected_is_dead,gapFilling,scientificName,taxonID,genus,family,taxonRank,pointID,stemDistance,stemAzimuth
BONA,BONA_072,NEON.PLA.D19.BONA.00001,2020,8.43603534533767,7.82377684262104,0.0,,0.2085368936402153,,0.19266755370066715,,0.0,10.0,7.1,Live,False,ORIGINAL,Picea glauca (Moench) Voss,PIGL,Picea,Pinaceae,species,25,1.4,322.5
BONA,BONA_072,NEON.PLA.D19.BONA.00001,2021,8.43603534533767,7.82377684262104,0.0,0.0,0.2085368936402153,0.0,0.19266755370066715,0.0,0.0,10.0,8.8,Live,False,ORIGINAL,Picea glauca (Moench) Voss,PIGL,Picea,Pinaceae,species,25,1.4,322.5
BONA,BONA_072,NEON.PLA.D19.BONA.00001,2022,8.83479692368226,8.19213751096778,0.0,0.39876157834459036,0.2085368936402153,0.36836066834674064,0.19266755370066715,0.0,0.0,10.2,8.9,Live,False,ORIGINAL,Picea glauca (Moench) Voss,PIGL,Picea,Pinaceae,species,25,1.4,322.5
BONA,BONA_072,NEON.PLA.D19.BONA.00001,2023,8.998237798023524,8.34321513217435,0.0,0.16344087434126386,0.2085368936402153,0.15107762120656965,0.19266755370066715,0.0,0.0,10.4,8.4,Live,False,ORIGINAL,Picea glauca (Moench) Voss,PIGL,Picea,Pinaceae,species,25,1.4,322.5
BONA,BONA_072,NEON.PLA.D19.BONA.00041,2016,253.83510550864,289.690614316136,0.0,,-17.687640150410875,,-20.064441521880386,,0.0,17.4,,Live,False,ORIGINAL,Betula neoalaskana Sarg.,BENE4,Betula,Betulaceae,species,41,2.1,177.0
BONA,BONA_072,NEON.PLA.D19.BONA.00041,2020,132.15397619164,151.259817647544,0.0,-30.42028232925,-17.687640150410875,-34.607699167148006,-20.064441521880386,0.0,0.0,17.7,14.4,"Live,  other damage",False,ORIGINAL,Betula neoalaskana Sarg.,BENE4,Betula,Betulaceae,species,41,2.1,177.0
BONA,BONA_072,NEON.PLA.D19.BONA.00041,2021,133.926651250329,153.4354825274,0.0,1.7726750586890034,-17.687640150410875,2.175664879856015,-20.064441521880386,0.0,0.0,17.8,14.1,Live,False,ORIGINAL,Betula neoalaskana Sarg.,BENE4,Betula,Betulaceae,species,41,2.1,177.0
BONA,BONA_072,NEON.PLA.D19.BONA.00041,2022,135.712973419738,155.629989382642,0.0,1.7863221694090043,-17.687640150410875,2.194506855241997,-20.064441521880386,0.0,0.0,17.9,11.9,Live,False,ORIGINAL,Betula neoalaskana Sarg.,BENE4,Betula,Betulaceae,species,41,2.1,177.0
BONA,BONA_072,NEON.PLA.D19.BONA.00041,2023,136.83085157726782,156.99679426247758,0.0,1.117878157529816,-17.687640150410875,1.3668048798355699,-20.064441521880386,0.0,0.0,18.0,14.6,Live,False,ORIGINAL,Betula neoalaskana Sarg.,BENE4,Betula,Betulaceae,species,41,2.1,177.0
BONA,BONA_072,NEON.PLA.D19.BONA.00042,2016,332.345281524698,386.700622865666,0.0,,-23.896343620378314,,-27.706933880069343,,0.0,19.5,,Live,False,ORIGINAL,Betula neoalaskana Sarg.,BENE4,Betula,Betulaceae,species,41,6.7,112.5
