siteID,plotID,year,plotArea_m2,tree_AGBJenkins,tree_AGBChojnacky,tree_AGBAnnighofer,n_trees,small_woody_AGBJenkins,small_woody_AGBChojnacky,small_woody_AGBAnnighofer,n_small_woody_total,n_small_woody_measured,n_unaccounted_trees,total_AGBJenkins,total_AGBChojnacky,total_AGBAnnighofer,growth,growth_cumu
BONA,BONA_001,2017,1600.0,36.56391007192499,41.29913092861984,,46,0.27878891614727347,0.2604687179968312,1.519100696869985,66,66,8,36.84269898807226,41.55959964661667,1.519100696869985,,0.22673709271337827
BONA,BONA_001,2020,1600.0,37.20955450529027,42.27909619848434,,41,0.31335576092212486,0.29268714229530474,1.6441318693393303,65,65,8,37.52291026621239,42.571783340779646,1.6441318693393303,0.22673709271337827,0.22673709271337827
BONA,BONA_002,2017,1600.0,29.02207169873944,33.93179898573023,,37,0.0974141576121565,0.09139427411840131,2.265152324514668,72,32,3,29.119485856351595,34.02319325984863,2.265152324514668,,0.6880084033620003
BONA,BONA_002,2020,1600.0,31.073781612345247,35.65495473201079,,36,0.10972945409234956,0.10295415688761785,2.6931994790875695,79,32,3,31.183511066437596,35.75790888889841,2.6931994790875695,0.6880084033620003,0.6880084033620003
BONA,BONA_003,2020,1600.0,0.6420211784807782,0.5925375026934429,,5,0.712784209861764,0.6624377688727838,1.31106702908202,31,20,0,1.3548053883425424,1.2549752715662268,1.31106702908202,,
BONA,BONA_004,2020,1600.0,3.4477679340201313,3.1810961428486557,,25,0.5977220406414,0.5557465534894823,1.0062629687262679,27,15,9,4.045489974661531,3.736842696338138,1.0062629687262679,,
BONA,BONA_005,2017,1600.0,11.378117941254747,11.21976857664298,,18,7.332428738107488,6.725759302840551,1.0606987776090797,67,11,7,18.710546679362235,17.94552787948353,1.0606987776090797,,0.6715150371065602
BONA,BONA_005,2020,1600.0,11.766632249087,11.636237728952862,,18,8.958459541594916,8.220442743112995,1.6412452524673864,94,12,7,20.725091790681915,19.856680472065857,1.6412452524673864,0.6715150371065602,0.6715150371065602
BONA,BONA_006,2020,1600.0,0.48282831372199253,0.514382004789235,,2,0.14619466512420234,0.13222731911988383,0.4352599837949586,29,21,5,0.6290229788461948,0.6466093239091188,0.4352599837949586,,
BONA,BONA_007,2017,1600.0,20.21599614827235,22.021889945938735,,55,2.11811378736965,2.0267725876853615,1.552331797309303,51,49,0,22.334109935642,24.048662533624096,1.552331797309303,,0.3349337040597848
BONA,BONA_007,2020,1600.0,21.254609753219352,23.24468849192213,,57,2.0843012946020045,1.9968765940459592,1.436518068946619,51,48,0,23.338911047821355,25.241565085968087,1.436518068946619,0.3349337040597848,0.3349337040597848
BONA,BONA_008,2017,1600.0,23.9216287579589,24.1800431306739,,36,0.23722756205165538,0.20647994545173712,,30,2,0,24.158856320010553,24.386523076125638,0.0,,1.8372441695680675
BONA,BONA_008,2020,1600.0,26.674138951493845,27.181857239969347,,35,2.9964498772209094,2.967614159491599,,59,3,0,29.670588828714756,30.149471399460946,0.0,1.8372441695680675,1.8372441695680675
BONA,BONA_009,2017,1600.0,1.4131538531228367,1.635148659048296,,36,0.08721298808252749,0.05278636955297712,0.3338932782687594,30,28,9,1.5003668412053641,1.687935028601273,0.3338932782687594,,0.4791876319239785
BONA,BONA_009,2020,1600.0,2.7161025851550282,3.193089627258356,,36,0.22182715182227145,0.1694294962753899,0.39596065777603034,36,34,9,2.9379297369772996,3.3625191235337457,0.39596065777603034,0.4791876319239785,0.4791876319239785
BONA,BONA_010,2020,1600.0,0.0,0.0,0.0,0,0.0834195350149497,0.07814104289931359,0.23159830586260685,21,15,10,0.0834195350149497,0.07814104289931359,0.23159830586260685,,
BONA,BONA_011,2017,1600.0,4.695717638395655,4.323429674630091,,21,0.7017703429925221,0.6537219352796948,2.074628094889654,77,66,0,5.397487981388177,4.977151609909786,2.074628094889654,,-0.09514354955038584
BONA,BONA_011,2020,1600.0,4.314988542331304,3.9733302899538407,,21,0.7970687904057158,0.7422861395452753,2.2814988959396176,78,66,0,5.112057332737019,4.715616429499116,2.2814988959396176,-0.09514354955038584,-0.09514354955038584
BONA,BONA_012,2017,1600.0,23.30206413631242,25.658038052394733,,54,0.7688739427303019,0.6866011750840115,1.1914196631714824,53,44,11,24.070938079042723,26.344639227478744,1.1914196631714824,,1.3949954964771472
BONA,BONA_012,2020,1600.0,27.49747590105012,31.039525694319543,,54,0.7584486674240452,0.675304007724126,1.3866603409609293,54,43,11,28.255924568474164,31.71482970204367,1.3866603409609293,1.3949954964771472,1.3949954964771472
BONA,BONA_013,2020,1600.0,20.04620819525059,22.113022208702176,,36,0.8783956810308536,0.8289490438251823,0.6977976595953824,31,13,2,20.92460387628144,22.94197125252736,0.6977976595953824,,
BONA,BONA_014,2017,1600.0,15.919682807306854,16.681334847008884,,28,0.26346770912388995,0.23859496945624006,2.11450980616348,56,19,1,16.183150516430743,16.919929816465125,2.11450980616348,,0.3853343151731418
BONA,BONA_014,2020,1600.0,17.053613340860597,18.545756028488817,,24,0.2855401210895696,0.25895297009872825,2.1214211455693333,53,20,1,17.33915346195017,18.804708998587547,2.1214211455693333,0.3853343151731418,0.3853343151731418
BONA,BONA_016,2020,1600.0,1.4405520442217334,1.3293024899795773,,11,0.22663909442300736,0.2109028267955992,0.3814905313328148,28,17,0,1.6671911386447409,1.5402053167751766,0.3814905313328148,,
BONA,BONA_018,2017,1600.0,5.0367058916650365,4.80475302492007,,13,,,0.4251503166711988,40,2,0,5.0367058916650365,4.80475302492007,0.4251503166711988,,0.09992872344403736
