siteID,plotID,individualID,scientificName,taxonID,status,reason
BONA,BONA_009,NEON.PLA.D19.BONA.02892,Betula neoalaskana Sarg.,BENE4,UNMEASURED,Never measured in survey campaigns
BONA,BONA_006,NEON.PLA.D19.BONA.03865,Salix pulchra Cham.,SAPU15,UNMEASURED,Never measured in survey campaigns
BONA,BONA_079,NEON.PLA.D19.BONA.03936,"Picea mariana (Mill.) Britton, Sterns & Poggenb.",PIMA,UNMEASURED,Never measured in survey campaigns
BONA,BONA_006,NEON.PLA.D19.BONA.03385,"Picea mariana (Mill.) Britton, Sterns & Poggenb.",PIMA,UNMEASURED,Never measured in survey campaigns
BONA,BONA_004,NEON.PLA.D19.BONA.03962,"Picea mariana (Mill.) Britton, Sterns & Poggenb.",PIMA,UNMEASURED,Never measured in survey campaigns
BONA,BONA_076,NEON.PLA.D19.BONA.03290,"Picea mariana (Mill.) Britton, Sterns & Poggenb.",PIMA,UNMEASURED,Never measured in survey campaigns
BONA,BONA_076,NEON.PLA.D19.BONA.03282,"Picea mariana (Mill.) Britton, Sterns & Poggenb.",PIMA,UNMEASURED,Never measured in survey campaigns
BONA,BONA_012,NEON.PLA.D19.BONA.01769A,"Picea mariana (Mill.) Britton, Sterns & Poggenb.",PIMA,UNMEASURED,Never measured in survey campaigns
BONA,BONA_076,TEMP.PLA.BONA.2016.00671,"Picea mariana (Mill.) Britton, Sterns & Poggenb.",PIMA,UNMEASURED,Never measured in survey campaigns
BONA,BONA_076,NEON.PLA.D19.BONA.03295,"Picea mariana (Mill.) Britton, Sterns & Poggenb.",PIMA,UNMEASURED,Never measured in survey campaigns
BONA,BONA_010,NEON.PLA.D19.BONA.03998,Salix sp.,SALIX,UNMEASURED,Never measured in survey campaigns
BONA,BONA_072,NEON.PLA.D19.BONA.03488Z,Picea glauca (Moench) Voss,PIGL,UNMEASURED,Never measured in survey campaigns
BONA,BONA_010,NEON.PLA.D19.BONA.03970,Betula neoalaskana Sarg.,BENE4,UNMEASURED,Never measured in survey campaigns
BONA,BONA_012,NEON.PLA.D19.BONA.03389,Populus tremuloides Michx.,POTR5,UNMEASURED,Never measured in survey campaigns
BONA,BONA_005,NEON.PLA.D19.BONA.03862,Alnus viridis (Chaix) DC.,ALVI5,UNMEASURED,Never measured in survey campaigns
BONA,BONA_076,TEMP.PLA.BONA.2016.00670,"Picea mariana (Mill.) Britton, Sterns & Poggenb.",PIMA,UNMEASURED,Never measured in survey campaigns
BONA,BONA_009,NEON.PLA.D19.BONA.01405A,Betula neoalaskana Sarg.,BENE4,UNMEASURED,Never measured in survey campaigns
