siteID,plotID,individualID,scientificName,taxonID,status,reason
CLBJ,CLBJ_041,NEON.PLA.D11.CLBJ.02098,Opuntia sp.,OPUNT,UNMEASURED,Never measured in survey campaigns
CLBJ,CLBJ_039,NEON.PLA.D11.CLBJ.01590,Opuntia sp.,OPUNT,UNMEASURED,Never measured in survey campaigns
CLBJ,CLBJ_047,NEON.PLA.D11.CLBJ.02485,Opuntia sp.,OPUNT,UNMEASURED,Never measured in survey campaigns
CLBJ,CLBJ_041,NEON.PLA.D11.CLBJ.02069,Opuntia sp.,OPUNT,UNMEASURED,Never measured in survey campaigns
CLBJ,CLBJ_047,NEON.PLA.D11.CLBJ.02497,Opuntia sp.,OPUNT,UNMEASURED,Never measured in survey campaigns
CLBJ,CLBJ_041,NEON.PLA.D11.CLBJ.02061,Opuntia sp.,OPUNT,UNMEASURED,Never measured in survey campaigns
CLBJ,CLBJ_049,NEON.PLA.D11.CLBJ.02078,Opuntia sp.,OPUNT,UNMEASURED,Never measured in survey campaigns
CLBJ,CLBJ_047,NEON.PLA.D11.CLBJ.02496,Opuntia sp.,OPUNT,UNMEASURED,Never measured in survey campaigns
CLBJ,CLBJ_039,NEON.PLA.D11.CLBJ.02583,Opuntia sp.,OPUNT,UNMEASURED,Never measured in survey campaigns
CLBJ,CLBJ_033,NEON.PLA.D11.CLBJ.02341,Opuntia sp.,OPUNT,UNMEASURED,Never measured in survey campaigns
CLBJ,CLBJ_047,NEON.PLA.D11.CLBJ.02486,Opuntia sp.,OPUNT,UNMEASURED,Never measured in survey campaigns
CLBJ,CLBJ_033,NEON.PLA.D11.CLBJ.01645,Opuntia sp.,OPUNT,UNMEASURED,Never measured in survey campaigns
CLBJ,CLBJ_041,NEON.PLA.D11.CLBJ.02072,Opuntia sp.,OPUNT,UNMEASURED,Never measured in survey campaigns
CLBJ,CLBJ_032,NEON.PLA.D11.CLBJ.01964,Opuntia sp.,OPUNT,UNMEASURED,Never measured in survey campaigns
CLBJ,CLBJ_041,NEON.PLA.D11.CLBJ.02051,Opuntia sp.,OPUNT,UNMEASURED,Never measured in survey campaigns
CLBJ,CLBJ_051,NEON.PLA.D11.CLBJ.02476,Opuntia sp.,OPUNT,UNMEASURED,Never measured in survey campaigns
CLBJ,CLBJ_032,NEON.PLA.D11.CLBJ.01962,Opuntia sp.,OPUNT,UNMEASURED,Never measured in survey campaigns
CLBJ,CLBJ_033,NEON.PLA.D11.CLBJ.02081,Opuntia sp.,OPUNT,UNMEASURED,Never measured in survey campaigns
CLBJ,CLBJ_051,NEON.PLA.D11.CLBJ.02475,Opuntia sp.,OPUNT,UNMEASURED,Never measured in survey campaigns
CLBJ,CLBJ_045,NEON.PLA.D11.CLBJ.01655,Opuntia sp.,OPUNT,UNMEASURED,Never measured in survey campaigns
CLBJ,CLBJ_047,NEON.PLA.D11.CLBJ.02492,Opuntia sp.,OPUNT,UNMEASURED,Never measured in survey campaigns
CLBJ,CLBJ_033,NEON.PLA.D11.CLBJ.01660,Opuntia sp.,OPUNT,UNMEASURED,Never measured in survey campaigns
CLBJ,CLBJ_033,NEON.PLA.D11.CLBJ.02077,Opuntia sp.,OPUNT,UNMEASURED,Never measured in survey campaigns
CLBJ,CLBJ_041,NEON.PLA.D11.CLBJ.02090,Opuntia sp.,OPUNT,UNMEASURED,Never measured in survey campaigns
