siteID,plotID,individualID,scientificName,taxonID,status,reason
DEJU,DEJU_002,NEON.PLA.D19.DEJU.04807,"Picea mariana (Mill.) Britton, Sterns & Poggenb.",PIMA,UNMEASURED,Never measured in survey campaigns
DEJU,DEJU_047,NEON.PLA.D19.DEJU.04623,Alnus viridis (Chaix) DC.,ALVI5,UNMEASURED,Never measured in survey campaigns
DEJU,DEJU_049,NEON.PLA.D19.DEJU.04334,"Picea mariana (Mill.) Britton, Sterns & Poggenb.",PIMA,UNMEASURED,Never measured in survey campaigns
DEJU,DEJU_047,NEON.PLA.D19.DEJU.04631,Alnus viridis (Chaix) DC.,ALVI5,UNMEASURED,Never measured in survey campaigns
DEJU,DEJU_050,NEON.PLA.D19.DEJU.05049,"Picea mariana (Mill.) Britton, Sterns & Poggenb.",PIMA,UNMEASURED,Never measured in survey campaigns
DEJU,DEJU_003,NEON.PLA.D19.DEJU.09000,"Picea mariana (Mill.) Britton, Sterns & Poggenb.",PIMA,UNMEASURED,Never measured in survey campaigns
DEJU,DEJU_060,NEON.PLA.D19.DEJU.02374,"Picea mariana (Mill.) Britton, Sterns & Poggenb.",PIMA,UNMEASURED,Never measured in survey campaigns
DEJU,DEJU_049,NEON.PLA.D19.DEJU.05045,"Picea mariana (Mill.) Britton, Sterns & Poggenb.",PIMA,UNMEASURED,Never measured in survey campaigns
DEJU,DEJU_050,NEON.PLA.D19.DEJU.05300,"Picea mariana (Mill.) Britton, Sterns & Poggenb.",PIMA,UNMEASURED,Never measured in survey campaigns
DEJU,DEJU_049,NEON.PLA.D19.DEJU.04897,"Picea mariana (Mill.) Britton, Sterns & Poggenb.",PIMA,UNMEASURED,Never measured in survey campaigns
DEJU,DEJU_047,NEON.PLA.D19.DEJU.05054,"Picea mariana (Mill.) Britton, Sterns & Poggenb.",PIMA,UNMEASURED,Never measured in survey campaigns
DEJU,DEJU_008,NEON.PLA.D19.DEJU.04873,"Picea mariana (Mill.) Britton, Sterns & Poggenb.",PIMA,UNMEASURED,Never measured in survey campaigns
DEJU,DEJU_048,NEON.PLA.D19.DEJU.05236,"Picea mariana (Mill.) Britton, Sterns & Poggenb.",PIMA,UNMEASURED,Never measured in survey campaigns
DEJU,DEJU_048,NEON.PLA.D19.DEJU.05273,"Picea mariana (Mill.) Britton, Sterns & Poggenb.",PIMA,UNMEASURED,Never measured in survey campaigns
DEJU,DEJU_049,NEON.PLA.D19.DEJU.05047,Betula glandulosa/nana,BEGL/BENA,UNMEASURED,Never measured in survey campaigns
DEJU,DEJU_047,NEON.PLA.D19.DEJU.04625,"Picea mariana (Mill.) Britton, Sterns & Poggenb.",PIMA,UNMEASURED,Never measured in survey campaigns
DEJU,DEJU_050,NEON.PLA.D19.DEJU.05053,"Picea mariana (Mill.) Britton, Sterns & Poggenb.",PIMA,UNMEASURED,Never measured in survey campaigns
DEJU,DEJU_058,NEON.PLA.D19.DEJU.02047,"Picea mariana (Mill.) Britton, Sterns & Poggenb.",PIMA,UNMEASURED,Never measured in survey campaigns
DEJU,DEJU_048,NEON.PLA.D19.DEJU.05276,"Picea mariana (Mill.) Britton, Sterns & Poggenb.",PIMA,UNMEASURED,Never measured in survey campaigns
DEJU,DEJU_008,NEON.PLA.D19.DEJU.04874,"Picea mariana (Mill.) Britton, Sterns & Poggenb.",PIMA,UNMEASURED,Never measured in survey campaigns
DEJU,DEJU_049,NEON.PLA.D19.DEJU.04895,"Picea mariana (Mill.) Britton, Sterns & Poggenb.",PIMA,UNMEASURED,Never measured in survey campaigns
DEJU,DEJU_048,NEON.PLA.D19.DEJU.05274,"Picea mariana (Mill.) Britton, Sterns & Poggenb.",PIMA,UNMEASURED,Never measured in survey campaigns
DEJU,DEJU_055,NEON.PLA.D19.DEJU.02152,Salix bebbiana Sarg.,SABE2,UNMEASURED,Never measured in survey campaigns
DEJU,DEJU_049,NEON.PLA.D19.DEJU.05046,Betula glandulosa/nana,BEGL/BENA,UNMEASURED,Never measured in survey campaigns
DEJU,DEJU_049,NEON.PLA.D19.DEJU.04337,"Picea mariana (Mill.) Britton, Sterns & Poggenb.",PIMA,UNMEASURED,Never measured in survey campaigns
DEJU,DEJU_049,NEON.PLA.D19.DEJU.04896,"Picea mariana (Mill.) Britton, Sterns & Poggenb.",PIMA,UNMEASURED,Never measured in survey campaigns
DEJU,DEJU_047,NEON.PLA.D19.DEJU.04626,"Picea mariana (Mill.) Britton, Sterns & Poggenb.",PIMA,UNMEASURED,Never measured in survey campaigns
DEJU,DEJU_048,NEON.PLA.D19.DEJU.05275,"Picea mariana (Mill.) Britton, Sterns & Poggenb.",PIMA,UNMEASURED,Never measured in survey campaigns
DEJU,DEJU_047,NEON.PLA.D19.DEJU.00302,"Picea mariana (Mill.) Britton, Sterns & Poggenb.",PIMA,UNMEASURED,Never measured in survey campaigns
DEJU,DEJU_049,NEON.PLA.D19.DEJU.04894,Alnus viridis (Chaix) DC.,ALVI5,UNMEASURED,Never measured in survey campaigns
DEJU,DEJU_050,NEON.PLA.D19.DEJU.05048,"Picea mariana (Mill.) Britton, Sterns & Poggenb.",PIMA,UNMEASURED,Never measured in survey campaigns
DEJU,DEJU_050,NEON.PLA.D19.DEJU.05495,"Picea mariana (Mill.) Britton, Sterns & Poggenb.",PIMA,UNMEASURED,Never measured in survey campaigns
DEJU,DEJU_057,NEON.PLA.D19.DEJU.00157,,,NO_ALLOMETRY,Has diameter measurements but no biomass estimates
DEJU,DEJU_009,NEON.PLA.D19.DEJU.03310,"Picea mariana (Mill.) Britton, Sterns & Poggenb.",PIMA,NO_ALLOMETRY,Has diameter measurements but no biomass estimates
DEJU,DEJU_014,NEON.PLA.D19.DEJU.05366,"Picea mariana (Mill.) Britton, Sterns & Poggenb.",PIMA,NO_ALLOMETRY,Has diameter measurements but no biomass estimates
DEJU,DEJU_014,NEON.PLA.D19.DEJU.05384,"Picea mariana (Mill.) Britton, Sterns & Poggenb.",PIMA,NO_ALLOMETRY,Has diameter measurements but no biomass estimates
DEJU,DEJU_014,NEON.PLA.D19.DEJU.05367,"Picea mariana (Mill.) Britton, Sterns & Poggenb.",PIMA,NO_ALLOMETRY,Has diameter measurements but no biomass estimates
DEJU,DEJU_014,NEON.PLA.D19.DEJU.05383,"Picea mariana (Mill.) Britton, Sterns & Poggenb.",PIMA,NO_ALLOMETRY,Has diameter measurements but no biomass estimates
DEJU,DEJU_014,NEON.PLA.D19.DEJU.05385,"Picea mariana (Mill.) Britton, Sterns & Poggenb.",PIMA,NO_ALLOMETRY,Has diameter measurements but no biomass estimates
DEJU,DEJU_014,NEON.PLA.D19.DEJU.05365,"Picea mariana (Mill.) Britton, Sterns & Poggenb.",PIMA,NO_ALLOMETRY,Has diameter measurements but no biomass estimates
DEJU,DEJU_014,NEON.PLA.D19.DEJU.05368,"Picea mariana (Mill.) Britton, Sterns & Poggenb.",PIMA,NO_ALLOMETRY,Has diameter measurements but no biomass estimates
DEJU,DEJU_048,NEON.PLA.D19.DEJU.02176,"Picea mariana (Mill.) Britton, Sterns & Poggenb.",PIMA,NO_ALLOMETRY,Has diameter measurements but no biomass estimates
DEJU,DEJU_049,NEON.PLA.D19.DEJU.04520,"Picea mariana (Mill.) Britton, Sterns & Poggenb.",PIMA,NO_ALLOMETRY,Has diameter measurements but no biomass estimates
DEJU,DEJU_049,NEON.PLA.D19.DEJU.04519,"Picea mariana (Mill.) Britton, Sterns & Poggenb.",PIMA,NO_ALLOMETRY,Has diameter measurements but no biomass estimates
