siteID,plotID,individualID,scientificName,taxonID,status,reason
DELA,DELA_007,NEON.PLA.D08.DELA.09269,Vitis cinerea (Engelm.) Engelm. ex Millard,VICI2,UNMEASURED,Never measured in survey campaigns
DELA,DELA_037,NEON.PLA.D08.DELA.04992,Ilex decidua Walter,ILDE,UNMEASURED,Never measured in survey campaigns
DELA,DELA_037,NEON.PLA.D08.DELA.04999,Quercus nigra L.,QUNI,UNMEASURED,Never measured in survey campaigns
DELA,DELA_008,NEON.PLA.D08.DELA.09118,Campsis radicans (L.) Seem. ex Bureau,CARA2,UNMEASURED,Never measured in survey campaigns
DELA,DELA_037,NEON.PLA.D08.DELA.03565,Asimina triloba (L.) Dunal,ASTR,UNMEASURED,Never measured in survey campaigns
DELA,DELA_007,NEON.PLA.D08.DELA.09235,Acer negundo L.,ACNE2,UNMEASURED,Never measured in survey campaigns
DELA,DELA_041,NEON.PLA.D08.DELA.14334Z,Fraxinus pennsylvanica Marshall,FRPE,UNMEASURED,Never measured in survey campaigns
DELA,DELA_010,NEON.PLA.D08.DELA.05617,Carya ovata (Mill.) K. Koch,CAOV2,UNMEASURED,Never measured in survey campaigns
DELA,DELA_007,NEON.PLA.D08.DELA.09263,Vitis rotundifolia Michx.,VIRO3,UNMEASURED,Never measured in survey campaigns
DELA,DELA_037,NEON.PLA.D08.DELA.04909,Carpinus caroliniana Walter,CACA18,UNMEASURED,Never measured in survey campaigns
DELA,DELA_054,NEON.PLA.D08.DELA.04702,Ulmus americana L.,ULAM,UNMEASURED,Never measured in survey campaigns
DELA,DELA_008,NEON.PLA.D08.DELA.09103,Brunnichia ovata (Walter) Shinners,BROV4,UNMEASURED,Never measured in survey campaigns
DELA,DELA_010,NEON.PLA.D08.DELA.05653,Vitis rotundifolia Michx.,VIRO3,UNMEASURED,Never measured in survey campaigns
DELA,DELA_019,NEON.PLA.D08.DELA.09002,Cephalanthus occidentalis L.,CEOC2,UNMEASURED,Never measured in survey campaigns
DELA,DELA_054,NEON.PLA.D08.DELA.04711,Carpinus caroliniana Walter,CACA18,UNMEASURED,Never measured in survey campaigns
DELA,DELA_055,NEON.PLA.D08.DELA.03638,Vitis rotundifolia Michx.,VIRO3,UNMEASURED,Never measured in survey campaigns
DELA,DELA_037,NEON.PLA.D08.DELA.04932,Acer negundo L.,ACNE2,UNMEASURED,Never measured in survey campaigns
DELA,DELA_043,NEON.PLA.D08.DELA.04631,Celtis sp.,CELTI,UNMEASURED,Never measured in survey campaigns
DELA,DELA_056,NEON.PLA.D08.DELA.04780,Ligustrum sinense Lour.,LISI,UNMEASURED,Never measured in survey campaigns
DELA,DELA_037,NEON.PLA.D08.DELA.04960,Celtis sp.,CELTI,UNMEASURED,Never measured in survey campaigns
DELA,DELA_007,NEON.PLA.D08.DELA.09238,Acer negundo L.,ACNE2,UNMEASURED,Never measured in survey campaigns
DELA,DELA_008,NEON.PLA.D08.DELA.09120,Brunnichia ovata (Walter) Shinners,BROV4,UNMEASURED,Never measured in survey campaigns
DELA,DELA_037,NEON.PLA.D08.DELA.03517,Quercus nigra L.,QUNI,UNMEASURED,Never measured in survey campaigns
DELA,DELA_037,NEON.PLA.D08.DELA.03566,Asimina triloba (L.) Dunal,ASTR,UNMEASURED,Never measured in survey campaigns
DELA,DELA_010,NEON.PLA.D08.DELA.05660,Toxicodendron radicans (L.) Kuntze,TORA2,UNMEASURED,Never measured in survey campaigns
DELA,DELA_010,NEON.PLA.D08.DELA.05635,Carpinus caroliniana Walter,CACA18,UNMEASURED,Never measured in survey campaigns
DELA,DELA_010,NEON.PLA.D08.DELA.05640,Carpinus caroliniana Walter,CACA18,UNMEASURED,Never measured in survey campaigns
DELA,DELA_010,NEON.PLA.D08.DELA.05642,Cephalanthus occidentalis L.,CEOC2,UNMEASURED,Never measured in survey campaigns
DELA,DELA_019,NEON.PLA.D08.DELA.05678,Cephalanthus occidentalis L.,CEOC2,UNMEASURED,Never measured in survey campaigns
DELA,DELA_037,NEON.PLA.D08.DELA.04995,Asimina triloba (L.) Dunal,ASTR,UNMEASURED,Never measured in survey campaigns
DELA,DELA_037,NEON.PLA.D08.DELA.03559,Ligustrum japonicum Thunb.,LIJA,UNMEASURED,Never measured in survey campaigns
DELA,DELA_037,NEON.PLA.D08.DELA.04964,Quercus nigra L.,QUNI,UNMEASURED,Never measured in survey campaigns
DELA,DELA_007,NEON.PLA.D08.DELA.09241,Acer negundo L.,ACNE2,UNMEASURED,Never measured in survey campaigns
DELA,DELA_007,NEON.PLA.D08.DELA.09230,Diospyros virginiana L.,DIVI5,UNMEASURED,Never measured in survey campaigns
DELA,DELA_019,NEON.PLA.D08.DELA.09037,Brunnichia ovata (Walter) Shinners,BROV4,UNMEASURED,Never measured in survey campaigns
DELA,DELA_007,NEON.PLA.D08.DELA.09260,Vitis rotundifolia Michx.,VIRO3,UNMEASURED,Never measured in survey campaigns
DELA,DELA_053,NEON.PLA.D08.DELA.04229,Berchemia scandens (Hill) K. Koch,BESC,UNMEASURED,Never measured in survey campaigns
