siteID,plotID,year,plotArea_m2,tree_AGBJenkins,tree_AGBChojnacky,tree_AGBAnnighofer,n_trees,small_woody_AGBJenkins,small_woody_AGBChojnacky,small_woody_AGBAnnighofer,n_small_woody_total,n_small_woody_measured,n_unaccounted_trees,total_AGBJenkins,total_AGBChojnacky,total_AGBAnnighofer,growth,growth_cumu
DSNY,DSNY_001,2014,1600.0,0.0,0.0,0.0,0,,,,39,0,78,0.0,0.0,0.0,,0.0
DSNY,DSNY_001,2017,1600.0,0.0,0.0,0.0,0,,,,70,0,78,0.0,0.0,0.0,0.0,0.0
DSNY,DSNY_001,2022,1600.0,0.0,0.0,0.0,0,,,,39,0,78,0.0,0.0,0.0,0.0,0.0
DSNY,DSNY_002,2014,1600.0,0.8490289810317118,0.8640880298774001,,5,11.717760157191599,11.032016231837318,0.6191000166533059,126,6,121,12.56678913822331,11.896104261714719,0.6191000166533059,,0.473207928377488
DSNY,DSNY_002,2017,1600.0,,,,5,12.395646319529554,11.722787586597581,0.624013508848967,127,6,121,12.395646319529554,11.722787586597581,0.624013508848967,-0.05704760623125201,0.473207928377488
DSNY,DSNY_002,2022,1600.0,,,,5,16.10771924157764,15.333909422806933,0.7727736351753054,153,8,121,16.10771924157764,15.333909422806933,0.7727736351753054,0.7424145844096174,0.473207928377488
DSNY,DSNY_003,2014,1600.0,,,,1,,,,131,0,150,0.0,0.0,0.0,,0.0
DSNY,DSNY_003,2017,1600.0,,,,1,,,,145,0,150,0.0,0.0,0.0,0.0,0.0
DSNY,DSNY_003,2022,1600.0,,,,1,,,,140,0,150,0.0,0.0,0.0,0.0,0.0
DSNY,DSNY_004,2014,1600.0,0.0,0.0,0.0,0,,,,212,0,60,0.0,0.0,0.0,,0.0
DSNY,DSNY_004,2016,1600.0,0.0,0.0,0.0,0,,,,212,0,60,0.0,0.0,0.0,0.0,0.0
DSNY,DSNY_004,2017,1600.0,0.0,0.0,0.0,0,,,,240,0,60,0.0,0.0,0.0,0.0,0.0
DSNY,DSNY_004,2022,1600.0,0.0,0.0,0.0,0,,,,215,0,60,0.0,0.0,0.0,0.0,0.0
DSNY,DSNY_005,2014,1600.0,0.0,0.0,0.0,0,,,0.6188042562867099,84,8,94,0.0,0.0,0.6188042562867099,,0.0
DSNY,DSNY_005,2017,1600.0,0.0,0.0,0.0,0,,,0.735519905166994,121,11,94,0.0,0.0,0.735519905166994,0.0,0.0
DSNY,DSNY_005,2022,1600.0,0.0,0.0,0.0,0,,,0.6556378429704427,89,8,94,0.0,0.0,0.6556378429704427,0.0,0.0
DSNY,DSNY_006,2014,1600.0,4.873945418341577,5.6646087128887475,,5,0.43054844903353606,0.3688293181476439,,19,3,175,5.304493867375113,6.0334380310363915,0.0,,0.12387960224225214
DSNY,DSNY_006,2017,1600.0,5.2651507849283385,6.163812246030837,,5,0.4109818891735306,0.3484288062843713,,19,3,175,5.676132674101869,6.512241052315208,0.0,0.12387960224225214,0.12387960224225214
DSNY,DSNY_006,2022,1600.0,5.9171597292396125,6.995818134600988,,5,0.3783709560735171,0.3144279531789197,,19,3,175,6.29553068531313,7.310246087779908,0.0,0.12387960224225214,0.12387960224225214
DSNY,DSNY_007,2016,1600.0,17.753524218709003,17.198989570753817,,2,0.25088151119875457,0.22571028806924098,0.6965910167045547,183,9,59,18.00440572990776,17.424699858823057,0.6965910167045547,,-2.7598969027993303
DSNY,DSNY_007,2017,1600.0,11.806084525633812,11.44452365904725,,2,0.26386383948211883,0.2392144697511315,0.727043083008579,191,10,59,12.06994836511593,11.683738128798382,0.727043083008579,-5.934457364791829,-2.7598969027993303
DSNY,DSNY_007,2022,1600.0,0.0,0.0,0.0,2,0.290638690569049,0.2614785850856781,0.8069797570566425,212,9,59,0.290638690569049,0.2614785850856781,0.8069797570566425,-2.3558619349093766,-2.7598969027993303
DSNY,DSNY_008,2014,1600.0,2.1169851204359476,2.3190649977712954,,5,3.658436139944604,3.2148130105455266,,62,1,199,5.7754212603805515,5.533878008316822,0.0,,-0.4283293407589453
DSNY,DSNY_008,2017,1600.0,2.4097726738046052,2.6762245417407278,,5,6.658452400670001,6.282934873146094,,70,1,199,9.068225074474606,8.959159414886821,0.0,1.0976012713646848,-0.4283293407589453
DSNY,DSNY_008,2022,1600.0,3.0530622014429722,3.4244206437012688,,6,,,,62,0,199,3.0530622014429722,3.4244206437012688,0.0,-1.2030325746063268,-0.4283293407589453
DSNY,DSNY_009,2014,1600.0,0.0,0.0,0.0,0,1.54511602978692,,,40,1,7,1.54511602978692,0.0,0.0,,0.010248218564913257
DSNY,DSNY_009,2017,1600.0,0.0,0.0,0.0,0,1.54511602978692,,,40,1,7,1.54511602978692,0.0,0.0,0.0,0.010248218564913257
DSNY,DSNY_009,2022,1600.0,0.0,0.0,0.0,0,1.622371831276266,,,42,1,7,1.622371831276266,0.0,0.0,0.015451160297869216,0.010248218564913257
DSNY,DSNY_010,2014,1600.0,6.332820390171378,7.831095289693798,,3,0.0,0.0,0.0,0,0,86,6.332820390171378,7.831095289693798,0.0,,0.07758846829820346
DSNY,DSNY_010,2017,1600.0,6.565585795065988,8.144505397785233,,3,0.0,0.0,0.0,0,0,86,6.565585795065988,8.144505397785233,0.0,0.07758846829820332,0.07758846829820346
DSNY,DSNY_010,2022,1600.0,6.953528136557005,8.66685557793765,,3,0.0,0.0,0.0,0,0,86,6.953528136557005,8.66685557793765,0.0,0.0775884682982035,0.07758846829820346
DSNY,DSNY_011,2014,1600.0,35.30263163748757,34.18088241468,,8,0.22336541139043364,0.21314624211751373,0.032329270525520024,9,8,2,35.525997048878004,34.394028656797516,0.032329270525520024,,-0.0022650408494361857
DSNY,DSNY_011,2017,1600.0,35.35466116050329,34.23056000634733,,9,0.22336541139043364,0.21314624211751373,0.032329270525520024,9,8,2,35.57802657189372,34.44370624846485,0.032329270525520024,0.017343174338572947,-0.0022650408494361857
DSNY,DSNY_011,2022,1600.0,35.35466116050329,34.23056000634733,,9,0.16226550705061218,0.15480375849134498,0.0287371293560178,8,7,2,35.5169266675539,34.38536376483868,0.0287371293560178,-0.012219980867963897,-0.0022650408494361857
DSNY,DSNY_012,2014,1600.0,1.5673125117624522,1.879172520046086,,2,0.16501185050955539,0.12153892485555425,,30,4,54,1.7323243622720077,2.0007114449016403,0.0,,0.042647870893876096
DSNY,DSNY_012,2017,1600.0,1.3166417262030126,1.5610968894156874,,2,1.986359416937799,1.7923263402436787,,56,4,54,3.3030011431408113,3.353423229659366,0.0,0.5235589269562678,0.042647870893876096
DSNY,DSNY_012,2022,1600.0,1.1541410844501956,1.2934364153848268,,3,1.141325193924694,1.0182304290284279,,29,3,54,2.2954662783748896,2.3116668444132547,0.0,-0.20150697295318434,0.042647870893876096
DSNY,DSNY_013,2014,1600.0,5.342584198953112,5.897435083225317,,13,0.26002118532881324,0.18843462639702685,2.243806178150549,57,2,30,5.602605384281926,6.085869709622344,2.243806178150549,,-0.0007220075826371174
DSNY,DSNY_013,2016,1600.0,5.342584198953112,5.897435083225317,,13,0.26002118532881324,0.18843462639702685,2.243806178150549,57,2,30,5.602605384281926,6.085869709622344,2.243806178150549,0.0,-0.0007220075826371174
DSNY,DSNY_013,2017,1600.0,5.342584198953112,5.897435083225317,,13,0.3603802393153727,0.26116378044500216,3.1098366328753224,79,2,30,5.702964438268485,6.158598863670319,3.1098366328753224,0.10035905398655931,-0.0007220075826371174
DSNY,DSNY_013,2022,1600.0,5.342584198953112,5.897435083225317,,13,0.26002118532881324,0.18843462639702685,2.243806178150549,57,2,30,5.602605384281926,6.085869709622344,2.243806178150549,-0.02007181079731186,-0.0007220075826371174
DSNY,DSNY_014,2014,1600.0,7.082229653030482,9.439986308268672,,3,,,1.5714640631969399,138,2,152,7.082229653030482,9.439986308268672,1.5714640631969399,,0.07582898063073665
DSNY,DSNY_014,2017,1600.0,6.8831298537396535,9.327708414409763,,3,,,2.2888715703085865,201,2,152,6.8831298537396535,9.327708414409763,2.2888715703085865,-0.06636659976360952,0.07582898063073665
DSNY,DSNY_014,2022,1600.0,7.6232327686636,10.33481807432448,,3,,,1.7536627951618027,154,2,152,7.6232327686636,10.33481807432448,1.7536627951618027,0.14802058298478932,0.07582898063073665
DSNY,DSNY_015,2014,1600.0,2.376663654318569,2.966337661176681,,1,,,,33,0,26,2.376663654318569,2.966337661176681,0.0,,0.0
DSNY,DSNY_015,2017,1600.0,2.376663654318569,2.966337661176681,,1,,,,67,0,26,2.376663654318569,2.966337661176681,0.0,0.0,0.0
DSNY,DSNY_015,2022,1600.0,2.376663654318569,2.966337661176681,,1,,,,33,0,26,2.376663654318569,2.966337661176681,0.0,0.0,0.0
DSNY,DSNY_016,2014,1600.0,0.0,0.0,0.0,0,,,0.028034122537463613,5,5,1,0.0,0.0,0.028034122537463613,,0.0
DSNY,DSNY_016,2017,1600.0,0.0,0.0,0.0,0,,,0.06007733012485523,7,7,1,0.0,0.0,0.06007733012485523,0.0,0.0
DSNY,DSNY_016,2022,1600.0,0.0,0.0,0.0,0,,,0.028034122537463613,5,5,1,0.0,0.0,0.028034122537463613,0.0,0.0
DSNY,DSNY_017,2014,1600.0,0.0,0.0,0.0,0,,,,83,0,84,0.0,0.0,0.0,,0.0
DSNY,DSNY_017,2016,1600.0,0.0,0.0,0.0,0,,,,83,0,84,0.0,0.0,0.0,0.0,0.0
DSNY,DSNY_017,2017,1600.0,0.0,0.0,0.0,0,,,,92,0,84,0.0,0.0,0.0,0.0,0.0
DSNY,DSNY_017,2022,1600.0,0.0,0.0,0.0,0,,,,83,0,84,0.0,0.0,0.0,0.0,0.0
DSNY,DSNY_018,2014,1600.0,4.714029105683505,5.491855374841921,,4,0.3810603757242817,0.3119476622745847,0.664536860289037,39,24,0,5.095089481407786,5.803803037116506,0.664536860289037,,-0.0003988073006010293
DSNY,DSNY_018,2017,1600.0,4.714029105683505,5.491855374841921,,4,0.4006019334537321,0.3279449782886659,0.6986156736371928,41,24,0,5.114631039137237,5.819800353130587,0.6986156736371928,0.006513852576483477,-0.0003988073006010293
DSNY,DSNY_018,2022,1600.0,4.714029105683505,5.491855374841921,,4,0.3810603757242817,0.3119476622745847,0.664536860289037,39,24,0,5.095089481407786,5.803803037116506,0.664536860289037,-0.003908311545890086,-0.0003988073006010293
DSNY,DSNY_019,2014,1600.0,0.45238092069962815,0.44440024206552875,,3,1.3096311891585413,1.2096032413162763,0.05001382466999979,20,9,0,1.7620121098581694,1.6540034833818051,0.05001382466999979,,-0.009354508493989581
DSNY,DSNY_019,2017,1600.0,0.45238092069962815,0.44440024206552875,,3,1.7680021053640305,1.632964375776973,0.06751866330449971,27,9,0,2.220383026063659,2.077364617842502,0.06751866330449971,0.1527903054018298,-0.009354508493989581
DSNY,DSNY_019,2022,1600.0,0.45238092069962815,0.44440024206552875,,3,1.3096311891585413,1.2096032413162763,0.05001382466999979,20,9,0,1.7620121098581694,1.6540034833818051,0.05001382466999979,-0.09167418324109788,-0.009354508493989581
DSNY,DSNY_020,2014,1600.0,0.25528400084624564,0.2624655770198581,,1,,,,56,0,4,0.25528400084624564,0.2624655770198581,0.0,,0.0
DSNY,DSNY_020,2017,1600.0,0.25528400084624564,0.2624655770198581,,1,,,,68,0,4,0.25528400084624564,0.2624655770198581,0.0,0.0,0.0
DSNY,DSNY_020,2022,1600.0,0.25528400084624564,0.2624655770198581,,1,,,,56,0,4,0.25528400084624564,0.2624655770198581,0.0,0.0,0.0
DSNY,DSNY_021,2014,1600.0,0.0,0.0,0.0,0,,,,13,0,0,0.0,0.0,0.0,,0.0
DSNY,DSNY_021,2017,1600.0,0.0,0.0,0.0,0,,,,25,0,0,0.0,0.0,0.0,0.0,0.0
DSNY,DSNY_022,2014,1600.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,,
DSNY,DSNY_023,2014,1600.0,0.0,0.0,0.0,0,,,,12,0,0,0.0,0.0,0.0,,
DSNY,DSNY_024,2014,1600.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,,
DSNY,DSNY_025,2016,1600.0,1.7922939277294514,1.9463860300826015,,4,0.007435939385075751,0.005622491341500456,,1,1,0,1.7997298671145272,1.9520085214241019,0.0,,0.007435939385075585
DSNY,DSNY_025,2017,1600.0,1.7922939277294514,1.9463860300826015,,4,0.014871878770151501,0.011244982683000912,,2,2,0,1.8071658064996028,1.9576310127656025,0.0,0.007435939385075585,0.007435939385075585
DSNY,DSNY_026,2014,1600.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,,
DSNY,DSNY_027,2014,1600.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,,
