siteID,plotID,individualID,scientificName,taxonID,status,reason
GRSM,GRSM_057,NEON.PLA.D07.GRSM.12025,Fraxinus pennsylvanica Marshall,FRPE,UNMEASURED,Never measured in survey campaigns
GRSM,GRSM_005,NEON.PLA.D07.GRSM.02685B,Rhododendron maximum L.,RHMA4,UNMEASURED,Never measured in survey campaigns
GRSM,GRSM_049,NEON.PLA.D07.GRSM.12062,Betula lenta L.,BELE,UNMEASURED,Never measured in survey campaigns
GRSM,GRSM_049,NEON.PLA.D07.GRSM.12405,Magnolia acuminata (L.) L.,MAAC,UNMEASURED,Never measured in survey campaigns
GRSM,GRSM_057,NEON.PLA.D07.GRSM.12038,Prunus serotina Ehrh.,PRSE2,UNMEASURED,Never measured in survey campaigns
GRSM,GRSM_048,NEON.PLA.D07.GRSM.12066,Carpinus caroliniana Walter,CACA18,UNMEASURED,Never measured in survey campaigns
GRSM,GRSM_048,NEON.PLA.D07.GRSM.12068,Acer rubrum L.,ACRU,UNMEASURED,Never measured in survey campaigns
GRSM,GRSM_049,NEON.PLA.D07.GRSM.12098,Robinia pseudoacacia L.,ROPS,UNMEASURED,Never measured in survey campaigns
GRSM,GRSM_017,NEON.PLA.D07.GRSM.02555,Vitis rotundifolia Michx.,VIRO3,UNMEASURED,Never measured in survey campaigns
GRSM,GRSM_048,NEON.PLA.D07.GRSM.12081,Fraxinus pennsylvanica Marshall,FRPE,UNMEASURED,Never measured in survey campaigns
GRSM,GRSM_049,NEON.PLA.D07.GRSM.12064,Liriodendron tulipifera L.,LITU,UNMEASURED,Never measured in survey campaigns
GRSM,GRSM_049,NEON.PLA.D07.GRSM.12059,Robinia pseudoacacia L.,ROPS,UNMEASURED,Never measured in survey campaigns
GRSM,GRSM_057,NEON.PLA.D07.GRSM.12826,Oxydendrum arboreum (L.) DC.,OXAR,UNMEASURED,Never measured in survey campaigns
GRSM,GRSM_049,NEON.PLA.D07.GRSM.12404,Robinia pseudoacacia L.,ROPS,UNMEASURED,Never measured in survey campaigns
GRSM,GRSM_049,NEON.PLA.D07.GRSM.12091,Sassafras albidum (Nutt.) Nees,SAAL5,UNMEASURED,Never measured in survey campaigns
GRSM,GRSM_015,NEON.PLA.D07.GRSM.03094,Carpinus caroliniana Walter,CACA18,UNMEASURED,Never measured in survey campaigns
GRSM,GRSM_049,NEON.PLA.D07.GRSM.12402,Robinia pseudoacacia L.,ROPS,UNMEASURED,Never measured in survey campaigns
GRSM,GRSM_049,NEON.PLA.D07.GRSM.12100,Robinia pseudoacacia L.,ROPS,UNMEASURED,Never measured in survey campaigns
GRSM,GRSM_054,NEON.PLA.D07.GRSM.03679,Prunus serotina Ehrh.,PRSE2,UNMEASURED,Never measured in survey campaigns
GRSM,GRSM_048,NEON.PLA.D07.GRSM.12078,Rhododendron maximum L.,RHMA4,UNMEASURED,Never measured in survey campaigns
GRSM,GRSM_057,NEON.PLA.D07.GRSM.12037,Carpinus caroliniana Walter,CACA18,UNMEASURED,Never measured in survey campaigns
GRSM,GRSM_003,NEON.PLA.D07.GRSM.02653,Oxydendrum arboreum (L.) DC.,OXAR,UNMEASURED,Never measured in survey campaigns
GRSM,GRSM_049,NEON.PLA.D07.GRSM.12095,Robinia pseudoacacia L.,ROPS,UNMEASURED,Never measured in survey campaigns
GRSM,GRSM_049,NEON.PLA.D07.GRSM.12053,Acer rubrum L.,ACRU,UNMEASURED,Never measured in survey campaigns
GRSM,GRSM_049,NEON.PLA.D07.GRSM.12041,Liriodendron tulipifera L.,LITU,UNMEASURED,Never measured in survey campaigns
GRSM,GRSM_049,NEON.PLA.D07.GRSM.12065,Liriodendron tulipifera L.,LITU,UNMEASURED,Never measured in survey campaigns
