siteID,plotID,individualID,scientificName,taxonID,status,reason
HEAL,HEAL_055,NEON.PLA.D19.HEAL.04951,Betula glandulosa/nana,BEGL/BENA,UNMEASURED,Never measured in survey campaigns
HEAL,HEAL_073,NEON.PLA.D19.HEAL.01824,Salix pulchra Cham.,SAPU15,UNMEASURED,Never measured in survey campaigns
HEAL,HEAL_024,NEON.PLA.D19.HEAL.03695,Picea glauca (Moench) Voss,PIGL,UNMEASURED,Never measured in survey campaigns
HEAL,HEAL_055,NEON.PLA.D19.HEAL.40104,Betula glandulosa/nana,BEGL/BENA,UNMEASURED,Never measured in survey campaigns
HEAL,HEAL_055,NEON.PLA.D19.HEAL.04903,Betula glandulosa/nana,BEGL/BENA,UNMEASURED,Never measured in survey campaigns
HEAL,HEAL_023,NEON.PLA.D19.HEAL.01369,Betula sp.,BETUL,UNMEASURED,Never measured in survey campaigns
HEAL,HEAL_023,NEON.PLA.D19.HEAL.03382,Betula occidentalis Hook.,BEOC2,UNMEASURED,Never measured in survey campaigns
HEAL,HEAL_073,NEON.PLA.D19.HEAL.04596,Betula glandulosa/nana,BEGL/BENA,UNMEASURED,Never measured in survey campaigns
HEAL,HEAL_073,NEON.PLA.D19.HEAL.03402,Betula glandulosa/nana,BEGL/BENA,UNMEASURED,Never measured in survey campaigns
HEAL,HEAL_073,NEON.PLA.D19.HEAL.04597,Betula glandulosa/nana,BEGL/BENA,UNMEASURED,Never measured in survey campaigns
HEAL,HEAL_051,NEON.PLA.D19.HEAL.04801,Betula glandulosa/nana,BEGL/BENA,UNMEASURED,Never measured in survey campaigns
HEAL,HEAL_055,NEON.PLA.D19.HEAL.04952,Betula glandulosa/nana,BEGL/BENA,UNMEASURED,Never measured in survey campaigns
HEAL,HEAL_073,NEON.PLA.D19.HEAL.01900,Betula glandulosa/nana,BEGL/BENA,UNMEASURED,Never measured in survey campaigns
HEAL,HEAL_073,NEON.PLA.D19.HEAL.03404,Betula glandulosa/nana,BEGL/BENA,UNMEASURED,Never measured in survey campaigns
HEAL,HEAL_073,NEON.PLA.D19.HEAL.01826,Betula glandulosa/nana,BEGL/BENA,UNMEASURED,Never measured in survey campaigns
HEAL,HEAL_073,NEON.PLA.D19.HEAL.03401,Betula glandulosa/nana,BEGL/BENA,UNMEASURED,Never measured in survey campaigns
HEAL,HEAL_021,NEON.PLA.D19.HEAL.01912,Picea glauca (Moench) Voss,PIGL,UNMEASURED,Never measured in survey campaigns
HEAL,HEAL_024,NEON.PLA.D19.HEAL.03673,Picea glauca (Moench) Voss,PIGL,UNMEASURED,Never measured in survey campaigns
HEAL,HEAL_073,NEON.PLA.D19.HEAL.01820,Betula glandulosa/nana,BEGL/BENA,UNMEASURED,Never measured in survey campaigns
HEAL,HEAL_073,NEON.PLA.D19.HEAL.01806,Betula glandulosa/nana,BEGL/BENA,UNMEASURED,Never measured in survey campaigns
HEAL,HEAL_010,NEON.PLA.D19.HEAL.03380,Picea glauca (Moench) Voss,PIGL,UNMEASURED,Never measured in survey campaigns
HEAL,HEAL_024,NEON.PLA.D19.HEAL.03698,Picea glauca (Moench) Voss,PIGL,UNMEASURED,Never measured in survey campaigns
HEAL,HEAL_017,NEON.PLA.D19.HEAL.02806,Salix pulchra Cham.,SAPU15,UNMEASURED,Never measured in survey campaigns
HEAL,HEAL_073,NEON.PLA.D19.HEAL.01805,Betula glandulosa/nana,BEGL/BENA,UNMEASURED,Never measured in survey campaigns
HEAL,HEAL_073,NEON.PLA.D19.HEAL.04599,Betula glandulosa/nana,BEGL/BENA,UNMEASURED,Never measured in survey campaigns
HEAL,HEAL_073,NEON.PLA.D19.HEAL.01828,Betula glandulosa/nana,BEGL/BENA,UNMEASURED,Never measured in survey campaigns
HEAL,HEAL_073,NEON.PLA.D19.HEAL.04579,Betula glandulosa/nana,BEGL/BENA,UNMEASURED,Never measured in survey campaigns
HEAL,HEAL_073,NEON.PLA.D19.HEAL.01822,Betula glandulosa/nana,BEGL/BENA,UNMEASURED,Never measured in survey campaigns
HEAL,HEAL_014,NEON.PLA.D19.HEAL.03383,Salix bebbiana Sarg.,SABE2,UNMEASURED,Never measured in survey campaigns
HEAL,HEAL_066,NEON.PLA.D19.HEAL.04581,Betula glandulosa/nana,BEGL/BENA,UNMEASURED,Never measured in survey campaigns
HEAL,HEAL_051,NEON.PLA.D19.HEAL.04802,Betula glandulosa/nana,BEGL/BENA,UNMEASURED,Never measured in survey campaigns
HEAL,HEAL_055,NEON.PLA.D19.HEAL.04901,Betula glandulosa/nana,BEGL/BENA,UNMEASURED,Never measured in survey campaigns
HEAL,HEAL_055,NEON.PLA.D19.HEAL.04904,Betula glandulosa/nana,BEGL/BENA,UNMEASURED,Never measured in survey campaigns
HEAL,HEAL_073,NEON.PLA.D19.HEAL.01829,Betula glandulosa/nana,BEGL/BENA,UNMEASURED,Never measured in survey campaigns
HEAL,HEAL_024,NEON.PLA.D19.HEAL.03697,Picea glauca (Moench) Voss,PIGL,UNMEASURED,Never measured in survey campaigns
HEAL,HEAL_047,NEON.PLA.D19.HEAL.04953,Betula glandulosa/nana,BEGL/BENA,UNMEASURED,Never measured in survey campaigns
HEAL,HEAL_073,NEON.PLA.D19.HEAL.04578,Betula glandulosa/nana,BEGL/BENA,UNMEASURED,Never measured in survey campaigns
HEAL,HEAL_073,NEON.PLA.D19.HEAL.03403,Betula glandulosa/nana,BEGL/BENA,UNMEASURED,Never measured in survey campaigns
HEAL,HEAL_051,NEON.PLA.D19.HEAL.04805,Betula glandulosa/nana,BEGL/BENA,UNMEASURED,Never measured in survey campaigns
HEAL,HEAL_051,NEON.PLA.D19.HEAL.04803,Betula glandulosa/nana,BEGL/BENA,UNMEASURED,Never measured in survey campaigns
HEAL,HEAL_073,NEON.PLA.D19.HEAL.01263,Betula glandulosa/nana,BEGL/BENA,UNMEASURED,Never measured in survey campaigns
HEAL,HEAL_051,NEON.PLA.D19.HEAL.04804,Betula glandulosa/nana,BEGL/BENA,UNMEASURED,Never measured in survey campaigns
HEAL,HEAL_055,NEON.PLA.D19.HEAL.04902,Betula glandulosa/nana,BEGL/BENA,UNMEASURED,Never measured in survey campaigns
HEAL,HEAL_073,NEON.PLA.D19.HEAL.04577,Betula glandulosa/nana,BEGL/BENA,UNMEASURED,Never measured in survey campaigns
HEAL,HEAL_073,NEON.PLA.D19.HEAL.01821,Betula glandulosa/nana,BEGL/BENA,UNMEASURED,Never measured in survey campaigns
HEAL,HEAL_073,NEON.PLA.D19.HEAL.04598,Betula glandulosa/nana,BEGL/BENA,UNMEASURED,Never measured in survey campaigns
HEAL,HEAL_073,NEON.PLA.D19.HEAL.01819,Betula glandulosa/nana,BEGL/BENA,UNMEASURED,Never measured in survey campaigns
HEAL,HEAL_017,NEON.PLA.D19.HEAL.03381,Picea glauca (Moench) Voss,PIGL,UNMEASURED,Never measured in survey campaigns
HEAL,HEAL_051,NEON.PLA.D19.HEAL.04806,Betula glandulosa/nana,BEGL/BENA,UNMEASURED,Never measured in survey campaigns
HEAL,HEAL_026,NEON.PLA.D19.HEAL.02332,Betula glandulosa/nana,BEGL/BENA,UNMEASURED,Never measured in survey campaigns
HEAL,HEAL_047,NEON.PLA.D19.HEAL.04954,Betula glandulosa/nana,BEGL/BENA,UNMEASURED,Never measured in survey campaigns
HEAL,HEAL_073,NEON.PLA.D19.HEAL.04580,Betula glandulosa/nana,BEGL/BENA,UNMEASURED,Never measured in survey campaigns
