siteID,plotID,individualID,year,AGBJenkins,AGBChojnacky,AGBAnnighofer,growth_AGBJenkins,growth_cumu_AGBJenkins,growth_AGBChojnacky,growth_cumu_AGBChojnacky,growth_AGBAnnighofer,growth_cumu_AGBAnnighofer,stemDiameter,height,plantStatus,corrected_is_dead,gapFilling,scientificName,taxonID,genus,family,taxonRank,pointID,stemDistance,stemAzimuth
JERC,JERC_005,NEON.PLA.D03.JERC.00001,2014,167.351498740054,194.493550962985,0.0,,0.0,,0.0,,0.0,23.2,,,False,FILLED,Pinus palustris Mill.,PIPA2,Pinus,Pinaceae,species,41,5.9,305.4
JERC,JERC_005,NEON.PLA.D03.JERC.00001,2020,167.351498740054,194.493550962985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.2,20.8,"Live, physically damaged",False,ORIGINAL,Pinus palustris Mill.,PIPA2,Pinus,Pinaceae,species,41,5.9,305.4
JERC,JERC_005,NEON.PLA.D03.JERC.00002,2014,714.113736021964,941.464221452696,0.0,,0.0,,0.0,,0.0,42.1,,,False,FILLED,Pinus palustris Mill.,PIPA2,Pinus,Pinaceae,species,41,9.8,301.8
JERC,JERC_005,NEON.PLA.D03.JERC.00002,2020,714.113736021964,941.464221452696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.1,26.7,"Live, physically damaged",False,ORIGINAL,Pinus palustris Mill.,PIPA2,Pinus,Pinaceae,species,41,9.8,301.8
JERC,JERC_005,NEON.PLA.D03.JERC.00003,2014,471.469853531486,599.543349476052,0.0,,0.0,,0.0,,0.0,35.5,,,False,FILLED,Pinus palustris Mill.,PIPA2,Pinus,Pinaceae,species,41,9.3,344.3
JERC,JERC_005,NEON.PLA.D03.JERC.00003,2020,471.469853531486,599.543349476052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.5,24.6,"Live, physically damaged",False,ORIGINAL,Pinus palustris Mill.,PIPA2,Pinus,Pinaceae,species,41,9.3,344.3
JERC,JERC_005,NEON.PLA.D03.JERC.00004,2014,563.597416993541,727.900375555987,0.0,,0.0,,0.0,,0.0,38.2,,,False,FILLED,Pinus palustris Mill.,PIPA2,Pinus,Pinaceae,species,41,9.3,66.8
JERC,JERC_005,NEON.PLA.D03.JERC.00004,2020,563.597416993541,727.900375555987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.2,23.5,"Live, physically damaged",False,ORIGINAL,Pinus palustris Mill.,PIPA2,Pinus,Pinaceae,species,41,9.3,66.8
JERC,JERC_002,NEON.PLA.D03.JERC.00056,2014,545.803687279912,702.956800685064,0.0,,0.0,,0.0,,0.0,37.7,,,False,FILLED,Pinus palustris Mill.,PIPA2,Pinus,Pinaceae,species,41,6.8,248.2
JERC,JERC_002,NEON.PLA.D03.JERC.00056,2020,545.803687279912,702.956800685064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.7,25.9,"Live, physically damaged",False,ORIGINAL,Pinus palustris Mill.,PIPA2,Pinus,Pinaceae,species,41,6.8,248.2
JERC,JERC_002,NEON.PLA.D03.JERC.00058,2014,471.469853531486,599.543349476052,0.0,,0.0,,0.0,,0.0,35.5,,,False,FILLED,Pinus palustris Mill.,PIPA2,Pinus,Pinaceae,species,41,8.4,82.5
JERC,JERC_002,NEON.PLA.D03.JERC.00058,2020,471.469853531486,599.543349476052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.5,26.2,Live,False,ORIGINAL,Pinus palustris Mill.,PIPA2,Pinus,Pinaceae,species,41,8.4,82.5
