siteID,plotID,individualID,scientificName,taxonID,status,reason
JERC,JERC_044,NEON.PLA.D03.JERC.01773,Diospyros virginiana L.,DIVI5,UNMEASURED,Never measured in survey campaigns
JERC,JERC_048,TEMP.PLA.JERC.2022.48700,Quercus incana W. Bartram,QUIN,UNMEASURED,Never measured in survey campaigns
JERC,JERC_008,NEON.PLA.D03.JERC.00118,Sassafras albidum (Nutt.) Nees,SAAL5,UNMEASURED,Never measured in survey campaigns
JERC,JERC_013,NEON.PLA.D03.JERC.01323,Pinus palustris Mill.,PIPA2,UNMEASURED,Never measured in survey campaigns
JERC,JERC_030,NEON.PLA.D03.JERC.01788,Prunus serotina Ehrh.,PRSE2,UNMEASURED,Never measured in survey campaigns
JERC,JERC_030,NEON.PLA.D03.JERC.01813,Callicarpa americana L.,CAAM2,UNMEASURED,Never measured in survey campaigns
JERC,JERC_016,NEON.PLA.D03.JERC.00493,Vitis rotundifolia Michx.,VIRO3,UNMEASURED,Never measured in survey campaigns
JERC,JERC_050,NEON.PLA.D03.JERC.07870,Yucca filamentosa L.,YUFI,UNMEASURED,Never measured in survey campaigns
JERC,JERC_042,NEON.PLA.D03.JERC.02093,Pinus palustris Mill.,PIPA2,UNMEASURED,Never measured in survey campaigns
JERC,JERC_048,NEON.PLA.D03.JERC.03433,Quercus margaretta,QUMA13,UNMEASURED,Never measured in survey campaigns
JERC,JERC_044,NEON.PLA.D03.JERC.01746,Pinus palustris Mill.,PIPA2,UNMEASURED,Never measured in survey campaigns
JERC,JERC_050,NEON.PLA.D03.JERC.07873,Yucca filamentosa L.,YUFI,UNMEASURED,Never measured in survey campaigns
JERC,JERC_028,NEON.PLA.D03.JERC.01923,Acer saccharinum L.,ACSA2,UNMEASURED,Never measured in survey campaigns
JERC,JERC_028,NEON.PLA.D03.JERC.01856,Ilex vomitoria Aiton,ILVO,UNMEASURED,Never measured in survey campaigns
JERC,JERC_028,NEON.PLA.D03.JERC.01965,Acer saccharinum L.,ACSA2,UNMEASURED,Never measured in survey campaigns
JERC,JERC_019,NEON.PLA.D03.JERC.00358,Robinia pseudoacacia L.,ROPS,UNMEASURED,Never measured in survey campaigns
JERC,JERC_011,NEON.PLA.D03.JERC.01459,Diospyros virginiana L.,DIVI5,UNMEASURED,Never measured in survey campaigns
JERC,JERC_008,NEON.PLA.D03.JERC.00112,Unknown plant,2PLANT,UNMEASURED,Never measured in survey campaigns
JERC,JERC_019,NEON.PLA.D03.JERC.08359,Quercus laurifolia Michx.,QULA3,UNMEASURED,Never measured in survey campaigns
JERC,JERC_044,NEON.PLA.D03.JERC.01732,Diospyros virginiana L.,DIVI5,UNMEASURED,Never measured in survey campaigns
JERC,JERC_002,NEON.PLA.D03.JERC.00064,Sassafras albidum (Nutt.) Nees,SAAL5,UNMEASURED,Never measured in survey campaigns
JERC,JERC_013,NEON.PLA.D03.JERC.01295,Quercus nigra L.,QUNI,UNMEASURED,Never measured in survey campaigns
JERC,JERC_049,TEMP.PLA.JERC.2019.49224,Quercus margaretta,QUMA13,UNMEASURED,Never measured in survey campaigns
JERC,JERC_010,NEON.PLA.D03.JERC.01048,Sassafras albidum (Nutt.) Nees,SAAL5,UNMEASURED,Never measured in survey campaigns
JERC,JERC_028,NEON.PLA.D03.JERC.01905,Acer saccharinum L.,ACSA2,UNMEASURED,Never measured in survey campaigns
JERC,JERC_028,NEON.PLA.D03.JERC.01932,Fraxinus caroliniana Mill.,FRCA3,UNMEASURED,Never measured in survey campaigns
JERC,JERC_028,NEON.PLA.D03.JERC.01900,Acer saccharinum L.,ACSA2,UNMEASURED,Never measured in survey campaigns
JERC,JERC_028,NEON.PLA.D03.JERC.01963,Ostrya virginiana (Mill.) K. Koch,OSVI,UNMEASURED,Never measured in survey campaigns
JERC,JERC_008,NEON.PLA.D03.JERC.05927,Sassafras albidum (Nutt.) Nees,SAAL5,UNMEASURED,Never measured in survey campaigns
JERC,JERC_016,NEON.PLA.D03.JERC.00490,Quercus laurifolia Michx.,QULA3,UNMEASURED,Never measured in survey campaigns
