siteID,plotID,individualID,scientificName,taxonID,status,reason
KONZ,KONZ_045,TEMP.PLA.KONZ.2020.45032,Cornus drummondii C.A. Mey.,CODR,UNMEASURED,Never measured in survey campaigns
KONZ,KONZ_042,TEMP.PLA.KONZ.2021.42051,Cornus drummondii C.A. Mey.,CODR,UNMEASURED,Never measured in survey campaigns
KONZ,KONZ_042,TEMP.PLA.KONZ.2021.42038,Cornus drummondii C.A. Mey.,CODR,UNMEASURED,Never measured in survey campaigns
KONZ,KONZ_045,TEMP.PLA.KONZ.2020.45043,Cornus drummondii C.A. Mey.,CODR,UNMEASURED,Never measured in survey campaigns
KONZ,KONZ_045,TEMP.PLA.KONZ.2020.45022,Cornus drummondii C.A. Mey.,CODR,UNMEASURED,Never measured in survey campaigns
KONZ,KONZ_044,TEMP.PLA.KONZ.2020.44001,Cornus drummondii C.A. Mey.,CODR,UNMEASURED,Never measured in survey campaigns
KONZ,KONZ_045,TEMP.PLA.KONZ.2020.45024,Cornus drummondii C.A. Mey.,CODR,UNMEASURED,Never measured in survey campaigns
KONZ,KONZ_045,TEMP.PLA.KONZ.2020.45025,Cornus drummondii C.A. Mey.,CODR,UNMEASURED,Never measured in survey campaigns
KONZ,KONZ_044,TEMP.PLA.KONZ.2021.44018,Cornus drummondii C.A. Mey.,CODR,UNMEASURED,Never measured in survey campaigns
KONZ,KONZ_060,TEMP.PLA.KONZ.2022.60152,Cornus drummondii C.A. Mey.,CODR,UNMEASURED,Never measured in survey campaigns
KONZ,KONZ_042,TEMP.PLA.KONZ.2022.42020,Cornus drummondii C.A. Mey.,CODR,UNMEASURED,Never measured in survey campaigns
KONZ,KONZ_060,TEMP.PLA.KONZ.2022.60153,Cornus drummondii C.A. Mey.,CODR,UNMEASURED,Never measured in survey campaigns
KONZ,KONZ_042,TEMP.PLA.KONZ.2021.42044,Cornus drummondii C.A. Mey.,CODR,UNMEASURED,Never measured in survey campaigns
KONZ,KONZ_045,TEMP.PLA.KONZ.2020.45039,Cornus drummondii C.A. Mey.,CODR,UNMEASURED,Never measured in survey campaigns
KONZ,KONZ_061,NEON.PLA.D06.KONZ.03108,Cornus drummondii C.A. Mey.,CODR,UNMEASURED,Never measured in survey campaigns
KONZ,KONZ_025,NEON.PLA.D06.KONZ.05402,Quercus muehlenbergii Engelm.,QUMU,UNMEASURED,Never measured in survey campaigns
KONZ,KONZ_044,TEMP.PLA.KONZ.2021.44021,Cornus drummondii C.A. Mey.,CODR,UNMEASURED,Never measured in survey campaigns
KONZ,KONZ_045,TEMP.PLA.KONZ.2020.45040,Cornus drummondii C.A. Mey.,CODR,UNMEASURED,Never measured in survey campaigns
KONZ,KONZ_045,TEMP.PLA.KONZ.2020.45029,Cornus drummondii C.A. Mey.,CODR,UNMEASURED,Never measured in survey campaigns
KONZ,KONZ_045,TEMP.PLA.KONZ.2020.45026,Cornus drummondii C.A. Mey.,CODR,UNMEASURED,Never measured in survey campaigns
KONZ,KONZ_042,TEMP.PLA.KONZ.2021.42045,Cornus drummondii C.A. Mey.,CODR,UNMEASURED,Never measured in survey campaigns
KONZ,KONZ_024,NEON.PLA.D06.KONZ.05406Z,Juniperus virginiana L.,JUVI,UNMEASURED,Never measured in survey campaigns
KONZ,KONZ_042,TEMP.PLA.KONZ.2021.42056,Cornus drummondii C.A. Mey.,CODR,UNMEASURED,Never measured in survey campaigns
KONZ,KONZ_042,TEMP.PLA.KONZ.2021.42052,Cornus drummondii C.A. Mey.,CODR,UNMEASURED,Never measured in survey campaigns
