siteID,plotID,individualID,year,AGBJenkins,AGBChojnacky,AGBAnnighofer,growth_AGBJenkins,growth_cumu_AGBJenkins,growth_AGBChojnacky,growth_cumu_AGBChojnacky,growth_AGBAnnighofer,growth_cumu_AGBAnnighofer,stemDiameter,height,plantStatus,corrected_is_dead,gapFilling,scientificName,taxonID,genus,family,taxonRank,pointID,stemDistance,stemAzimuth
LENO,LENO_002,NEON.PLA.D08.LENO.00016,2017,52.7368823038839,74.7023205561495,0.0,,5.74263490258085,,8.335874327135876,,0.0,13.4,8.8,Live,False,ORIGINAL,Carpinus caroliniana Walter,CACA18,Carpinus,Betulaceae,species,51,14.6,209.0
LENO,LENO_002,NEON.PLA.D08.LENO.00016,2021,75.7074219142073,108.045817864693,0.0,5.74263490258085,5.74263490258085,8.335874327135876,8.335874327135876,0.0,0.0,15.5,8.2,"Live, physically damaged",False,ORIGINAL,Carpinus caroliniana Walter,CACA18,Carpinus,Betulaceae,species,51,14.6,209.0
LENO,LENO_002,NEON.PLA.D08.LENO.00019,2021,37.2061372953452,35.6731737096504,0.0,,,,,,,10.1,7.9,"Live, physically damaged",False,ORIGINAL,Quercus laurifolia Michx.,QULA3,Quercus,Fagaceae,species,31,11.7,24.5
LENO,LENO_002,NEON.PLA.D08.LENO.00020,2017,382.253771660947,368.897113717338,0.0,,31.861306440484,,30.846897596582252,,0.0,26.3,17.8,Live,False,ORIGINAL,Quercus lyrata Walter,QULY,Quercus,Fagaceae,species,49,10.8,137.0
LENO,LENO_002,NEON.PLA.D08.LENO.00020,2021,509.698997422883,492.284704103667,0.0,31.861306440484,31.861306440484,30.846897596582252,30.846897596582252,0.0,0.0,29.6,17.0,Live,False,ORIGINAL,Quercus lyrata Walter,QULY,Quercus,Fagaceae,species,49,10.8,137.0
LENO,LENO_002,NEON.PLA.D08.LENO.00021,2017,48.8988947973132,46.9199732412071,0.0,,-12.2247236993283,,-11.729993310301776,,0.0,11.3,8.9,Live,False,ORIGINAL,Quercus laurifolia Michx.,QULA3,Quercus,Fagaceae,species,,,
LENO,LENO_002,NEON.PLA.D08.LENO.00021,2021,0.0,0.0,0.0,-12.2247236993283,-12.2247236993283,-11.729993310301776,-11.729993310301776,0.0,0.0,11.3,,"Lost, presumed dead",True,ORIGINAL,Quercus laurifolia Michx.,QULA3,Quercus,Fagaceae,species,,,
LENO,LENO_002,NEON.PLA.D08.LENO.00022,2017,236.017200875929,246.548279559127,0.0,,6.163375500922754,,6.247471917623507,,0.0,24.5,21.3,"Live, disease damaged",False,ORIGINAL,Ulmus americana L.,ULAM,Ulmus,Ulmaceae,species,49,13.1,135.9
LENO,LENO_002,NEON.PLA.D08.LENO.00022,2021,260.67070287962,271.538167229621,0.0,6.163375500922754,6.163375500922754,6.247471917623507,6.247471917623507,0.0,0.0,25.5,3.9,"Live, broken bole",False,ORIGINAL,Ulmus americana L.,ULAM,Ulmus,Ulmaceae,species,49,13.1,135.9
LENO,LENO_002,NEON.PLA.D08.LENO.00025,2017,7391.32565936862,7192.32534822335,0.0,,134.4747637022624,,131.23280475013235,,0.0,88.8,27.5,Live,False,ORIGINAL,Quercus phellos L.,QUPH,Quercus,Fagaceae,species,49,7.5,127.8
LENO,LENO_002,NEON.PLA.D08.LENO.00025,2021,7929.22471417767,7717.25656722388,0.0,134.4747637022624,134.4747637022624,131.23280475013235,131.23280475013235,0.0,0.0,91.4,33.6,Live,False,ORIGINAL,Quercus phellos L.,QUPH,Quercus,Fagaceae,species,49,7.5,127.8
