siteID,plotID,individualID,scientificName,taxonID,status,reason
LENO,LENO_069,NEON.PLA.D08.LENO.08202,Ilex decidua Walter,ILDE,UNMEASURED,Never measured in survey campaigns
LENO,LENO_005,NEON.PLA.D08.LENO.11698Z,Quercus pagoda Raf.,QUPA5,UNMEASURED,Never measured in survey campaigns
LENO,LENO_070,NEON.PLA.D08.LENO.08341,Ilex decidua Walter,ILDE,UNMEASURED,Never measured in survey campaigns
LENO,LENO_004,NEON.PLA.D08.LENO.01553Z,Liquidambar styraciflua L.,LIST2,UNMEASURED,Never measured in survey campaigns
LENO,LENO_002,NEON.PLA.D08.LENO.11695Z,Quercus laurifolia Michx.,QULA3,UNMEASURED,Never measured in survey campaigns
LENO,LENO_001,NEON.PLA.D08.LENO.01187Z,Platanus occidentalis L.,PLOC,UNMEASURED,Never measured in survey campaigns
LENO,LENO_019,NEON.PLA.D08.LENO.01557Z,Pinus taeda L.,PITA,UNMEASURED,Never measured in survey campaigns
LENO,LENO_070,NEON.PLA.D08.LENO.08354,Crataegus sp.,CRATA,UNMEASURED,Never measured in survey campaigns
LENO,LENO_069,NEON.PLA.D08.LENO.08215,Ilex decidua Walter,ILDE,UNMEASURED,Never measured in survey campaigns
LENO,LENO_069,NEON.PLA.D08.LENO.08219,Ilex decidua Walter,ILDE,UNMEASURED,Never measured in survey campaigns
LENO,LENO_001,NEON.PLA.D08.LENO.01188Z,Fraxinus pennsylvanica Marshall,FRPE,UNMEASURED,Never measured in survey campaigns
LENO,LENO_022,NEON.PLA.D08.LENO.00810,Liquidambar styraciflua L.,LIST2,UNMEASURED,Never measured in survey campaigns
LENO,LENO_005,NEON.PLA.D08.LENO.01555Z,Fraxinus pennsylvanica Marshall,FRPE,UNMEASURED,Never measured in survey campaigns
LENO,LENO_062,NEON.PLA.D08.LENO.01191Z,Ulmus americana L.,ULAM,UNMEASURED,Never measured in survey campaigns
LENO,LENO_011,NEON.PLA.D08.LENO.11699Z,Liquidambar styraciflua L.,LIST2,UNMEASURED,Never measured in survey campaigns
LENO,LENO_068,NEON.PLA.D08.LENO.08673,Carpinus caroliniana Walter,CACA18,UNMEASURED,Never measured in survey campaigns
LENO,LENO_069,NEON.PLA.D08.LENO.08192,Ilex decidua Walter,ILDE,UNMEASURED,Never measured in survey campaigns
LENO,LENO_069,NEON.PLA.D08.LENO.08218,Ilex decidua Walter,ILDE,UNMEASURED,Never measured in survey campaigns
LENO,LENO_069,NEON.PLA.D08.LENO.01561Z,Carya aquatica (Michx. f.) Nutt.,CAAQ2,UNMEASURED,Never measured in survey campaigns
LENO,LENO_061,NEON.PLA.D08.LENO.01189Z,Carpinus caroliniana Walter,CACA18,UNMEASURED,Never measured in survey campaigns
LENO,LENO_005,NEON.PLA.D08.LENO.01554Z,Celtis laevigata Willd.,CELA,UNMEASURED,Never measured in survey campaigns
LENO,LENO_009,NEON.PLA.D08.LENO.00554,Ilex decidua Walter,ILDE,UNMEASURED,Never measured in survey campaigns
LENO,LENO_063,NEON.PLA.D08.LENO.01560Z,Quercus pagoda Raf.,QUPA5,UNMEASURED,Never measured in survey campaigns
LENO,LENO_007,NEON.PLA.D08.LENO.01556Z,Pinus glabra Walter,PIGL2,UNMEASURED,Never measured in survey campaigns
