siteID,plotID,individualID,year,AGBJenkins,AGBChojnacky,AGBAnnighofer,growth_AGBJenkins,growth_cumu_AGBJenkins,growth_AGBChojnacky,growth_cumu_AGBChojnacky,growth_AGBAnnighofer,growth_cumu_AGBAnnighofer,stemDiameter,height,plantStatus,corrected_is_dead,gapFilling,scientificName,taxonID,genus,family,taxonRank,pointID,stemDistance,stemAzimuth
MOAB,MOAB_024,NEON.PLA.D13.MOAB.00517,2016,0.0,0.0,0.0,,0.0,,0.0,,0.0,11.2,2.4,Live,False,ORIGINAL,Juniperus osteosperma (Torr.) Little,JUOS,Juniperus,Cupressaceae,species,31,3.4,26.9
MOAB,MOAB_024,NEON.PLA.D13.MOAB.00517,2018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.5,2.1,"Live, insect damaged",False,ORIGINAL,Juniperus osteosperma (Torr.) Little,JUOS,Juniperus,Cupressaceae,species,31,3.4,26.9
MOAB,MOAB_024,NEON.PLA.D13.MOAB.00517,2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.2,2.8,Live,False,ORIGINAL,Juniperus osteosperma (Torr.) Little,JUOS,Juniperus,Cupressaceae,species,31,3.4,26.9
MOAB,MOAB_024,NEON.PLA.D13.MOAB.00518,2016,0.0,0.0,0.0,,0.0,,0.0,,0.0,23.4,4.1,Live,False,ORIGINAL,Pinus edulis Engelm.,PIED,Pinus,Pinaceae,species,31,6.2,12.1
MOAB,MOAB_024,NEON.PLA.D13.MOAB.00518,2018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.2,3.9,"Live, disease damaged",False,ORIGINAL,Pinus edulis Engelm.,PIED,Pinus,Pinaceae,species,31,6.2,12.1
MOAB,MOAB_024,NEON.PLA.D13.MOAB.00518,2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.3,4.2,Standing dead,True,ORIGINAL,Pinus edulis Engelm.,PIED,Pinus,Pinaceae,species,31,6.2,12.1
MOAB,MOAB_024,NEON.PLA.D13.MOAB.00519,2016,0.0,0.0,0.0,,0.0,,0.0,,0.0,15.7,2.8,Live,False,ORIGINAL,Pinus edulis Engelm.,PIED,Pinus,Pinaceae,species,31,9.0,20.1
MOAB,MOAB_024,NEON.PLA.D13.MOAB.00519,2018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.3,3.4,"Live, disease damaged",False,ORIGINAL,Pinus edulis Engelm.,PIED,Pinus,Pinaceae,species,31,9.0,20.1
MOAB,MOAB_024,NEON.PLA.D13.MOAB.00519,2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.4,3.5,Live,False,ORIGINAL,Pinus edulis Engelm.,PIED,Pinus,Pinaceae,species,31,9.0,20.1
MOAB,MOAB_024,NEON.PLA.D13.MOAB.00519A,2016,0.0,0.0,0.0,,0.0,,0.0,,0.0,14.3,,,False,FILLED,Pinus edulis Engelm.,PIED,Pinus,Pinaceae,species,,,
MOAB,MOAB_024,NEON.PLA.D13.MOAB.00519A,2018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.3,,"Live, disease damaged",False,ORIGINAL,Pinus edulis Engelm.,PIED,Pinus,Pinaceae,species,,,
MOAB,MOAB_024,NEON.PLA.D13.MOAB.00519A,2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,,Live,False,ORIGINAL,Pinus edulis Engelm.,PIED,Pinus,Pinaceae,species,,,
