siteID,plotID,year,plotArea_m2,tree_AGBJenkins,tree_AGBChojnacky,tree_AGBAnnighofer,n_trees,small_woody_AGBJenkins,small_woody_AGBChojnacky,small_woody_AGBAnnighofer,n_small_woody_total,n_small_woody_measured,n_unaccounted_trees,total_AGBJenkins,total_AGBChojnacky,total_AGBAnnighofer,growth,growth_cumu
MOAB,MOAB_001,2015,1600,0.0,0.0,0.0,0,,,,12,0,1,0.0,0.0,0.0,,0.0
MOAB,MOAB_001,2016,1600,0.0,0.0,0.0,0,,,,29,0,1,0.0,0.0,0.0,0.0,0.0
MOAB,MOAB_001,2018,1600,0.0,0.0,0.0,0,,,,20,0,1,0.0,0.0,0.0,0.0,0.0
MOAB,MOAB_001,2023,1600,0.0,0.0,0.0,0,,,,12,0,1,0.0,0.0,0.0,0.0,0.0
MOAB,MOAB_002,2015,1600,0.0,0.0,0.0,0,,,,7,0,0,0.0,0.0,0.0,,0.0
MOAB,MOAB_002,2016,1600,0.0,0.0,0.0,0,,,,14,0,0,0.0,0.0,0.0,0.0,0.0
MOAB,MOAB_002,2018,1600,0.0,0.0,0.0,0,,,,8,0,0,0.0,0.0,0.0,0.0,0.0
MOAB,MOAB_002,2023,1600,0.0,0.0,0.0,0,,,,7,0,0,0.0,0.0,0.0,0.0,0.0
MOAB,MOAB_003,2016,1600,,,,27,,,,78,0,31,0.0,0.0,0.0,,0.0
MOAB,MOAB_003,2018,1600,,,,27,,,,54,0,31,0.0,0.0,0.0,0.0,0.0
MOAB,MOAB_003,2023,1600,,,,30,,,,55,0,31,0.0,0.0,0.0,0.0,0.0
MOAB,MOAB_004,2015,1600,0.0,0.0,0.0,0,,,,7,0,0,0.0,0.0,0.0,,0.0
MOAB,MOAB_004,2016,1600,0.0,0.0,0.0,0,,,,24,0,0,0.0,0.0,0.0,0.0,0.0
MOAB,MOAB_004,2018,1600,0.0,0.0,0.0,0,,,,18,0,0,0.0,0.0,0.0,0.0,0.0
MOAB,MOAB_004,2023,1600,0.0,0.0,0.0,0,,,,7,0,0,0.0,0.0,0.0,0.0,0.0
MOAB,MOAB_005,2015,1600,0.0,0.0,0.0,0,,,,32,0,1,0.0,0.0,0.0,,0.0
