siteID,plotID,individualID,scientificName,taxonID,status,reason
MOAB,MOAB_054,NEON.PLA.D13.MOAB.03991,Krascheninnikovia lanata (Pursh) A. Meeuse & Smit,KRLA2,UNMEASURED,Never measured in survey campaigns
MOAB,MOAB_001,NEON.PLA.D13.MOAB.03997,Krascheninnikovia lanata (Pursh) A. Meeuse & Smit,KRLA2,UNMEASURED,Never measured in survey campaigns
MOAB,MOAB_044,NEON.PLA.D13.MOAB.03992,Krascheninnikovia lanata (Pursh) A. Meeuse & Smit,KRLA2,UNMEASURED,Never measured in survey campaigns
MOAB,MOAB_047,NEON.PLA.D13.MOAB.03994,Krascheninnikovia lanata (Pursh) A. Meeuse & Smit,KRLA2,UNMEASURED,Never measured in survey campaigns
MOAB,MOAB_047,NEON.PLA.D13.MOAB.03993,Ephedra viridis Coville,EPVI,UNMEASURED,Never measured in survey campaigns
MOAB,MOAB_010,NEON.PLA.D13.MOAB.03996,Krascheninnikovia lanata (Pursh) A. Meeuse & Smit,KRLA2,UNMEASURED,Never measured in survey campaigns
MOAB,MOAB_016,NEON.PLA.D13.MOAB.03995,Atriplex canescens (Pursh) Nutt.,ATCA2,UNMEASURED,Never measured in survey campaigns
MOAB,MOAB_025,NEON.PLA.D13.MOAB.03998,Pinus edulis Engelm.,PIED,UNMEASURED,Never measured in survey campaigns
MOAB,MOAB_005,NEON.PLA.D13.MOAB.03987,Atriplex canescens (Pursh) Nutt.,ATCA2,UNMEASURED,Never measured in survey campaigns
MOAB,MOAB_024,NEON.PLA.D13.MOAB.00520,Juniperus osteosperma (Torr.) Little,JUOS,NO_ALLOMETRY,Has diameter measurements but no biomass estimates
MOAB,MOAB_024,NEON.PLA.D13.MOAB.00558,Juniperus osteosperma (Torr.) Little,JUOS,NO_ALLOMETRY,Has diameter measurements but no biomass estimates
MOAB,MOAB_024,NEON.PLA.D13.MOAB.00548,Juniperus osteosperma (Torr.) Little,JUOS,NO_ALLOMETRY,Has diameter measurements but no biomass estimates
MOAB,MOAB_024,NEON.PLA.D13.MOAB.00547,Juniperus osteosperma (Torr.) Little,JUOS,NO_ALLOMETRY,Has diameter measurements but no biomass estimates
MOAB,MOAB_024,NEON.PLA.D13.MOAB.00519,Pinus edulis Engelm.,PIED,NO_ALLOMETRY,Has diameter measurements but no biomass estimates
MOAB,MOAB_024,NEON.PLA.D13.MOAB.00546,Pinus edulis Engelm.,PIED,NO_ALLOMETRY,Has diameter measurements but no biomass estimates
MOAB,MOAB_024,NEON.PLA.D13.MOAB.00555,Pinus edulis Engelm.,PIED,NO_ALLOMETRY,Has diameter measurements but no biomass estimates
MOAB,MOAB_024,NEON.PLA.D13.MOAB.00544,Juniperus osteosperma (Torr.) Little,JUOS,NO_ALLOMETRY,Has diameter measurements but no biomass estimates
MOAB,MOAB_024,NEON.PLA.D13.MOAB.00518,Pinus edulis Engelm.,PIED,NO_ALLOMETRY,Has diameter measurements but no biomass estimates
MOAB,MOAB_024,NEON.PLA.D13.MOAB.00521,Pinus edulis Engelm.,PIED,NO_ALLOMETRY,Has diameter measurements but no biomass estimates
MOAB,MOAB_024,NEON.PLA.D13.MOAB.00557,Pinus edulis Engelm.,PIED,NO_ALLOMETRY,Has diameter measurements but no biomass estimates
MOAB,MOAB_024,NEON.PLA.D13.MOAB.00534,Juniperus osteosperma (Torr.) Little,JUOS,NO_ALLOMETRY,Has diameter measurements but no biomass estimates
MOAB,MOAB_024,NEON.PLA.D13.MOAB.00522,Juniperus osteosperma (Torr.) Little,JUOS,NO_ALLOMETRY,Has diameter measurements but no biomass estimates
MOAB,MOAB_024,NEON.PLA.D13.MOAB.00517,Juniperus osteosperma (Torr.) Little,JUOS,NO_ALLOMETRY,Has diameter measurements but no biomass estimates
MOAB,MOAB_003,NEON.PLA.D13.MOAB.00664,Juniperus osteosperma (Torr.) Little,JUOS,NO_ALLOMETRY,Has diameter measurements but no biomass estimates
MOAB,MOAB_003,NEON.PLA.D13.MOAB.00683,Juniperus osteosperma (Torr.) Little,JUOS,NO_ALLOMETRY,Has diameter measurements but no biomass estimates
