siteID,plotID,individualID,year,AGBJenkins,AGBChojnacky,AGBAnnighofer,growth_AGBJenkins,growth_cumu_AGBJenkins,growth_AGBChojnacky,growth_cumu_AGBChojnacky,growth_AGBAnnighofer,growth_cumu_AGBAnnighofer,stemDiameter,height,plantStatus,corrected_is_dead,gapFilling,scientificName,taxonID,genus,family,taxonRank,pointID,stemDistance,stemAzimuth
ONAQ,ONAQ_017,NEON.PLA.D15.ONAQ.01107,2014,340.9324975359632,138.39307694598756,0.0,,-17.331734737485817,,-6.887434673444954,,0.0,31.0,,,False,FILLED,Juniperus osteosperma (Torr.) Little,JUOS,Juniperus,Cupressaceae,species,31,2.1,14.6
ONAQ,ONAQ_017,NEON.PLA.D15.ONAQ.01107,2016,306.269028060989,124.618207599097,0.0,-17.331734737487096,-17.331734737485817,-6.887434673445277,-6.887434673444954,0.0,0.0,31.0,5.6,Live,False,ORIGINAL,Juniperus osteosperma (Torr.) Little,JUOS,Juniperus,Cupressaceae,species,31,2.1,14.6
ONAQ,ONAQ_017,NEON.PLA.D15.ONAQ.01107,2017,288.9372933235063,117.73077292565358,0.0,-17.33173473748269,-17.331734737485817,-6.887434673443423,-6.887434673444954,0.0,0.0,31.0,5.7,Live,False,ORIGINAL,Juniperus osteosperma (Torr.) Little,JUOS,Juniperus,Cupressaceae,species,31,2.1,14.6
ONAQ,ONAQ_017,NEON.PLA.D15.ONAQ.01107,2022,202.278619636076,83.2935995584278,0.0,-17.331734737486062,-17.331734737485817,-6.887434673445156,-6.887434673444954,0.0,0.0,25.8,4.8,Live,False,ORIGINAL,Juniperus osteosperma (Torr.) Little,JUOS,Juniperus,Cupressaceae,species,31,2.1,14.6
ONAQ,ONAQ_017,NEON.PLA.D15.ONAQ.01107A,2014,324.13365779995365,131.46617021950078,0.0,,-22.915498605289095,,-9.096347126824966,,0.0,33.7,,,False,FILLED,Juniperus osteosperma (Torr.) Little,JUOS,Juniperus,Cupressaceae,species,31,3.0,13.6
ONAQ,ONAQ_017,NEON.PLA.D15.ONAQ.01107A,2016,369.86242573594,149.679112814212,0.0,22.864383967993177,-22.915498605289095,9.106471297355611,-9.096347126824966,0.0,0.0,33.7,5.6,Live,False,ORIGINAL,Juniperus osteosperma (Torr.) Little,JUOS,Juniperus,Cupressaceae,species,31,3.0,13.6
ONAQ,ONAQ_017,NEON.PLA.D15.ONAQ.01107A,2017,145.515443808213,60.4903646209929,0.0,-224.346981927727,-22.915498605289095,-89.18874819321911,-9.096347126824966,0.0,0.0,22.3,5.7,Live,False,ORIGINAL,Juniperus osteosperma (Torr.) Little,JUOS,Juniperus,Cupressaceae,species,31,3.0,13.6
ONAQ,ONAQ_017,NEON.PLA.D15.ONAQ.01107A,2022,159.121621986954,65.9765205745733,0.0,2.721235635748201,-22.915498605289095,1.09723119071608,-9.096347126824966,0.0,0.0,23.2,,"Live, physically damaged",False,ORIGINAL,Juniperus osteosperma (Torr.) Little,JUOS,Juniperus,Cupressaceae,species,31,3.0,13.6
ONAQ,ONAQ_017,NEON.PLA.D15.ONAQ.01107B,2014,47.61336790942187,20.50864386874491,0.0,,6.32363929489847,,2.59701121248297,,0.0,15.5,,,False,FILLED,Juniperus osteosperma (Torr.) Little,JUOS,Juniperus,Cupressaceae,species,31,2.6,34.1
ONAQ,ONAQ_017,NEON.PLA.D15.ONAQ.01107B,2016,63.9758572711251,27.2308679377059,0.0,8.181244680851616,6.32363929489847,3.3611120344804934,2.59701121248297,0.0,0.0,15.5,5.6,Live,False,ORIGINAL,Juniperus osteosperma (Torr.) Little,JUOS,Juniperus,Cupressaceae,species,31,2.6,34.1
ONAQ,ONAQ_017,NEON.PLA.D15.ONAQ.01107B,2017,62.1260328678262,26.4658355334001,0.0,-1.8498244032989035,6.32363929489847,-0.7650324043057992,2.59701121248297,0.0,0.0,15.3,5.7,Live,False,ORIGINAL,Juniperus osteosperma (Torr.) Little,JUOS,Juniperus,Cupressaceae,species,31,2.6,34.1
ONAQ,ONAQ_017,NEON.PLA.D15.ONAQ.01107B,2022,98.9455244229907,41.5903738974077,0.0,7.363898311032901,6.32363929489847,3.0249076728015205,2.59701121248297,0.0,0.0,18.8,,Live,False,ORIGINAL,Juniperus osteosperma (Torr.) Little,JUOS,Juniperus,Cupressaceae,species,31,2.6,34.1
ONAQ,ONAQ_017,NEON.PLA.D15.ONAQ.01108,2014,3.2732342987977745,1.517527560376962,0.0,,0.04875584970832326,,0.021924125245639813,,0.0,12.4,,,False,FILLED,Juniperus osteosperma (Torr.) Little,JUOS,Juniperus,Cupressaceae,species,49,10.0,166.6
ONAQ,ONAQ_017,NEON.PLA.D15.ONAQ.01108,2016,3.65280255609932,1.68828377054594,0.0,0.18978412865077265,0.04875584970832326,0.08537810508448895,0.021924125245639813,0.0,0.0,12.4,3.8,Live,False,ORIGINAL,Juniperus osteosperma (Torr.) Little,JUOS,Juniperus,Cupressaceae,species,49,10.0,166.6
ONAQ,ONAQ_017,NEON.PLA.D15.ONAQ.01108,2017,3.08103397846086,1.43101038450064,0.0,-0.5717685776384598,0.04875584970832326,-0.2572733860452998,0.021924125245639813,0.0,0.0,11.5,3.7,Live,False,ORIGINAL,Juniperus osteosperma (Torr.) Little,JUOS,Juniperus,Cupressaceae,species,49,10.0,166.6
ONAQ,ONAQ_017,NEON.PLA.D15.ONAQ.01108,2022,3.71969240804134,1.71830215427762,0.0,0.12773168591609602,0.04875584970832326,0.05745835395539598,0.021924125245639813,0.0,0.0,12.5,4.8,Live,False,ORIGINAL,Juniperus osteosperma (Torr.) Little,JUOS,Juniperus,Cupressaceae,species,49,10.0,166.6
ONAQ,ONAQ_017,NEON.PLA.D15.ONAQ.01109,2014,121.69187913158834,50.84741256284077,0.0,,-0.1097602671568513,,-0.044497863737378976,,0.0,20.4,,,False,FILLED,Juniperus osteosperma (Torr.) Little,JUOS,Juniperus,Cupressaceae,species,49,8.9,123.8
ONAQ,ONAQ_017,NEON.PLA.D15.ONAQ.01109,2016,118.996781675332,49.7537918825808,0.0,-1.3475487281281673,-0.1097602671568513,-0.5468103401299871,-0.044497863737378976,0.0,0.0,20.4,5.8,Live,False,ORIGINAL,Juniperus osteosperma (Torr.) Little,JUOS,Juniperus,Cupressaceae,species,49,8.9,123.8
ONAQ,ONAQ_017,NEON.PLA.D15.ONAQ.01109,2017,124.333290636449,51.9194689149709,0.0,5.336508961116991,-0.1097602671568513,2.1656770323901,-0.044497863737378976,0.0,0.0,20.8,5.1,Live,False,ORIGINAL,Juniperus osteosperma (Torr.) Little,JUOS,Juniperus,Cupressaceae,species,49,8.9,123.8
ONAQ,ONAQ_017,NEON.PLA.D15.ONAQ.01109,2022,120.318681609945,50.2905046623847,0.0,-0.802921805300798,-0.1097602671568513,-0.32579285051724016,-0.044497863737378976,0.0,0.0,20.5,6.4,Live,False,ORIGINAL,Juniperus osteosperma (Torr.) Little,JUOS,Juniperus,Cupressaceae,species,49,8.9,123.8
ONAQ,ONAQ_017,NEON.PLA.D15.ONAQ.01110,2014,0.0,0.0,0.0,,5.825123600192782,,2.501712102212479,,0.0,12.3,,,False,FILLED,Juniperus osteosperma (Torr.) Little,JUOS,Juniperus,Cupressaceae,species,31,7.0,24.6
ONAQ,ONAQ_017,NEON.PLA.D15.ONAQ.01110,2016,3.58658852529351,1.65855309683249,0.0,1.793294262646755,5.825123600192782,0.829276548416245,2.501712102212479,0.0,0.0,12.3,4.0,Live,False,ORIGINAL,Juniperus osteosperma (Torr.) Little,JUOS,Juniperus,Cupressaceae,species,31,7.0,24.6
ONAQ,ONAQ_017,NEON.PLA.D15.ONAQ.01110,2017,3.58658852529351,1.65855309683249,0.0,0.0,5.825123600192782,0.0,2.501712102212479,0.0,0.0,12.3,3.1,Live,False,ORIGINAL,Juniperus osteosperma (Torr.) Little,JUOS,Juniperus,Cupressaceae,species,31,7.0,24.6
ONAQ,ONAQ_017,NEON.PLA.D15.ONAQ.01110,2022,43.7479848199241,18.8257526730805,0.0,8.032279258926119,5.825123600192782,3.433439915249602,2.501712102212479,0.0,0.0,13.1,4.1,Live,False,ORIGINAL,Juniperus osteosperma (Torr.) Little,JUOS,Juniperus,Cupressaceae,species,31,7.0,24.6
ONAQ,ONAQ_017,NEON.PLA.D15.ONAQ.01111,2014,146.992542734969,61.0871733518095,0.0,,1.3925674609639516,,0.5614430429935975,,0.0,22.4,,,False,FILLED,Juniperus osteosperma (Torr.) Little,JUOS,Juniperus,Cupressaceae,species,31,7.1,51.5
ONAQ,ONAQ_017,NEON.PLA.D15.ONAQ.01111,2016,146.993816057639,61.0871513951893,0.0,0.0006366613350081707,1.3925674609639516,-1.0978310097442545e-05,0.5614430429935975,0.0,0.0,22.4,4.6,Live,False,ORIGINAL,Juniperus osteosperma (Torr.) Little,JUOS,Juniperus,Cupressaceae,species,31,7.1,51.5
ONAQ,ONAQ_017,NEON.PLA.D15.ONAQ.01111,2017,154.51087903697,64.1189921319191,0.0,7.517062979331001,1.3925674609639516,3.031840736729798,0.5614430429935975,0.0,0.0,22.9,5.0,Live,False,ORIGINAL,Juniperus osteosperma (Torr.) Little,JUOS,Juniperus,Cupressaceae,species,31,7.1,51.5
ONAQ,ONAQ_017,NEON.PLA.D15.ONAQ.01111,2022,157.576310102829,65.3541360872368,0.0,0.6130862131718005,1.3925674609639516,0.2470287910635392,0.5614430429935975,0.0,0.0,23.1,4.6,Live,False,ORIGINAL,Juniperus osteosperma (Torr.) Little,JUOS,Juniperus,Cupressaceae,species,31,7.1,51.5
ONAQ,ONAQ_017,NEON.PLA.D15.ONAQ.01112,2014,75.51805630201488,31.997741919477903,0.0,,2.712263460025536,,1.110979451617623,,0.0,16.9,,,False,FILLED,Juniperus osteosperma (Torr.) Little,JUOS,Juniperus,Cupressaceae,species,31,8.7,66.8
ONAQ,ONAQ_017,NEON.PLA.D15.ONAQ.01112,2016,77.7786471013484,32.9203678312982,0.0,1.1302953996667569,2.712263460025536,0.46131295591014876,1.110979451617623,0.0,0.0,16.9,4.9,Live,False,ORIGINAL,Juniperus osteosperma (Torr.) Little,JUOS,Juniperus,Cupressaceae,species,31,8.7,66.8
ONAQ,ONAQ_017,NEON.PLA.D15.ONAQ.01112,2017,87.4515700269533,36.8898798640288,0.0,9.672922925604908,2.712263460025536,3.9695120327305986,1.110979451617623,0.0,0.0,17.8,4.6,Live,False,ORIGINAL,Juniperus osteosperma (Torr.) Little,JUOS,Juniperus,Cupressaceae,species,31,8.7,66.8
ONAQ,ONAQ_017,NEON.PLA.D15.ONAQ.01112,2022,96.5833767580757,40.6257109341359,0.0,1.8263613462244792,2.712263460025536,0.7471662140214207,1.110979451617623,0.0,0.0,18.6,4.8,Live,False,ORIGINAL,Juniperus osteosperma (Torr.) Little,JUOS,Juniperus,Cupressaceae,species,31,8.7,66.8
ONAQ,ONAQ_017,NEON.PLA.D15.ONAQ.01112A,2022,2.56294294204927,1.19670116440231,0.0,,,,,,,10.6,,Live,False,ORIGINAL,Juniperus osteosperma (Torr.) Little,JUOS,Juniperus,Cupressaceae,species,31,8.7,58.2
ONAQ,ONAQ_017,NEON.PLA.D15.ONAQ.01113,2014,42.70456253464738,18.38907598171351,0.0,,0.06974472767031292,,0.029219082121559242,,0.0,12.8,,,False,FILLED,Juniperus osteosperma (Torr.) Little,JUOS,Juniperus,Cupressaceae,species,49,12.2,144.2
ONAQ,ONAQ_017,NEON.PLA.D15.ONAQ.01113,2016,41.5171473126721,17.8926961639652,0.0,-0.5937076109876394,0.06974472767031292,-0.2481899088741546,0.029219082121559242,0.0,0.0,12.8,4.0,Live,False,ORIGINAL,Juniperus osteosperma (Torr.) Little,JUOS,Juniperus,Cupressaceae,species,49,12.2,144.2
ONAQ,ONAQ_017,NEON.PLA.D15.ONAQ.01113,2017,44.5060823304374,19.1425148064679,0.0,2.9889350177653,0.06974472767031292,1.2498186425026994,0.029219082121559242,0.0,0.0,13.2,4.1,Live,False,ORIGINAL,Juniperus osteosperma (Torr.) Little,JUOS,Juniperus,Cupressaceae,species,49,12.2,144.2
ONAQ,ONAQ_017,NEON.PLA.D15.ONAQ.01113,2022,42.9971394205467,18.5118650422877,0.0,-0.3017885819781398,0.06974472767031292,-0.12612995283604037,0.029219082121559242,0.0,0.0,13.0,4.5,Live,False,ORIGINAL,Juniperus osteosperma (Torr.) Little,JUOS,Juniperus,Cupressaceae,species,49,12.2,144.2
ONAQ,ONAQ_017,NEON.PLA.D15.ONAQ.01113A,2014,3.440951596148679,1.5930482031126303,0.0,,-0.03948762307808019,,-0.017778863097099796,,0.0,11.6,,,False,FILLED,Juniperus osteosperma (Torr.) Little,JUOS,Juniperus,Cupressaceae,species,49,12.0,132.9
ONAQ,ONAQ_017,NEON.PLA.D15.ONAQ.01113A,2016,3.14189318467663,1.45845590774247,0.0,-0.14952920573602446,-0.03948762307808019,-0.06729614768508019,-0.017778863097099796,0.0,0.0,11.6,4.0,Live,False,ORIGINAL,Juniperus osteosperma (Torr.) Little,JUOS,Juniperus,Cupressaceae,species,49,12.0,132.9
ONAQ,ONAQ_017,NEON.PLA.D15.ONAQ.01113A,2017,3.58658852529351,1.65855309683249,0.0,0.4446953406168799,-0.03948762307808019,0.20009718909002006,-0.017778863097099796,0.0,0.0,12.3,4.1,Live,False,ORIGINAL,Juniperus osteosperma (Torr.) Little,JUOS,Juniperus,Cupressaceae,species,49,12.0,132.9
ONAQ,ONAQ_017,NEON.PLA.D15.ONAQ.01113A,2022,3.08103397846086,1.43101038450064,0.0,-0.10111090936652997,-0.03948762307808019,-0.04550854246636997,-0.017778863097099796,0.0,0.0,11.5,,Live,False,ORIGINAL,Juniperus osteosperma (Torr.) Little,JUOS,Juniperus,Cupressaceae,species,49,12.0,132.9
ONAQ,ONAQ_017,NEON.PLA.D15.ONAQ.01115,2014,42.17578236213012,18.086886374717324,0.0,,-5.269980062419052,,-2.24295064969125,,0.0,14.0,,,False,FILLED,Juniperus osteosperma (Torr.) Little,JUOS,Juniperus,Cupressaceae,species,33,6.1,295.2
ONAQ,ONAQ_017,NEON.PLA.D15.ONAQ.01115,2016,50.8336389283632,21.7805984167043,0.0,4.328928283116539,-5.269980062419052,1.8468560209934886,-2.24295064969125,0.0,0.0,14.0,3.7,Live,False,ORIGINAL,Juniperus osteosperma (Torr.) Little,JUOS,Juniperus,Cupressaceae,species,33,6.1,295.2
ONAQ,ONAQ_017,NEON.PLA.D15.ONAQ.01115,2017,3.32846214558942,1.54249841600003,0.0,-47.50517678277378,-5.269980062419052,-20.23810000070427,-2.24295064969125,0.0,0.0,11.9,4.5,Live,False,ORIGINAL,Juniperus osteosperma (Torr.) Little,JUOS,Juniperus,Cupressaceae,species,33,6.1,295.2
ONAQ,ONAQ_017,NEON.PLA.D15.ONAQ.01115,2022,3.85550520099204,1.77920384546121,0.0,0.10540861108052395,-5.269980062419052,0.047341085892236026,-2.24295064969125,0.0,0.0,12.7,4.3,Live,False,ORIGINAL,Juniperus osteosperma (Torr.) Little,JUOS,Juniperus,Cupressaceae,species,33,6.1,295.2
ONAQ,ONAQ_017,NEON.PLA.D15.ONAQ.01116,2014,95.04978328848983,40.00125135716553,0.0,,1.3677000331511788,,0.5578144447294408,,0.0,18.8,,,False,FILLED,Juniperus osteosperma (Torr.) Little,JUOS,Juniperus,Cupressaceae,species,33,8.9,293.3
ONAQ,ONAQ_017,NEON.PLA.D15.ONAQ.01116,2016,98.9455244229907,41.5903738974077,0.0,1.9478705672504333,1.3677000331511788,0.7945612701210862,0.5578144447294408,0.0,0.0,18.8,4.5,Live,False,ORIGINAL,Juniperus osteosperma (Torr.) Little,JUOS,Juniperus,Cupressaceae,species,33,8.9,293.3
ONAQ,ONAQ_017,NEON.PLA.D15.ONAQ.01116,2017,97.7604741061058,41.1065023104137,0.0,-1.1850503168848974,1.3677000331511788,-0.4838715869939989,0.5578144447294408,0.0,0.0,18.7,5.0,Live,False,ORIGINAL,Juniperus osteosperma (Torr.) Little,JUOS,Juniperus,Cupressaceae,species,33,8.9,293.3
ONAQ,ONAQ_017,NEON.PLA.D15.ONAQ.01116,2022,106.223451767339,44.5584656451577,0.0,1.6925955322466393,1.3677000331511788,0.6903926669488001,0.5578144447294408,0.0,0.0,19.4,4.8,Live,False,ORIGINAL,Juniperus osteosperma (Torr.) Little,JUOS,Juniperus,Cupressaceae,species,33,8.9,293.3
ONAQ,ONAQ_017,NEON.PLA.D15.ONAQ.01117,2014,2.728438023458949,1.271738572186905,0.0,,0.05480246139603811,,0.024740118763804265,,0.0,11.4,,,False,FILLED,Juniperus osteosperma (Torr.) Little,JUOS,Juniperus,Cupressaceae,species,33,10.0,318.3
ONAQ,ONAQ_017,NEON.PLA.D15.ONAQ.01117,2016,3.020837522153,1.40384839186992,0.0,0.1461997493470255,0.05480246139603811,0.06605490984150753,0.024740118763804265,0.0,0.0,11.4,3.8,Live,False,ORIGINAL,Juniperus osteosperma (Torr.) Little,JUOS,Juniperus,Cupressaceae,species,33,10.0,318.3
ONAQ,ONAQ_017,NEON.PLA.D15.ONAQ.01117,2017,2.67349191656471,1.24680342989182,0.0,-0.34734560558829,0.05480246139603811,-0.15704496197810003,0.024740118763804265,0.0,0.0,10.8,4.1,Live,False,ORIGINAL,Juniperus osteosperma (Torr.) Little,JUOS,Juniperus,Cupressaceae,species,33,10.0,318.3
ONAQ,ONAQ_017,NEON.PLA.D15.ONAQ.01117,2022,3.20341662980765,1.48618543872842,0.0,0.10598494264858793,0.05480246139603811,0.04787640176731998,0.024740118763804265,0.0,0.0,11.7,3.9,Live,False,ORIGINAL,Juniperus osteosperma (Torr.) Little,JUOS,Juniperus,Cupressaceae,species,33,10.0,318.3
