siteID,plotID,individualID,scientificName,taxonID,status,reason
ONAQ,ONAQ_047,NEON.PLA.D15.ONAQ.05024,Artemisia tridentata Nutt.,ARTR2,UNMEASURED,Never measured in survey campaigns
ONAQ,ONAQ_052,NEON.PLA.D15.ONAQ.05058,Artemisia tridentata Nutt.,ARTR2,UNMEASURED,Never measured in survey campaigns
ONAQ,ONAQ_005,NEON.PLA.D15.ONAQ.03943,Atriplex confertifolia (Torr. & Frém.) S. Watson,ATCO,UNMEASURED,Never measured in survey campaigns
ONAQ,ONAQ_047,NEON.PLA.D15.ONAQ.05018,Artemisia tridentata Nutt.,ARTR2,UNMEASURED,Never measured in survey campaigns
ONAQ,ONAQ_047,NEON.PLA.D15.ONAQ.05033,Artemisia tridentata Nutt.,ARTR2,UNMEASURED,Never measured in survey campaigns
ONAQ,ONAQ_051,NEON.PLA.D15.ONAQ.05055,Artemisia tridentata Nutt.,ARTR2,UNMEASURED,Never measured in survey campaigns
ONAQ,ONAQ_047,NEON.PLA.D15.ONAQ.05032,Artemisia tridentata Nutt.,ARTR2,UNMEASURED,Never measured in survey campaigns
ONAQ,ONAQ_052,NEON.PLA.D15.ONAQ.05060,Artemisia tridentata Nutt.,ARTR2,UNMEASURED,Never measured in survey campaigns
ONAQ,ONAQ_047,NEON.PLA.D15.ONAQ.05016,Artemisia tridentata Nutt.,ARTR2,UNMEASURED,Never measured in survey campaigns
ONAQ,ONAQ_047,NEON.PLA.D15.ONAQ.05028,Artemisia tridentata Nutt.,ARTR2,UNMEASURED,Never measured in survey campaigns
ONAQ,ONAQ_041,NEON.PLA.D15.ONAQ.03921,Artemisia tridentata Nutt.,ARTR2,UNMEASURED,Never measured in survey campaigns
ONAQ,ONAQ_047,NEON.PLA.D15.ONAQ.05031,Artemisia tridentata Nutt.,ARTR2,UNMEASURED,Never measured in survey campaigns
ONAQ,ONAQ_047,NEON.PLA.D15.ONAQ.05022,Artemisia tridentata Nutt.,ARTR2,UNMEASURED,Never measured in survey campaigns
