siteID,plotID,year,plotArea_m2,tree_AGBJenkins,tree_AGBChojnacky,tree_AGBAnnighofer,n_trees,small_woody_AGBJenkins,small_woody_AGBChojnacky,small_woody_AGBAnnighofer,n_small_woody_total,n_small_woody_measured,n_unaccounted_trees,total_AGBJenkins,total_AGBChojnacky,total_AGBAnnighofer,growth,growth_cumu
ORNL,ORNL_001,2015,1600.0,47.280377140076375,49.54435506459427,,30,0.48566554581463467,0.5302376486814269,0.2820216254901546,62,56,6,47.76604268589101,50.0745927132757,0.2820216254901546,,4.062220346446969
ORNL,ORNL_001,2017,1600.0,53.97493791772494,57.72286053336387,,31,0.5655641245308638,0.6181937726989338,0.28237898403290645,62,56,6,54.5405020422558,58.3410543060628,0.28237898403290645,3.387229678182397,4.062220346446969
ORNL,ORNL_001,2020,1600.0,67.04269473509191,70.70364876812863,,37,0.8657020159677963,0.9526918894974254,0.31485704044266627,69,63,6,67.90839675105971,71.65634065762606,0.31485704044266627,4.455964902934636,4.062220346446969
ORNL,ORNL_002,2015,1600.0,43.054505980920425,41.86269291506076,,20,0.4742701462627308,0.44359218830559277,0.439037084816581,55,54,0,43.52877612718316,42.306285103366356,0.439037084816581,,0.22664648955853683
ORNL,ORNL_002,2017,1600.0,44.776351614292345,43.544182960687806,,20,0.42747286561573505,0.39009440229195547,0.48851970982122045,56,55,0,45.20382447990808,43.93427736297976,0.48851970982122045,0.8375241763624608,0.22664648955853683
ORNL,ORNL_002,2020,1600.0,44.27603837966512,43.199624509089254,,20,0.5386896170117073,0.5081362754115903,0.6288301089923796,60,59,0,44.81472799667682,43.70776078450084,0.6288301089923796,-0.12969882774375208,0.22664648955853683
ORNL,ORNL_003,2015,1600.0,32.66452805712532,23.493352894099854,,14,1.6875119799169116,1.718164075136225,0.7898861762924985,85,58,1,34.35204003704223,25.21151696923608,0.7898861762924985,,0.06421216610928064
ORNL,ORNL_003,2017,1600.0,24.83386389460857,24.0155684115684,,13,2.53542561234094,2.6839638457660167,1.0490620315565438,115,63,1,27.36928950694951,26.699532257334415,1.0490620315565438,-3.4913752650463596,0.06421216610928064
ORNL,ORNL_003,2020,1600.0,29.55454358725005,28.517988484359236,,19,4.229660422549674,4.17291680334888,1.182277430394893,142,76,1,33.78420400979972,32.69090528770812,1.182277430394893,2.1383048342834043,0.06421216610928064
ORNL,ORNL_004,2015,1600.0,58.35323418045359,56.973878922184085,,15,0.5374611606300671,0.5548849693050047,0.053106552864344896,30,30,0,58.890695341083656,57.52876389148909,0.053106552864344896,,0.8841168595761285
ORNL,ORNL_004,2017,1600.0,60.55921429222054,59.135142033854414,,15,0.5629301242792842,0.5771016188423524,0.09158516654760959,31,31,0,61.12214441649982,59.71224365269677,0.09158516654760959,1.1157245377080827,0.8841168595761285
ORNL,ORNL_004,2020,1600.0,62.71620930796424,61.23630079129778,,15,0.652972250533044,0.6713806485114245,0.15137833231410883,32,32,0,63.36918155849729,61.9076814398092,0.15137833231410883,0.7490123806658223,0.8841168595761285
ORNL,ORNL_006,2015,1600.0,39.61413330178542,22.900820548821088,,22,0.6862050080003148,0.7013169866088216,0.31241522965043,53,53,0,40.30033830978574,23.60213753542991,0.31241522965043,,0.9193026270394743
ORNL,ORNL_006,2017,1600.0,44.8253980428033,24.672238932873867,,24,0.6618923880123972,0.6548768943007354,0.6362701015223694,53,53,0,45.4872904308157,25.3271158271746,0.6362701015223694,2.5934760605149805,0.9193026270394743
ORNL,ORNL_006,2020,1600.0,44.31564188598577,26.66344138747607,,23,0.999752917366213,0.9762502570374346,1.2490772103865462,59,59,0,45.315394803351985,27.639691644513505,1.2490772103865462,-0.05729854248790408,0.9193026270394743
ORNL,ORNL_007,2015,1600.0,54.09660937196236,43.93782423948238,,17,0.5200233181717656,0.7459362570542738,0.16229400325959079,70,64,1,54.616632690134125,44.68376049653666,0.16229400325959079,,0.38539016948279087
ORNL,ORNL_007,2017,1600.0,55.15397639354235,44.92459689428882,,18,0.5284009117811885,0.7404034679901678,0.1825589696554578,71,65,1,55.68237730532354,45.66500036227899,0.1825589696554578,0.5328723075947082,0.38539016948279087
ORNL,ORNL_007,2020,1600.0,56.043606396411924,47.27041236949702,,18,0.5368476756641338,0.7232449611661165,0.19036908429653532,72,66,1,56.58045407207606,47.99365733066314,0.19036908429653532,0.29935892225083904,0.38539016948279087
ORNL,ORNL_008,2015,1600.0,35.39354663881986,34.36208242237597,,16,0.4859350026527081,0.5512976549475779,0.41151440585078064,89,74,1,35.87948164147257,34.913380077323545,0.41151440585078064,,0.7166106152356558
ORNL,ORNL_008,2017,1600.0,38.21440522455461,37.28072880029803,,19,0.5071215120635633,0.5754499666384705,0.4047242340667941,86,71,1,38.72152673661817,37.8561787669365,0.4047242340667941,1.4210225475728002,0.7166106152356558
ORNL,ORNL_008,2020,1600.0,39.06490436804359,38.09533286330517,,20,0.5737333326915478,0.6508334973199815,0.42381462355960364,86,71,1,39.63863770073514,38.746166360625146,0.42381462355960364,0.305703654705655,0.7166106152356558
ORNL,ORNL_009,2015,1600.0,60.604468982487155,60.978308987735716,,22,2.0549537328937446,1.8339851933983695,1.0447312661804162,178,135,0,62.6594227153809,62.812294181134085,1.0447312661804162,,1.7765405959691614
ORNL,ORNL_009,2017,1600.0,95.01284304469772,95.30473416891483,,28,1.8327949228512062,1.665519267573698,1.3519852279862619,183,140,0,96.84563796754892,96.97025343648853,1.3519852279862619,17.093107626084013,1.7765405959691614
ORNL,ORNL_009,2020,1600.0,72.60728949047432,73.67367013934664,,24,2.7639779622811056,2.681105447482335,1.5963974280263342,183,139,0,75.37126745275542,76.35477558682898,1.5963974280263342,-7.158123504931169,1.7765405959691614
ORNL,ORNL_010,2015,1600.0,53.29336215332769,39.423223060854674,,33,0.20904421098506262,0.22130793373637864,0.2964540054721498,52,49,0,53.502406364312755,39.64453099459105,0.2964540054721498,,1.0524559896230787
ORNL,ORNL_010,2017,1600.0,55.645529175445944,41.083722215763444,,33,0.22150472919475672,0.23541261945240413,0.34470752069632304,52,49,0,55.8670339046407,41.31913483521585,0.34470752069632304,1.1823137701639723,1.0524559896230787
ORNL,ORNL_010,2020,1600.0,58.54238913155066,43.032567979392205,,33,0.254761626012717,0.26787467599963505,0.4402559384784796,52,49,0,58.79715075756337,43.30044265539184,0.4402559384784796,0.9767056176408909,1.0524559896230787
ORNL,ORNL_012,2015,1600.0,75.94762143939818,55.15682368329131,,12,0.4989982572354197,0.5833545237203033,0.11933198665919897,43,42,0,76.44661969663359,55.74017820701161,0.11933198665919897,,0.647265099013488
ORNL,ORNL_012,2017,1600.0,77.21096163342901,55.897975977652585,,12,0.5301882612315617,0.636664560965048,0.12210714913964545,44,43,0,77.74114989466057,56.53464053861763,0.12210714913964545,0.647265099013488,0.647265099013488
ORNL,ORNL_014,2015,1600.0,42.722483013349034,24.278070079445857,,14,0.6635286526291415,0.6087934230358677,0.2778312234351027,42,42,0,43.386011665978174,24.886863502481724,0.2778312234351027,,0.4881856689054942
ORNL,ORNL_014,2017,1600.0,43.63678335762325,25.22120626186751,,14,0.7255996461659076,0.6771785369269617,0.2910612816939171,44,44,0,44.36238300378916,25.898384798794474,0.2910612816939171,0.4881856689054942,0.4881856689054942
ORNL,ORNL_015,2020,1600.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,70,0.0,0.0,0.0,,
ORNL,ORNL_017,2020,1600.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,54,0.0,0.0,0.0,,
ORNL,ORNL_018,2020,1600.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,83,0.0,0.0,0.0,,
ORNL,ORNL_019,2020,1600.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,65,0.0,0.0,0.0,,
ORNL,ORNL_021,2015,1600.0,0.0,0.0,0.0,0,0.3053973559071004,0.08741233437216153,0.10618132172888119,54,31,0,0.3053973559071004,0.08741233437216153,0.10618132172888119,,0.10353175266218034
ORNL,ORNL_021,2017,1600.0,0.0,0.0,0.0,0,0.5124608612314611,0.2043124233026654,0.16713726568435006,85,41,0,0.5124608612314611,0.2043124233026654,0.16713726568435006,0.10353175266218034,0.10353175266218034
ORNL,ORNL_027,2015,1600.0,23.959110213969208,27.354325974627198,,24,0.5927466689938461,0.6053610344716477,0.9425424450695383,179,102,1,24.551856882963055,27.959687009098847,0.9425424450695383,,0.5028121769808385
ORNL,ORNL_027,2017,1600.0,22.17211920114499,25.249952265184042,,24,0.7088187860874859,0.8460879151727024,0.9812549349591624,182,105,1,22.88093798723248,26.096040180356745,0.9812549349591624,-0.8354594478652881,0.5028121769808385
ORNL,ORNL_027,2020,1600.0,24.60223974267313,28.241833360458525,,26,2.1291101189825845,3.506923758970246,1.0948227986627148,188,105,1,26.731349861655715,31.74875711942877,1.0948227986627148,1.2834706248077457,0.5028121769808385
ORNL,ORNL_029,2015,1600.0,14.490889138841862,7.629856748381344,,31,0.7606687986438196,0.7612501088032779,0.8901234829513265,98,90,0,15.251557937485682,8.39110685718462,0.8901234829513265,,-0.15975347714683874
ORNL,ORNL_029,2017,1600.0,14.030256256893594,7.407736851685777,,31,0.9017947262984102,0.9398798092870017,0.9627866244167409,106,94,0,14.932050983192005,8.347616660972779,0.9627866244167409,-0.15975347714683874,-0.15975347714683874
ORNL,ORNL_031,2015,1600.0,0.0,0.0,0.0,0,0.022092311253126277,0.010156466133527036,0.2300193065729593,21,15,0,0.022092311253126277,0.010156466133527036,0.2300193065729593,,0.004607318788397199
ORNL,ORNL_031,2017,1600.0,0.0,0.0,0.0,0,0.031306948829920675,0.014025596089156383,0.31764570907694384,29,15,0,0.031306948829920675,0.014025596089156383,0.31764570907694384,0.004607318788397199,0.004607318788397199
ORNL,ORNL_032,2015,1600.0,38.448171256907735,40.72728192325024,,69,0.4378643770579928,0.43511877571394264,,34,33,4,38.886035633965726,41.162400698964184,0.0,,2.075449189533103
ORNL,ORNL_032,2017,1600.0,42.4598556665637,45.69520817462984,,67,0.5770783464682344,0.5666659299204942,,38,37,4,43.03693401303193,46.26187410455034,0.0,2.075449189533103,2.075449189533103
ORNL,ORNL_033,2015,1600.0,18.511114038692817,4.866466906691589,,22,1.7469307970918844,0.6772950395093501,0.4121533982522979,65,51,0,20.258044835784702,5.54376194620094,0.4121533982522979,,1.527889932297434
ORNL,ORNL_033,2017,1600.0,21.438527376703828,7.626689314273733,,24,1.8752973236757435,0.7626938004863175,0.42483504127544547,67,52,0,23.31382470037957,8.38938311476005,0.42483504127544547,1.527889932297434,1.527889932297434
ORNL,ORNL_035,2015,1600.0,23.170200704636432,23.603614186850717,,56,1.064414015416705,0.6421579442614431,0.5702856126317445,80,78,2,24.234614720053138,24.245772131112158,0.5702856126317445,,0.6936578533795803
ORNL,ORNL_035,2017,1600.0,24.43500449433741,25.00164934677975,,56,1.1869259324748886,0.7402962477121307,0.6059284634212285,85,83,2,25.6219304268123,25.74194559449188,0.6059284634212285,0.6936578533795803,0.6936578533795803
ORNL,ORNL_036,2015,1600.0,208.5843208750206,204.12778910679538,,21,3.6445429955988993,3.8597541597466267,0.2095835685100403,89,54,4,212.2288638706195,207.987543266542,0.2095835685100403,,-0.9747257767263235
ORNL,ORNL_036,2016,1600.0,202.16614342556755,197.5935993419058,,21,4.007149695812736,4.1801575977472325,0.25460132921978945,93,57,4,206.17329312138028,201.77375693965303,0.25460132921978945,-6.055570749239223,-0.9747257767263235
ORNL,ORNL_036,2017,1600.0,226.24724959609358,221.3154696935548,,22,3.945038118186876,4.14090177150312,0.30400681574645394,93,57,4,230.19228771428047,225.4563714650579,0.30400681574645394,24.018994592900185,-0.9747257767263235
ORNL,ORNL_036,2018,1600.0,222.27045166886688,217.52718115570866,,23,3.557831714059517,3.7444986815523285,0.3036572920102545,91,54,4,225.8282833829264,221.271679837261,0.3036572920102545,-4.364004331354067,-0.9747257767263235
