siteID,plotID,individualID,scientificName,taxonID,status,reason
ORNL,ORNL_019,NEON.PLA.D07.ORNL.00667,Liquidambar styraciflua L.,LIST2,UNMEASURED,Never measured in survey campaigns
ORNL,ORNL_032,NEON.PLA.D07.ORNL.01211A,Pinus taeda L.,PITA,UNMEASURED,Never measured in survey campaigns
ORNL,ORNL_062,NEON.PLA.D07.ORNL.03168,Oxydendrum arboreum (L.) DC.,OXAR,UNMEASURED,Never measured in survey campaigns
ORNL,ORNL_060,NEON.PLA.D07.ORNL.03965,Acer saccharum Marshall,ACSA3,UNMEASURED,Never measured in survey campaigns
ORNL,ORNL_018,NEON.PLA.D07.ORNL.00868,Prunus serotina Ehrh.,PRSE2,UNMEASURED,Never measured in survey campaigns
ORNL,ORNL_017,NEON.PLA.D07.ORNL.00064,Quercus alba L.,QUAL,UNMEASURED,Never measured in survey campaigns
ORNL,ORNL_058,NEON.PLA.D07.ORNL.04803,Sassafras albidum (Nutt.) Nees,SAAL5,UNMEASURED,Never measured in survey campaigns
ORNL,ORNL_017,NEON.PLA.D07.ORNL.00271,Nyssa sylvatica Marshall,NYSY,UNMEASURED,Never measured in survey campaigns
ORNL,ORNL_060,NEON.PLA.D07.ORNL.03987,Fraxinus americana L.,FRAM2,UNMEASURED,Never measured in survey campaigns
ORNL,ORNL_068,NEON.PLA.D07.ORNL.00615,Acer rubrum L.,ACRU,UNMEASURED,Never measured in survey campaigns
ORNL,ORNL_019,NEON.PLA.D07.ORNL.00634,Liquidambar styraciflua L.,LIST2,UNMEASURED,Never measured in survey campaigns
ORNL,ORNL_056,NEON.PLA.D07.ORNL.10046,Nyssa sylvatica Marshall,NYSY,UNMEASURED,Never measured in survey campaigns
ORNL,ORNL_015,NEON.PLA.D07.ORNL.01272,Fagus grandifolia Ehrh.,FAGR,UNMEASURED,Never measured in survey campaigns
ORNL,ORNL_052,NEON.PLA.D07.ORNL.05513,Nyssa sylvatica Marshall,NYSY,UNMEASURED,Never measured in survey campaigns
ORNL,ORNL_060,NEON.PLA.D07.ORNL.03964,Acer saccharum Marshall,ACSA3,UNMEASURED,Never measured in survey campaigns
ORNL,ORNL_068,NEON.PLA.D07.ORNL.00580,Quercus alba L.,QUAL,UNMEASURED,Never measured in survey campaigns
ORNL,ORNL_067,NEON.PLA.D07.ORNL.01128,Oxydendrum arboreum (L.) DC.,OXAR,UNMEASURED,Never measured in survey campaigns
ORNL,ORNL_015,NEON.PLA.D07.ORNL.01427,Quercus alba L.,QUAL,UNMEASURED,Never measured in survey campaigns
ORNL,ORNL_058,NEON.PLA.D07.ORNL.04784,Sassafras albidum (Nutt.) Nees,SAAL5,UNMEASURED,Never measured in survey campaigns
ORNL,ORNL_067,NEON.PLA.D07.ORNL.00748,Nyssa sylvatica Marshall,NYSY,UNMEASURED,Never measured in survey campaigns
ORNL,ORNL_015,NEON.PLA.D07.ORNL.01242,Lonicera japonica Thunb.,LOJA,UNMEASURED,Never measured in survey campaigns
ORNL,ORNL_067,NEON.PLA.D07.ORNL.01228,Liriodendron tulipifera L.,LITU,UNMEASURED,Never measured in survey campaigns
ORNL,ORNL_060,NEON.PLA.D07.ORNL.03932,Acer saccharum Marshall,ACSA3,UNMEASURED,Never measured in survey campaigns
ORNL,ORNL_052,NEON.PLA.D07.ORNL.05530,Nyssa sylvatica Marshall,NYSY,UNMEASURED,Never measured in survey campaigns
ORNL,ORNL_060,NEON.PLA.D07.ORNL.03975,Acer saccharum Marshall,ACSA3,UNMEASURED,Never measured in survey campaigns
ORNL,ORNL_067,NEON.PLA.D07.ORNL.01245,Oxydendrum arboreum (L.) DC.,OXAR,UNMEASURED,Never measured in survey campaigns
ORNL,ORNL_068,NEON.PLA.D07.ORNL.00612,Quercus alba L.,QUAL,UNMEASURED,Never measured in survey campaigns
ORNL,ORNL_017,NEON.PLA.D07.ORNL.00035,Acer rubrum L.,ACRU,UNMEASURED,Never measured in survey campaigns
ORNL,ORNL_062,NEON.PLA.D07.ORNL.03247,Vaccinium corymbosum L.,VACO,UNMEASURED,Never measured in survey campaigns
ORNL,ORNL_067,NEON.PLA.D07.ORNL.01133,Acer rubrum L.,ACRU,UNMEASURED,Never measured in survey campaigns
ORNL,ORNL_062,NEON.PLA.D07.ORNL.03244,Vaccinium corymbosum L.,VACO,UNMEASURED,Never measured in survey campaigns
ORNL,ORNL_063,NEON.PLA.D07.ORNL.08847,Fagus grandifolia Ehrh.,FAGR,UNMEASURED,Never measured in survey campaigns
ORNL,ORNL_061,NEON.PLA.D07.ORNL.05301,Quercus velutina Lam.,QUVE,UNMEASURED,Never measured in survey campaigns
ORNL,ORNL_060,NEON.PLA.D07.ORNL.02401,Fagus grandifolia Ehrh.,FAGR,UNMEASURED,Never measured in survey campaigns
ORNL,ORNL_019,NEON.PLA.D07.ORNL.00343,Liquidambar styraciflua L.,LIST2,UNMEASURED,Never measured in survey campaigns
ORNL,ORNL_060,NEON.PLA.D07.ORNL.02385,Fraxinus americana L.,FRAM2,UNMEASURED,Never measured in survey campaigns
ORNL,ORNL_058,NEON.PLA.D07.ORNL.04812,Acer rubrum L.,ACRU,UNMEASURED,Never measured in survey campaigns
ORNL,ORNL_017,NEON.PLA.D07.ORNL.00045,Acer rubrum L.,ACRU,UNMEASURED,Never measured in survey campaigns
ORNL,ORNL_017,NEON.PLA.D07.ORNL.00075,Quercus montana Willd.,QUMO4,UNMEASURED,Never measured in survey campaigns
ORNL,ORNL_060,NEON.PLA.D07.ORNL.02329,Fraxinus americana L.,FRAM2,UNMEASURED,Never measured in survey campaigns
ORNL,ORNL_060,NEON.PLA.D07.ORNL.03914,Acer saccharum Marshall,ACSA3,UNMEASURED,Never measured in survey campaigns
ORNL,ORNL_060,NEON.PLA.D07.ORNL.02425,Fraxinus americana L.,FRAM2,UNMEASURED,Never measured in survey campaigns
ORNL,ORNL_060,NEON.PLA.D07.ORNL.02426,Prunus serotina Ehrh.,PRSE2,UNMEASURED,Never measured in survey campaigns
ORNL,ORNL_058,NEON.PLA.D07.ORNL.04797,Amelanchier arborea (Michx. f.) Fernald,AMAR3,UNMEASURED,Never measured in survey campaigns
ORNL,ORNL_052,NEON.PLA.D07.ORNL.04143,Oxydendrum arboreum (L.) DC.,OXAR,UNMEASURED,Never measured in survey campaigns
ORNL,ORNL_017,NEON.PLA.D07.ORNL.00052,Acer rubrum L.,ACRU,UNMEASURED,Never measured in survey campaigns
ORNL,ORNL_052,NEON.PLA.D07.ORNL.05537,Nyssa sylvatica Marshall,NYSY,UNMEASURED,Never measured in survey campaigns
ORNL,ORNL_068,NEON.PLA.D07.ORNL.00589,Carpinus caroliniana Walter,CACA18,UNMEASURED,Never measured in survey campaigns
ORNL,ORNL_019,NEON.PLA.D07.ORNL.00666,Nyssa sylvatica Marshall,NYSY,UNMEASURED,Never measured in survey campaigns
ORNL,ORNL_067,NEON.PLA.D07.ORNL.01230,Acer rubrum L.,ACRU,UNMEASURED,Never measured in survey campaigns
ORNL,ORNL_060,NEON.PLA.D07.ORNL.02164,Fraxinus americana L.,FRAM2,UNMEASURED,Never measured in survey campaigns
ORNL,ORNL_052,NEON.PLA.D07.ORNL.05555,Oxydendrum arboreum (L.) DC.,OXAR,UNMEASURED,Never measured in survey campaigns
ORNL,ORNL_019,NEON.PLA.D07.ORNL.00331,Liquidambar styraciflua L.,LIST2,UNMEASURED,Never measured in survey campaigns
ORNL,ORNL_052,NEON.PLA.D07.ORNL.05524,Acer rubrum L.,ACRU,UNMEASURED,Never measured in survey campaigns
ORNL,ORNL_068,NEON.PLA.D07.ORNL.00582,Juniperus virginiana L.,JUVI,UNMEASURED,Never measured in survey campaigns
ORNL,ORNL_019,NEON.PLA.D07.ORNL.00675,Liquidambar styraciflua L.,LIST2,UNMEASURED,Never measured in survey campaigns
ORNL,ORNL_060,NEON.PLA.D07.ORNL.02374,Acer saccharum Marshall,ACSA3,UNMEASURED,Never measured in survey campaigns
ORNL,ORNL_017,NEON.PLA.D07.ORNL.00037,Fagus grandifolia Ehrh.,FAGR,UNMEASURED,Never measured in survey campaigns
ORNL,ORNL_061,NEON.PLA.D07.ORNL.05304,Quercus velutina Lam.,QUVE,UNMEASURED,Never measured in survey campaigns
ORNL,ORNL_061,NEON.PLA.D07.ORNL.05305,Quercus velutina Lam.,QUVE,UNMEASURED,Never measured in survey campaigns
ORNL,ORNL_017,NEON.PLA.D07.ORNL.00060,Acer rubrum L.,ACRU,UNMEASURED,Never measured in survey campaigns
ORNL,ORNL_068,NEON.PLA.D07.ORNL.00588,Prunus serotina Ehrh.,PRSE2,UNMEASURED,Never measured in survey campaigns
ORNL,ORNL_015,NEON.PLA.D07.ORNL.01366,Unknown hardwood plant,2PLANT-H,UNMEASURED,Never measured in survey campaigns
ORNL,ORNL_015,NEON.PLA.D07.ORNL.01287,Acer saccharum Marshall,ACSA3,UNMEASURED,Never measured in survey campaigns
ORNL,ORNL_060,NEON.PLA.D07.ORNL.03926,Acer saccharum Marshall,ACSA3,UNMEASURED,Never measured in survey campaigns
ORNL,ORNL_015,NEON.PLA.D07.ORNL.01254,Carya tomentosa (Lam.) Nutt.,CATO6,UNMEASURED,Never measured in survey campaigns
ORNL,ORNL_019,NEON.PLA.D07.ORNL.00717,Quercus montana Willd.,QUMO4,UNMEASURED,Never measured in survey campaigns
ORNL,ORNL_019,NEON.PLA.D07.ORNL.00698,Liquidambar styraciflua L.,LIST2,UNMEASURED,Never measured in survey campaigns
ORNL,ORNL_067,NEON.PLA.D07.ORNL.01124,Quercus velutina Lam.,QUVE,UNMEASURED,Never measured in survey campaigns
ORNL,ORNL_063,NEON.PLA.D07.ORNL.08841,Fagus grandifolia Ehrh.,FAGR,UNMEASURED,Never measured in survey campaigns
ORNL,ORNL_052,NEON.PLA.D07.ORNL.04136,Nyssa sylvatica Marshall,NYSY,UNMEASURED,Never measured in survey campaigns
ORNL,ORNL_060,NEON.PLA.D07.ORNL.03939,Acer saccharum Marshall,ACSA3,UNMEASURED,Never measured in survey campaigns
ORNL,ORNL_060,NEON.PLA.D07.ORNL.02407,Fraxinus americana L.,FRAM2,UNMEASURED,Never measured in survey campaigns
ORNL,ORNL_019,NEON.PLA.D07.ORNL.00444,Vaccinium stamineum L.,VAST,UNMEASURED,Never measured in survey campaigns
ORNL,ORNL_063,NEON.PLA.D07.ORNL.08854,Oxydendrum arboreum (L.) DC.,OXAR,UNMEASURED,Never measured in survey campaigns
ORNL,ORNL_017,NEON.PLA.D07.ORNL.00034,Nyssa sylvatica Marshall,NYSY,UNMEASURED,Never measured in survey campaigns
ORNL,ORNL_015,NEON.PLA.D07.ORNL.01357,Fagus grandifolia Ehrh.,FAGR,UNMEASURED,Never measured in survey campaigns
ORNL,ORNL_060,NEON.PLA.D07.ORNL.03913,Acer saccharum Marshall,ACSA3,UNMEASURED,Never measured in survey campaigns
ORNL,ORNL_062,NEON.PLA.D07.ORNL.03242,Oxydendrum arboreum (L.) DC.,OXAR,UNMEASURED,Never measured in survey campaigns
ORNL,ORNL_059,NEON.PLA.D07.ORNL.08374,Fagus grandifolia Ehrh.,FAGR,UNMEASURED,Never measured in survey campaigns
ORNL,ORNL_019,NEON.PLA.D07.ORNL.00562,Amelanchier arborea (Michx. f.) Fernald,AMAR3,UNMEASURED,Never measured in survey campaigns
ORNL,ORNL_017,NEON.PLA.D07.ORNL.00046,Quercus montana Willd.,QUMO4,UNMEASURED,Never measured in survey campaigns
ORNL,ORNL_060,NEON.PLA.D07.ORNL.02240,Acer saccharum Marshall,ACSA3,UNMEASURED,Never measured in survey campaigns
ORNL,ORNL_063,NEON.PLA.D07.ORNL.08843,Oxydendrum arboreum (L.) DC.,OXAR,UNMEASURED,Never measured in survey campaigns
ORNL,ORNL_063,NEON.PLA.D07.ORNL.08825,Carpinus caroliniana Walter,CACA18,UNMEASURED,Never measured in survey campaigns
ORNL,ORNL_067,NEON.PLA.D07.ORNL.01125,Oxydendrum arboreum (L.) DC.,OXAR,UNMEASURED,Never measured in survey campaigns
ORNL,ORNL_068,NEON.PLA.D07.ORNL.00514,Quercus alba L.,QUAL,UNMEASURED,Never measured in survey campaigns
ORNL,ORNL_052,NEON.PLA.D07.ORNL.04151,Acer rubrum L.,ACRU,UNMEASURED,Never measured in survey campaigns
ORNL,ORNL_018,NEON.PLA.D07.ORNL.01201,Carpinus caroliniana Walter,CACA18,UNMEASURED,Never measured in survey campaigns
ORNL,ORNL_060,NEON.PLA.D07.ORNL.02370,Acer saccharum Marshall,ACSA3,UNMEASURED,Never measured in survey campaigns
ORNL,ORNL_052,NEON.PLA.D07.ORNL.05506,Amelanchier arborea (Michx. f.) Fernald,AMAR3,UNMEASURED,Never measured in survey campaigns
ORNL,ORNL_035,NEON.PLA.D07.ORNL.08010Z,Pinus virginiana Mill.,PIVI2,UNMEASURED,Never measured in survey campaigns
ORNL,ORNL_018,NEON.PLA.D07.ORNL.01138,Carpinus caroliniana Walter,CACA18,UNMEASURED,Never measured in survey campaigns
ORNL,ORNL_052,NEON.PLA.D07.ORNL.05512,Sassafras albidum (Nutt.) Nees,SAAL5,UNMEASURED,Never measured in survey campaigns
ORNL,ORNL_067,NEON.PLA.D07.ORNL.01120,Oxydendrum arboreum (L.) DC.,OXAR,UNMEASURED,Never measured in survey campaigns
ORNL,ORNL_060,NEON.PLA.D07.ORNL.03906,Acer saccharum Marshall,ACSA3,UNMEASURED,Never measured in survey campaigns
ORNL,ORNL_059,NEON.PLA.D07.ORNL.08379,Unknown hardwood plant,2PLANT-H,UNMEASURED,Never measured in survey campaigns
ORNL,ORNL_017,NEON.PLA.D07.ORNL.00063,Acer rubrum L.,ACRU,UNMEASURED,Never measured in survey campaigns
ORNL,ORNL_052,NEON.PLA.D07.ORNL.05549,Quercus alba L.,QUAL,UNMEASURED,Never measured in survey campaigns
ORNL,ORNL_063,NEON.PLA.D07.ORNL.08852,Oxydendrum arboreum (L.) DC.,OXAR,UNMEASURED,Never measured in survey campaigns
ORNL,ORNL_017,NEON.PLA.D07.ORNL.00310,Acer rubrum L.,ACRU,UNMEASURED,Never measured in survey campaigns
ORNL,ORNL_018,NEON.PLA.D07.ORNL.00729,Quercus alba L.,QUAL,UNMEASURED,Never measured in survey campaigns
ORNL,ORNL_060,NEON.PLA.D07.ORNL.03917,Acer saccharum Marshall,ACSA3,UNMEASURED,Never measured in survey campaigns
ORNL,ORNL_058,NEON.PLA.D07.ORNL.04791,Fagus grandifolia Ehrh.,FAGR,UNMEASURED,Never measured in survey campaigns
ORNL,ORNL_018,NEON.PLA.D07.ORNL.00755,Ailanthus altissima (Mill.) Swingle,AIAL,UNMEASURED,Never measured in survey campaigns
ORNL,ORNL_060,NEON.PLA.D07.ORNL.03915,Acer rubrum L.,ACRU,UNMEASURED,Never measured in survey campaigns
ORNL,ORNL_068,NEON.PLA.D07.ORNL.00610,Prunus serotina Ehrh.,PRSE2,UNMEASURED,Never measured in survey campaigns
ORNL,ORNL_068,NEON.PLA.D07.ORNL.00575,Quercus alba L.,QUAL,UNMEASURED,Never measured in survey campaigns
ORNL,ORNL_058,NEON.PLA.D07.ORNL.04792,Amelanchier arborea (Michx. f.) Fernald,AMAR3,UNMEASURED,Never measured in survey campaigns
ORNL,ORNL_052,NEON.PLA.D07.ORNL.05551,Oxydendrum arboreum (L.) DC.,OXAR,UNMEASURED,Never measured in survey campaigns
ORNL,ORNL_017,NEON.PLA.D07.ORNL.00322,Oxydendrum arboreum (L.) DC.,OXAR,UNMEASURED,Never measured in survey campaigns
ORNL,ORNL_015,NEON.PLA.D07.ORNL.01362,Lonicera japonica Thunb.,LOJA,UNMEASURED,Never measured in survey campaigns
ORNL,ORNL_018,NEON.PLA.D07.ORNL.00739,Liquidambar styraciflua L.,LIST2,UNMEASURED,Never measured in survey campaigns
ORNL,ORNL_062,NEON.PLA.D07.ORNL.03243,Vaccinium corymbosum L.,VACO,UNMEASURED,Never measured in survey campaigns
ORNL,ORNL_060,NEON.PLA.D07.ORNL.02421,Fraxinus americana L.,FRAM2,UNMEASURED,Never measured in survey campaigns
ORNL,ORNL_060,NEON.PLA.D07.ORNL.02362,Liquidambar styraciflua L.,LIST2,UNMEASURED,Never measured in survey campaigns
ORNL,ORNL_060,NEON.PLA.D07.ORNL.03931,Carpinus caroliniana Walter,CACA18,UNMEASURED,Never measured in survey campaigns
ORNL,ORNL_015,NEON.PLA.D07.ORNL.01902,Fagus grandifolia Ehrh.,FAGR,UNMEASURED,Never measured in survey campaigns
ORNL,ORNL_019,NEON.PLA.D07.ORNL.00438,Quercus alba L.,QUAL,UNMEASURED,Never measured in survey campaigns
ORNL,ORNL_061,NEON.PLA.D07.ORNL.05311,Quercus velutina Lam.,QUVE,UNMEASURED,Never measured in survey campaigns
ORNL,ORNL_018,NEON.PLA.D07.ORNL.01193,Liquidambar styraciflua L.,LIST2,UNMEASURED,Never measured in survey campaigns
ORNL,ORNL_061,NEON.PLA.D07.ORNL.05294,Liquidambar styraciflua L.,LIST2,UNMEASURED,Never measured in survey campaigns
