siteID,plotID,individualID,scientificName,taxonID,status,reason
OSBS,OSBS_042,NEON.PLA.D03.OSBS.09095,Yucca filamentosa L.,YUFI,UNMEASURED,Never measured in survey campaigns
OSBS,OSBS_044,NEON.PLA.D03.OSBS.07478,Serenoa repens (W. Bartram) Small,SERE2,UNMEASURED,Never measured in survey campaigns
OSBS,OSBS_043,NEON.PLA.D03.OSBS.08762,Serenoa repens (W. Bartram) Small,SERE2,UNMEASURED,Never measured in survey campaigns
OSBS,OSBS_035,NEON.PLA.D03.OSBS.09104,Yucca filamentosa L.,YUFI,UNMEASURED,Never measured in survey campaigns
OSBS,OSBS_042,TEMP.PLA.OSBS.2023.42004,Diospyros virginiana L.,DIVI5,UNMEASURED,Never measured in survey campaigns
OSBS,OSBS_042,TEMP.PLA.OSBS.2023.42229,Diospyros virginiana L.,DIVI5,UNMEASURED,Never measured in survey campaigns
OSBS,OSBS_066,NEON.PLA.D03.OSBS.01631,Vitis rotundifolia Michx.,VIRO3,UNMEASURED,Never measured in survey campaigns
OSBS,OSBS_044,TEMP.PLA.OSBS.2023.44057,Quercus laevis Walter,QULA2,UNMEASURED,Never measured in survey campaigns
OSBS,OSBS_034,NEON.PLA.D03.OSBS.08589,Serenoa repens (W. Bartram) Small,SERE2,UNMEASURED,Never measured in survey campaigns
OSBS,OSBS_043,TEMP.PLA.OSBS.2023.43041,Quercus laevis Walter,QULA2,UNMEASURED,Never measured in survey campaigns
OSBS,OSBS_016,NEON.PLA.D03.OSBS.01620,Pinus taeda L.,PITA,UNMEASURED,Never measured in survey campaigns
OSBS,OSBS_040,NEON.PLA.D03.OSBS.08585,Serenoa repens (W. Bartram) Small,SERE2,UNMEASURED,Never measured in survey campaigns
OSBS,OSBS_066,NEON.PLA.D03.OSBS.08815,Carya glabra (Mill.) Sweet,CAGL8,UNMEASURED,Never measured in survey campaigns
OSBS,OSBS_009,NEON.PLA.D03.OSBS.07043,Vitis rotundifolia Michx.,VIRO3,UNMEASURED,Never measured in survey campaigns
