siteID,plotID,individualID,scientificName,taxonID,status,reason
PUUM,PUUM_047,NEON.PLA.D20.PUUM.01353,Cibotium glaucum (Sm.) Hook. & Arn.,CIGL,UNMEASURED,Never measured in survey campaigns
PUUM,PUUM_007,NEON.PLA.D20.PUUM.03239,Cibotium glaucum (Sm.) Hook. & Arn.,CIGL,UNMEASURED,Never measured in survey campaigns
PUUM,PUUM_020,NEON.PLA.D20.PUUM.02460,Cibotium glaucum (Sm.) Hook. & Arn.,CIGL,UNMEASURED,Never measured in survey campaigns
PUUM,PUUM_020,NEON.PLA.D20.PUUM.02469,Cibotium glaucum (Sm.) Hook. & Arn.,CIGL,UNMEASURED,Never measured in survey campaigns
PUUM,PUUM_035,NEON.PLA.D20.PUUM.00755,Cibotium glaucum (Sm.) Hook. & Arn.,CIGL,UNMEASURED,Never measured in survey campaigns
PUUM,PUUM_017,NEON.PLA.D20.PUUM.02614,Cibotium glaucum (Sm.) Hook. & Arn.,CIGL,UNMEASURED,Never measured in survey campaigns
PUUM,PUUM_035,NEON.PLA.D20.PUUM.00750,Cibotium glaucum (Sm.) Hook. & Arn.,CIGL,UNMEASURED,Never measured in survey campaigns
PUUM,PUUM_035,NEON.PLA.D20.PUUM.00765,Cibotium glaucum (Sm.) Hook. & Arn.,CIGL,UNMEASURED,Never measured in survey campaigns
PUUM,PUUM_004,NEON.PLA.D20.PUUM.03400,Cibotium glaucum (Sm.) Hook. & Arn.,CIGL,UNMEASURED,Never measured in survey campaigns
PUUM,PUUM_015,NEON.PLA.D20.PUUM.03573,Cibotium glaucum (Sm.) Hook. & Arn.,CIGL,UNMEASURED,Never measured in survey campaigns
PUUM,PUUM_020,NEON.PLA.D20.PUUM.01839,Cibotium glaucum (Sm.) Hook. & Arn.,CIGL,UNMEASURED,Never measured in survey campaigns
PUUM,PUUM_035,NEON.PLA.D20.PUUM.08279,Sadleria pallida Hook. & Arn.,SAPA11,UNMEASURED,Never measured in survey campaigns
PUUM,PUUM_010,NEON.PLA.D20.PUUM.03149,Cibotium glaucum (Sm.) Hook. & Arn.,CIGL,UNMEASURED,Never measured in survey campaigns
PUUM,PUUM_042,NEON.PLA.D20.PUUM.03770,Cibotium glaucum (Sm.) Hook. & Arn.,CIGL,UNMEASURED,Never measured in survey campaigns
