siteID,plotID,individualID,scientificName,taxonID,status,reason
SCBI,SCBI_016,NEON.PLA.D02.SCBI.17158,Elaeagnus umbellata Thunb.,ELUM,UNMEASURED,Never measured in survey campaigns
SCBI,SCBI_051,NEON.PLA.D02.SCBI.03812,Lindera benzoin (L.) Blume,LIBE3,UNMEASURED,Never measured in survey campaigns
SCBI,SCBI_045,NEON.PLA.D02.SCBI.10742,Vitis sp.,VITIS,UNMEASURED,Never measured in survey campaigns
SCBI,SCBI_048,NEON.PLA.D02.SCBI.02886,Fraxinus americana L.,FRAM2,UNMEASURED,Never measured in survey campaigns
SCBI,SCBI_016,NEON.PLA.D02.SCBI.02031,Berberis thunbergii DC.,BETH,UNMEASURED,Never measured in survey campaigns
SCBI,SCBI_047,NEON.PLA.D02.SCBI.13015,Sassafras albidum (Nutt.) Nees,SAAL5,UNMEASURED,Never measured in survey campaigns
SCBI,SCBI_003,NEON.PLA.D02.SCBI.01744,Lindera benzoin (L.) Blume,LIBE3,UNMEASURED,Never measured in survey campaigns
SCBI,SCBI_005,NEON.PLA.D02.SCBI.00257,Berberis thunbergii DC.,BETH,UNMEASURED,Never measured in survey campaigns
SCBI,SCBI_015,NEON.PLA.D02.SCBI.01182,Asimina triloba (L.) Dunal,ASTR,UNMEASURED,Never measured in survey campaigns
SCBI,SCBI_022,NEON.PLA.D02.SCBI.17402,Carya ovalis (Wangenh.) Sarg.,CAOV3,UNMEASURED,Never measured in survey campaigns
SCBI,SCBI_015,NEON.PLA.D02.SCBI.01178,Asimina triloba (L.) Dunal,ASTR,UNMEASURED,Never measured in survey campaigns
SCBI,SCBI_047,NEON.PLA.D02.SCBI.14502Z,Juglans nigra L.,JUNI,UNMEASURED,Never measured in survey campaigns
SCBI,SCBI_051,NEON.PLA.D02.SCBI.03808,Lindera benzoin (L.) Blume,LIBE3,UNMEASURED,Never measured in survey campaigns
SCBI,SCBI_005,NEON.PLA.D02.SCBI.00259,Berberis thunbergii DC.,BETH,UNMEASURED,Never measured in survey campaigns
SCBI,SCBI_051,NEON.PLA.D02.SCBI.03974,Lindera benzoin (L.) Blume,LIBE3,UNMEASURED,Never measured in survey campaigns
SCBI,SCBI_051,NEON.PLA.D02.SCBI.03922,Lindera benzoin (L.) Blume,LIBE3,UNMEASURED,Never measured in survey campaigns
SCBI,SCBI_014,NEON.PLA.D02.SCBI.17325,Symphoricarpos orbiculatus Moench,SYOR,UNMEASURED,Never measured in survey campaigns
SCBI,SCBI_022,NEON.PLA.D02.SCBI.17189,Lindera benzoin (L.) Blume,LIBE3,UNMEASURED,Never measured in survey campaigns
SCBI,SCBI_014,NEON.PLA.D02.SCBI.17434,Berberis thunbergii DC.,BETH,UNMEASURED,Never measured in survey campaigns
SCBI,SCBI_016,NEON.PLA.D02.SCBI.17309,Berberis thunbergii DC.,BETH,UNMEASURED,Never measured in survey campaigns
SCBI,SCBI_014,NEON.PLA.D02.SCBI.17026,Vitis sp.,VITIS,UNMEASURED,Never measured in survey campaigns
SCBI,SCBI_008,NEON.PLA.D02.SCBI.01108,Asimina triloba (L.) Dunal,ASTR,UNMEASURED,Never measured in survey campaigns
SCBI,SCBI_023,NEON.PLA.D02.SCBI.17304,Fraxinus americana L.,FRAM2,UNMEASURED,Never measured in survey campaigns
SCBI,SCBI_016,NEON.PLA.D02.SCBI.17320,Elaeagnus umbellata Thunb.,ELUM,UNMEASURED,Never measured in survey campaigns
SCBI,SCBI_016,NEON.PLA.D02.SCBI.17308,Berberis thunbergii DC.,BETH,UNMEASURED,Never measured in survey campaigns
SCBI,SCBI_003,NEON.PLA.D02.SCBI.01707,Asimina triloba (L.) Dunal,ASTR,UNMEASURED,Never measured in survey campaigns
SCBI,SCBI_048,NEON.PLA.D02.SCBI.02876,Lindera benzoin (L.) Blume,LIBE3,UNMEASURED,Never measured in survey campaigns
SCBI,SCBI_015,NEON.PLA.D02.SCBI.01352,Asimina triloba (L.) Dunal,ASTR,UNMEASURED,Never measured in survey campaigns
SCBI,SCBI_007,NEON.PLA.D02.SCBI.13017,Carya tomentosa (Lam.) Nutt.,CATO6,UNMEASURED,Never measured in survey campaigns
SCBI,SCBI_022,NEON.PLA.D02.SCBI.17196,Lindera benzoin (L.) Blume,LIBE3,UNMEASURED,Never measured in survey campaigns
SCBI,SCBI_015,NEON.PLA.D02.SCBI.01226,Asimina triloba (L.) Dunal,ASTR,UNMEASURED,Never measured in survey campaigns
SCBI,SCBI_002,NEON.PLA.D02.SCBI.00164,Asimina triloba (L.) Dunal,ASTR,UNMEASURED,Never measured in survey campaigns
SCBI,SCBI_051,NEON.PLA.D02.SCBI.03883,Lindera benzoin (L.) Blume,LIBE3,UNMEASURED,Never measured in survey campaigns
SCBI,SCBI_003,NEON.PLA.D02.SCBI.01820,Lindera benzoin (L.) Blume,LIBE3,UNMEASURED,Never measured in survey campaigns
SCBI,SCBI_016,NEON.PLA.D02.SCBI.01896,Elaeagnus umbellata Thunb.,ELUM,UNMEASURED,Never measured in survey campaigns
SCBI,SCBI_003,NEON.PLA.D02.SCBI.01692,Lindera benzoin (L.) Blume,LIBE3,UNMEASURED,Never measured in survey campaigns
SCBI,SCBI_015,NEON.PLA.D02.SCBI.01278,Asimina triloba (L.) Dunal,ASTR,UNMEASURED,Never measured in survey campaigns
SCBI,SCBI_002,NEON.PLA.D02.SCBI.00121,Asimina triloba (L.) Dunal,ASTR,UNMEASURED,Never measured in survey campaigns
SCBI,SCBI_016,NEON.PLA.D02.SCBI.02092,Cornus florida L.,COFL2,UNMEASURED,Never measured in survey campaigns
SCBI,SCBI_002,NEON.PLA.D02.SCBI.00084,Asimina triloba (L.) Dunal,ASTR,UNMEASURED,Never measured in survey campaigns
SCBI,SCBI_005,NEON.PLA.D02.SCBI.00278,Berberis thunbergii DC.,BETH,UNMEASURED,Never measured in survey campaigns
SCBI,SCBI_002,NEON.PLA.D02.SCBI.00036,Asimina triloba (L.) Dunal,ASTR,UNMEASURED,Never measured in survey campaigns
SCBI,SCBI_016,NEON.PLA.D02.SCBI.02011,Elaeagnus umbellata Thunb.,ELUM,UNMEASURED,Never measured in survey campaigns
SCBI,SCBI_015,NEON.PLA.D02.SCBI.01242,Asimina triloba (L.) Dunal,ASTR,UNMEASURED,Never measured in survey campaigns
SCBI,SCBI_003,NEON.PLA.D02.SCBI.01697,Asimina triloba (L.) Dunal,ASTR,UNMEASURED,Never measured in survey campaigns
SCBI,SCBI_022,NEON.PLA.D02.SCBI.17408,Lindera benzoin (L.) Blume,LIBE3,UNMEASURED,Never measured in survey campaigns
SCBI,SCBI_005,NEON.PLA.D02.SCBI.00264,Berberis thunbergii DC.,BETH,UNMEASURED,Never measured in survey campaigns
SCBI,SCBI_022,NEON.PLA.D02.SCBI.17183,Lindera benzoin (L.) Blume,LIBE3,UNMEASURED,Never measured in survey campaigns
SCBI,SCBI_002,NEON.PLA.D02.SCBI.00174,Asimina triloba (L.) Dunal,ASTR,UNMEASURED,Never measured in survey campaigns
SCBI,SCBI_015,NEON.PLA.D02.SCBI.01306,Asimina triloba (L.) Dunal,ASTR,UNMEASURED,Never measured in survey campaigns
SCBI,SCBI_016,NEON.PLA.D02.SCBI.01906,Elaeagnus umbellata Thunb.,ELUM,UNMEASURED,Never measured in survey campaigns
SCBI,SCBI_022,NEON.PLA.D02.SCBI.17190,Lindera benzoin (L.) Blume,LIBE3,UNMEASURED,Never measured in survey campaigns
