siteID,plotID,individualID,year,AGBJenkins,AGBChojnacky,AGBAnnighofer,growth_AGBJenkins,growth_cumu_AGBJenkins,growth_AGBChojnacky,growth_cumu_AGBChojnacky,growth_AGBAnnighofer,growth_cumu_AGBAnnighofer,stemDiameter,height,plantStatus,corrected_is_dead,gapFilling,scientificName,taxonID,genus,family,taxonRank,pointID,stemDistance,stemAzimuth
SERC,SERC_043,NEON.PLA.D02.SERC.00011,2015,0.0,0.0,0.0,,0.0,,0.0,,0.0,12.8,10.3,Live,False,ORIGINAL,,,,,,,,
SERC,SERC_043,NEON.PLA.D02.SERC.00011,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.8,,,False,FILLED,,,,,,,,
SERC,SERC_043,NEON.PLA.D02.SERC.00011,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.8,,,False,FILLED,,,,,,,,
SERC,SERC_043,NEON.PLA.D02.SERC.00011,2018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.8,,,False,FILLED,,,,,,,,
SERC,SERC_043,NEON.PLA.D02.SERC.00011,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.8,,,False,FILLED,,,,,,,,
SERC,SERC_054,NEON.PLA.D02.SERC.00017,2015,365.088015750804,340.983171191053,0.0,,1.5760076632173172,,1.4846079239583982,,0.0,27.2,21.8,Live,False,ORIGINAL,Acer rubrum L.,ACRU,Acer,Aceraceae,species,39,15.7,48.7
SERC,SERC_054,NEON.PLA.D02.SERC.00017,2016,361.921457416631,338.000659867852,0.0,-3.1665583341730326,1.5760076632173172,-2.9825113232009812,1.4846079239583982,0.0,0.0,27.1,22.0,Live,False,ORIGINAL,Acer rubrum L.,ACRU,Acer,Aceraceae,species,39,15.7,48.7
SERC,SERC_054,NEON.PLA.D02.SERC.00017,2017,365.088015750804,340.983171191053,0.0,3.1665583341730326,1.5760076632173172,2.9825113232009812,1.4846079239583982,0.0,0.0,27.2,24.4,Live,False,ORIGINAL,Acer rubrum L.,ACRU,Acer,Aceraceae,species,39,15.7,48.7
SERC,SERC_054,NEON.PLA.D02.SERC.00017,2018,361.921457416631,338.000659867852,0.0,-3.1665583341730326,1.5760076632173172,-2.9825113232009812,1.4846079239583982,0.0,0.0,27.1,25.3,Live,False,ORIGINAL,Acer rubrum L.,ACRU,Acer,Aceraceae,species,39,15.7,48.7
SERC,SERC_054,NEON.PLA.D02.SERC.00017,2022,374.683368879199,350.022157052813,0.0,3.190477865642009,1.5760076632173172,3.005374296240248,1.4846079239583982,0.0,0.0,27.5,25.5,Live,False,ORIGINAL,Acer rubrum L.,ACRU,Acer,Aceraceae,species,39,15.7,48.7
SERC,SERC_054,NEON.PLA.D02.SERC.00029,2015,664.143809183316,641.927235895362,0.0,,9.052305217222607,,8.77499805649544,,0.0,33.0,24.8,Live,False,ORIGINAL,Fagus grandifolia Ehrh.,FAGR,Fagus,Fagaceae,species,57,20.4,106.8
SERC,SERC_054,NEON.PLA.D02.SERC.00029,2016,659.255483871026,637.189282121008,0.0,-4.888325312290021,9.052305217222607,-4.737953774353969,8.77499805649544,0.0,0.0,32.9,23.6,Live,False,ORIGINAL,Fagus grandifolia Ehrh.,FAGR,Fagus,Fagaceae,species,57,20.4,106.8
SERC,SERC_054,NEON.PLA.D02.SERC.00029,2017,688.905362834101,665.928572430851,0.0,29.649878963075025,9.052305217222607,28.739290309843,8.77499805649544,0.0,0.0,33.5,26.3,Live,False,ORIGINAL,Fagus grandifolia Ehrh.,FAGR,Fagus,Fagaceae,species,57,20.4,106.8
SERC,SERC_054,NEON.PLA.D02.SERC.00029,2018,678.936644233985,656.26561377628,0.0,-9.968718600115949,9.052305217222607,-9.662958654570957,8.77499805649544,0.0,0.0,33.3,25.7,Live,False,ORIGINAL,Fagus grandifolia Ehrh.,FAGR,Fagus,Fagaceae,species,57,20.4,106.8
SERC,SERC_054,NEON.PLA.D02.SERC.00029,2022,724.472397822734,700.407842254368,0.0,11.38393839718725,9.052305217222607,11.035557119521997,8.77499805649544,0.0,0.0,34.2,27.6,Live,False,ORIGINAL,Fagus grandifolia Ehrh.,FAGR,Fagus,Fagaceae,species,57,20.4,106.8
SERC,SERC_054,NEON.PLA.D02.SERC.00032,2015,552.635262153624,533.874622393371,0.0,,9.005787546771735,,8.725792609448497,,0.0,30.6,23.4,Live,False,ORIGINAL,Fagus grandifolia Ehrh.,FAGR,Fagus,Fagaceae,species,39,23.4,33.7
SERC,SERC_054,NEON.PLA.D02.SERC.00032,2016,561.468828726528,542.432339727412,0.0,8.833566572904033,9.005787546771735,8.557717334040944,8.725792609448497,0.0,0.0,30.8,17.0,Live,False,ORIGINAL,Fagus grandifolia Ehrh.,FAGR,Fagus,Fagaceae,species,39,23.4,33.7
SERC,SERC_054,NEON.PLA.D02.SERC.00032,2017,574.874222539862,555.419834664748,0.0,13.405393813333944,9.005787546771735,12.98749493733601,8.725792609448497,0.0,0.0,31.1,33.1,Live,False,ORIGINAL,Fagus grandifolia Ehrh.,FAGR,Fagus,Fagaceae,species,39,23.4,33.7
SERC,SERC_054,NEON.PLA.D02.SERC.00032,2018,579.384148449605,559.789359626003,0.0,4.50992590974306,9.005787546771735,4.369524961255024,8.725792609448497,0.0,0.0,31.2,27.0,Live,False,ORIGINAL,Fagus grandifolia Ehrh.,FAGR,Fagus,Fagaceae,species,39,23.4,33.7
SERC,SERC_054,NEON.PLA.D02.SERC.00032,2022,616.214017743563,595.476150666129,0.0,9.207467323489482,9.005787546771735,8.921697760031492,8.725792609448497,0.0,0.0,32.0,25.1,Live,False,ORIGINAL,Fagus grandifolia Ehrh.,FAGR,Fagus,Fagaceae,species,39,23.4,33.7
SERC,SERC_054,NEON.PLA.D02.SERC.00039,2022,42.8175178958638,41.069467939731,0.0,,,,,,,10.7,10.3,Live,False,ORIGINAL,Fagus grandifolia Ehrh.,FAGR,Fagus,Fagaceae,species,57,6.3,134.4
SERC,SERC_054,NEON.PLA.D02.SERC.00041,2016,12.4372762038633,12.0462607404933,0.0,,0.0,,0.0,,0.0,10.0,7.0,Live,False,ORIGINAL,Liquidambar styraciflua L.,LIST2,Liquidambar,Hamamelidaceae,species,57,1.7,114.7
SERC,SERC_054,NEON.PLA.D02.SERC.00041,2017,12.4372762038633,12.0462607404933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,7.9,Live,False,ORIGINAL,Liquidambar styraciflua L.,LIST2,Liquidambar,Hamamelidaceae,species,57,1.7,114.7
SERC,SERC_054,NEON.PLA.D02.SERC.00043,2015,900.698729933418,871.310316473657,0.0,,-147.6619275917308,,-142.84288577209693,,0.0,37.4,21.2,"Live,  other damage",False,ORIGINAL,Quercus falcata Michx.,QUFA,Quercus,Fagaceae,species,57,5.8,154.5
SERC,SERC_054,NEON.PLA.D02.SERC.00043,2016,889.019159215857,859.9804756715,0.0,-11.679570717560978,-147.6619275917308,-11.329840802157037,-142.84288577209693,0.0,0.0,37.2,17.5,"Live,  other damage",False,ORIGINAL,Quercus falcata Michx.,QUFA,Quercus,Fagaceae,species,57,5.8,154.5
