siteID,plotID,individualID,scientificName,taxonID,status,reason
SERC,SERC_057,NEON.PLA.D02.SERC.09176,Fagus grandifolia Ehrh.,FAGR,UNMEASURED,Never measured in survey campaigns
SERC,SERC_046,NEON.PLA.D02.SERC.09114,Liriodendron tulipifera L.,LITU,UNMEASURED,Never measured in survey campaigns
SERC,SERC_057,NEON.PLA.D02.SERC.09370,Fagus grandifolia Ehrh.,FAGR,UNMEASURED,Never measured in survey campaigns
SERC,SERC_006,NEON.PLA.D02.SERC.14055Z,Ulmus sp.,ULMUS,UNMEASURED,Never measured in survey campaigns
SERC,SERC_051,NEON.PLA.D02.SERC.08089,Kalmia latifolia L.,KALA,UNMEASURED,Never measured in survey campaigns
SERC,SERC_050,NEON.PLA.D02.SERC.14059Z,Pinus virginiana Mill.,PIVI2,UNMEASURED,Never measured in survey campaigns
SERC,SERC_046,NEON.PLA.D02.SERC.09220,Lonicera japonica Thunb.,LOJA,UNMEASURED,Never measured in survey campaigns
SERC,SERC_057,NEON.PLA.D02.SERC.09158,Fagus grandifolia Ehrh.,FAGR,UNMEASURED,Never measured in survey campaigns
SERC,SERC_056,NEON.PLA.D02.SERC.09821,Fagus grandifolia Ehrh.,FAGR,UNMEASURED,Never measured in survey campaigns
SERC,SERC_057,NEON.PLA.D02.SERC.09335,Fagus grandifolia Ehrh.,FAGR,UNMEASURED,Never measured in survey campaigns
SERC,SERC_056,NEON.PLA.D02.SERC.09807,Fagus grandifolia Ehrh.,FAGR,UNMEASURED,Never measured in survey campaigns
SERC,SERC_056,NEON.PLA.D02.SERC.09786,Carpinus caroliniana Walter,CACA18,UNMEASURED,Never measured in survey campaigns
SERC,SERC_056,NEON.PLA.D02.SERC.09776,Fagus grandifolia Ehrh.,FAGR,UNMEASURED,Never measured in survey campaigns
SERC,SERC_057,NEON.PLA.D02.SERC.09371,Fagus grandifolia Ehrh.,FAGR,UNMEASURED,Never measured in survey campaigns
SERC,SERC_046,NEON.PLA.D02.SERC.09239,Rosa multiflora Thunb.,ROMU,UNMEASURED,Never measured in survey campaigns
SERC,SERC_056,NEON.PLA.D02.SERC.09755,Carpinus caroliniana Walter,CACA18,UNMEASURED,Never measured in survey campaigns
SERC,SERC_057,NEON.PLA.D02.SERC.09302,Fagus grandifolia Ehrh.,FAGR,UNMEASURED,Never measured in survey campaigns
SERC,SERC_057,NEON.PLA.D02.SERC.09323,Fagus grandifolia Ehrh.,FAGR,UNMEASURED,Never measured in survey campaigns
SERC,SERC_056,NEON.PLA.D02.SERC.09794,Fagus grandifolia Ehrh.,FAGR,UNMEASURED,Never measured in survey campaigns
SERC,SERC_056,NEON.PLA.D02.SERC.09787,Fagus grandifolia Ehrh.,FAGR,UNMEASURED,Never measured in survey campaigns
SERC,SERC_022,NEON.PLA.D02.SERC.14051Z,Ailanthus altissima (Mill.) Swingle,AIAL,UNMEASURED,Never measured in survey campaigns
SERC,SERC_014,NEON.PLA.D02.SERC.14052Z,Prunus serotina Ehrh. var. serotina,PRSES,UNMEASURED,Never measured in survey campaigns
SERC,SERC_047,NEON.PLA.D02.SERC.13199,Quercus alba L.,QUAL,UNMEASURED,Never measured in survey campaigns
SERC,SERC_057,NEON.PLA.D02.SERC.09332,Fagus grandifolia Ehrh.,FAGR,UNMEASURED,Never measured in survey campaigns
SERC,SERC_057,NEON.PLA.D02.SERC.09485,Fagus grandifolia Ehrh.,FAGR,UNMEASURED,Never measured in survey campaigns
SERC,SERC_056,NEON.PLA.D02.SERC.09757,Fagus grandifolia Ehrh.,FAGR,UNMEASURED,Never measured in survey campaigns
SERC,SERC_057,NEON.PLA.D02.SERC.09169,Fagus grandifolia Ehrh.,FAGR,UNMEASURED,Never measured in survey campaigns
SERC,SERC_056,NEON.PLA.D02.SERC.09825,Fagus grandifolia Ehrh.,FAGR,UNMEASURED,Never measured in survey campaigns
SERC,SERC_046,NEON.PLA.D02.SERC.09252,Liquidambar styraciflua L.,LIST2,UNMEASURED,Never measured in survey campaigns
SERC,SERC_057,NEON.PLA.D02.SERC.09483,Fagus grandifolia Ehrh.,FAGR,UNMEASURED,Never measured in survey campaigns
