siteID,plotID,individualID,year,AGBJenkins,AGBChojnacky,AGBAnnighofer,growth_AGBJenkins,growth_cumu_AGBJenkins,growth_AGBChojnacky,growth_cumu_AGBChojnacky,growth_AGBAnnighofer,growth_cumu_AGBAnnighofer,stemDiameter,height,plantStatus,corrected_is_dead,gapFilling,scientificName,taxonID,genus,family,taxonRank,pointID,stemDistance,stemAzimuth
SOAP,SOAP_059,NEON.PLA.D17.SOAP.00161,2015,0.0,0.0,0.0,,37.49758188040147,,38.05718518592618,,0.0,28.6,,Standing dead,True,ORIGINAL,Pinus ponderosa Lawson & C. Lawson,PIPO,Pinus,Pinaceae,species,39,3.2,15.5
SOAP,SOAP_059,NEON.PLA.D17.SOAP.00161,2021,278.553465397268,282.710518524023,0.0,46.42557756621133,37.49758188040147,47.11841975400383,38.05718518592618,0.0,0.0,28.6,,,False,FILLED,Pinus ponderosa Lawson & C. Lawson,PIPO,Pinus,Pinaceae,species,39,3.2,15.5
SOAP,SOAP_059,NEON.PLA.D17.SOAP.00161,2023,278.553465397268,282.710518524023,0.0,0.0,37.49758188040147,0.0,38.05718518592618,0.0,0.0,28.6,,,False,FILLED,Pinus ponderosa Lawson & C. Lawson,PIPO,Pinus,Pinaceae,species,39,3.2,15.5
SOAP,SOAP_059,NEON.PLA.D17.SOAP.00162,2015,0.0,0.0,0.0,,128.96708333907208,,132.82497611789418,,0.0,47.5,,Standing dead,True,ORIGINAL,Pinus ponderosa Lawson & C. Lawson,PIPO,Pinus,Pinaceae,species,39,4.4,12.8
SOAP,SOAP_059,NEON.PLA.D17.SOAP.00162,2021,958.041190518821,986.699822590071,0.0,159.67353175313684,128.96708333907208,164.4499704316785,132.82497611789418,0.0,0.0,47.5,,,False,FILLED,Pinus ponderosa Lawson & C. Lawson,PIPO,Pinus,Pinaceae,species,39,4.4,12.8
SOAP,SOAP_059,NEON.PLA.D17.SOAP.00162,2023,958.041190518821,986.699822590071,0.0,0.0,128.96708333907208,0.0,132.82497611789418,0.0,0.0,47.5,,,False,FILLED,Pinus ponderosa Lawson & C. Lawson,PIPO,Pinus,Pinaceae,species,39,4.4,12.8
SOAP,SOAP_044,NEON.PLA.D17.SOAP.00164,2015,1498.56742823221,1451.73462126427,0.0,,0.0,,0.0,,0.0,46.1,,Live,False,ORIGINAL,Quercus kelloggii Newberry,QUKE,Quercus,Fagaceae,species,61,0.8,230.4
SOAP,SOAP_044,NEON.PLA.D17.SOAP.00164,2021,1498.56742823221,1451.73462126427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.1,,,False,FILLED,Quercus kelloggii Newberry,QUKE,Quercus,Fagaceae,species,61,0.8,230.4
SOAP,SOAP_059,NEON.PLA.D17.SOAP.00168,2015,0.0,0.0,0.0,,91.74330659619704,,94.10653183013305,,0.0,41.3,,Standing dead,True,ORIGINAL,Pinus ponderosa Lawson & C. Lawson,PIPO,Pinus,Pinaceae,species,39,5.0,58.5
SOAP,SOAP_059,NEON.PLA.D17.SOAP.00168,2021,681.521706143178,699.077093595274,0.0,113.586951023863,91.74330659619704,116.51284893254568,94.10653183013305,0.0,0.0,41.3,,,False,FILLED,Pinus ponderosa Lawson & C. Lawson,PIPO,Pinus,Pinaceae,species,39,5.0,58.5
SOAP,SOAP_059,NEON.PLA.D17.SOAP.00168,2023,681.521706143178,699.077093595274,0.0,0.0,91.74330659619704,0.0,94.10653183013305,0.0,0.0,41.3,,,False,FILLED,Pinus ponderosa Lawson & C. Lawson,PIPO,Pinus,Pinaceae,species,39,5.0,58.5
SOAP,SOAP_059,NEON.PLA.D17.SOAP.00170,2015,331.006210376846,336.634687282798,0.0,,0.0,,0.0,,0.0,30.7,,Live,False,ORIGINAL,Pinus ponderosa Lawson & C. Lawson,PIPO,Pinus,Pinaceae,species,39,7.4,59.8
SOAP,SOAP_059,NEON.PLA.D17.SOAP.00170,2021,331.006210376846,336.634687282798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.7,,,False,FILLED,Pinus ponderosa Lawson & C. Lawson,PIPO,Pinus,Pinaceae,species,39,7.4,59.8
SOAP,SOAP_059,NEON.PLA.D17.SOAP.00170,2023,331.006210376846,336.634687282798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.7,,,False,FILLED,Pinus ponderosa Lawson & C. Lawson,PIPO,Pinus,Pinaceae,species,39,7.4,59.8
SOAP,SOAP_044,NEON.PLA.D17.SOAP.00171,2015,87.4515700269533,66.0043512202345,0.0,,0.0,,0.0,,0.0,17.8,,Live,False,ORIGINAL,Calocedrus decurrens (Torr.) Florin,CADE27,Calocedrus,Cupressaceae,species,61,1.1,252.6
SOAP,SOAP_044,NEON.PLA.D17.SOAP.00171,2021,87.4515700269533,66.0043512202345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.8,,,False,FILLED,Calocedrus decurrens (Torr.) Florin,CADE27,Calocedrus,Cupressaceae,species,61,1.1,252.6
SOAP,SOAP_059,NEON.PLA.D17.SOAP.00172,2015,948.248803251219,976.495425821996,0.0,,-7.45655600258138e-28,,0.0,,0.0,47.3,,Live,False,ORIGINAL,Pinus ponderosa Lawson & C. Lawson,PIPO,Pinus,Pinaceae,species,39,9.2,58.7
SOAP,SOAP_059,NEON.PLA.D17.SOAP.00172,2021,948.248803251219,976.495425821996,0.0,0.0,-7.45655600258138e-28,0.0,0.0,0.0,0.0,47.3,,,False,FILLED,Pinus ponderosa Lawson & C. Lawson,PIPO,Pinus,Pinaceae,species,39,9.2,58.7
SOAP,SOAP_059,NEON.PLA.D17.SOAP.00172,2023,948.248803251219,976.495425821996,0.0,0.0,-7.45655600258138e-28,0.0,0.0,0.0,0.0,47.3,,,False,FILLED,Pinus ponderosa Lawson & C. Lawson,PIPO,Pinus,Pinaceae,species,39,9.2,58.7
SOAP,SOAP_059,NEON.PLA.D17.SOAP.00174,2015,1133.67883803647,1169.9265769259,0.0,,0.0,,0.0,,0.0,50.9,,Live,False,ORIGINAL,Pinus ponderosa Lawson & C. Lawson,PIPO,Pinus,Pinaceae,species,39,8.9,76.5
SOAP,SOAP_059,NEON.PLA.D17.SOAP.00174,2021,1133.67883803647,1169.9265769259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.9,,,False,FILLED,Pinus ponderosa Lawson & C. Lawson,PIPO,Pinus,Pinaceae,species,39,8.9,76.5
SOAP,SOAP_059,NEON.PLA.D17.SOAP.00174,2023,1133.67883803647,1169.9265769259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.9,,,False,FILLED,Pinus ponderosa Lawson & C. Lawson,PIPO,Pinus,Pinaceae,species,39,8.9,76.5
SOAP,SOAP_059,NEON.PLA.D17.SOAP.00177,2015,626.630912529444,642.132062146976,0.0,,0.0,,0.0,,0.0,39.9,,Live,False,ORIGINAL,Pinus ponderosa Lawson & C. Lawson,PIPO,Pinus,Pinaceae,species,39,6.7,82.1
SOAP,SOAP_059,NEON.PLA.D17.SOAP.00177,2021,626.630912529444,642.132062146976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.9,,,False,FILLED,Pinus ponderosa Lawson & C. Lawson,PIPO,Pinus,Pinaceae,species,39,6.7,82.1
SOAP,SOAP_059,NEON.PLA.D17.SOAP.00177,2023,626.630912529444,642.132062146976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.9,,,False,FILLED,Pinus ponderosa Lawson & C. Lawson,PIPO,Pinus,Pinaceae,species,39,6.7,82.1
SOAP,SOAP_059,NEON.PLA.D17.SOAP.00180,2015,987.774836059017,1017.69203120609,0.0,,0.0,,-7.45655600258138e-28,,0.0,48.1,,Live,False,ORIGINAL,Pinus ponderosa Lawson & C. Lawson,PIPO,Pinus,Pinaceae,species,57,8.0,171.1
SOAP,SOAP_059,NEON.PLA.D17.SOAP.00180,2021,987.774836059017,1017.69203120609,0.0,0.0,0.0,0.0,-7.45655600258138e-28,0.0,0.0,48.1,,,False,FILLED,Pinus ponderosa Lawson & C. Lawson,PIPO,Pinus,Pinaceae,species,57,8.0,171.1
SOAP,SOAP_059,NEON.PLA.D17.SOAP.00180,2023,987.774836059017,1017.69203120609,0.0,0.0,0.0,0.0,-7.45655600258138e-28,0.0,0.0,48.1,,,False,FILLED,Pinus ponderosa Lawson & C. Lawson,PIPO,Pinus,Pinaceae,species,57,8.0,171.1
