siteID,plotID,individualID,scientificName,taxonID,status,reason
SOAP,SOAP_046,NEON.PLA.D17.SOAP.02665A,Quercus chrysolepis Liebm.,QUCH2,UNMEASURED,Never measured in survey campaigns
SOAP,SOAP_005,NEON.PLA.D17.SOAP.08292,Quercus chrysolepis Liebm.,QUCH2,UNMEASURED,Never measured in survey campaigns
SOAP,SOAP_007,NEON.PLA.D17.SOAP.05486Z,Chamaebatia foliolosa Benth.,CHFO,UNMEASURED,Never measured in survey campaigns
SOAP,SOAP_007,NEON.PLA.D17.SOAP.05488Z,Calocedrus decurrens (Torr.) Florin,CADE27,UNMEASURED,Never measured in survey campaigns
SOAP,SOAP_031,NEON.PLA.D17.SOAP.05453Z,Pinus lambertiana Douglas,PILA,UNMEASURED,Never measured in survey campaigns
SOAP,SOAP_050,NEON.PLA.D17.SOAP.05452Z,Quercus chrysolepis Liebm.,QUCH2,UNMEASURED,Never measured in survey campaigns
SOAP,SOAP_045,NEON.PLA.D17.SOAP.05464Z,Cercocarpus montanus Raf. var. glaber (S. Watson) F.L. Martin,CEMOG,UNMEASURED,Never measured in survey campaigns
SOAP,SOAP_045,NEON.PLA.D17.SOAP.03895,Arctostaphylos viscida Parry ssp. mariposa (Dudley) P.V. Wells,ARVIM,UNMEASURED,Never measured in survey campaigns
SOAP,SOAP_045,NEON.PLA.D17.SOAP.08355,Pinus sp.,PINUS,UNMEASURED,Never measured in survey campaigns
SOAP,SOAP_044,NEON.PLA.D17.SOAP.08298,Arctostaphylos viscida Parry ssp. mariposa (Dudley) P.V. Wells,ARVIM,UNMEASURED,Never measured in survey campaigns
SOAP,SOAP_050,NEON.PLA.D17.SOAP.02732A,Quercus chrysolepis Liebm.,QUCH2,UNMEASURED,Never measured in survey campaigns
SOAP,SOAP_045,NEON.PLA.D17.SOAP.03904F,Arctostaphylos viscida Parry ssp. mariposa (Dudley) P.V. Wells,ARVIM,UNMEASURED,Never measured in survey campaigns
SOAP,SOAP_005,NEON.PLA.D17.SOAP.08293,Quercus kelloggii Newberry,QUKE,UNMEASURED,Never measured in survey campaigns
SOAP,SOAP_020,NEON.PLA.D17.SOAP.04503,Ceanothus integerrimus Hook. & Arn.,CEIN3,UNMEASURED,Never measured in survey campaigns
SOAP,SOAP_007,NEON.PLA.D17.SOAP.05487,Ceanothus integerrimus Hook. & Arn.,CEIN3,UNMEASURED,Never measured in survey campaigns
