siteID,plotID,individualID,year,AGBJenkins,AGBChojnacky,AGBAnnighofer,growth_AGBJenkins,growth_cumu_AGBJenkins,growth_AGBChojnacky,growth_cumu_AGBChojnacky,growth_AGBAnnighofer,growth_cumu_AGBAnnighofer,stemDiameter,height,plantStatus,corrected_is_dead,gapFilling,scientificName,taxonID,genus,family,taxonRank,pointID,stemDistance,stemAzimuth
SRER,SRER_042,NEON.PLA.D14.SRER.00200,2016,80.453379507352,96.6079479262765,0.0,,-10.79646550719582,,-13.004924038411334,,0.0,10.6,5.5,Live,False,ORIGINAL,Prosopis velutina Woot.,PRVE,Prosopis,Fabaceae,species,57,8.9,121.1
SRER,SRER_042,NEON.PLA.D14.SRER.00200,2021,26.471051971372884,31.583327734219825,0.0,-10.796465507195823,-10.79646550719582,-13.004924038411335,-13.004924038411334,0.0,0.0,10.3,,,False,FILLED,Prosopis velutina Woot.,PRVE,Prosopis,Fabaceae,species,57,8.9,121.1
SRER,SRER_054,NEON.PLA.D14.SRER.00448,2016,40.1050946788077,58.73262569342,0.0,,-8.02101893576154,,-11.746525138684,,0.0,13.3,7.1,Live,False,ORIGINAL,Prosopis velutina Woot.,PRVE,Prosopis,Fabaceae,species,41,8.9,46.8
SRER,SRER_054,NEON.PLA.D14.SRER.00448,2021,0.0,0.0,0.0,-8.021018935761541,-8.02101893576154,-11.746525138684,-11.746525138684,0.0,0.0,13.3,,No longer qualifies,True,ORIGINAL,Prosopis velutina Woot.,PRVE,Prosopis,Fabaceae,species,41,8.9,46.8
SRER,SRER_054,NEON.PLA.D14.SRER.00448E,2016,11.8806349562004,9.54209988326001,0.0,,0.0,,0.0,,0.0,10.0,3.1,Live,False,ORIGINAL,Prosopis velutina Woot.,PRVE,Prosopis,Fabaceae,species,,,
SRER,SRER_054,NEON.PLA.D14.SRER.00448E,2021,11.8806349562004,9.54209988326001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,,,False,FILLED,Prosopis velutina Woot.,PRVE,Prosopis,Fabaceae,species,,,
SRER,SRER_054,NEON.PLA.D14.SRER.00448F,2016,28.1326018445679,34.582628910662,0.0,,0.0,,0.0,,0.0,10.8,3.1,Live,False,ORIGINAL,Prosopis velutina Woot.,PRVE,Prosopis,Fabaceae,species,,,
SRER,SRER_054,NEON.PLA.D14.SRER.00448F,2021,28.1326018445679,34.582628910662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.8,,,False,FILLED,Prosopis velutina Woot.,PRVE,Prosopis,Fabaceae,species,,,
SRER,SRER_058,NEON.PLA.D14.SRER.00583,2016,5.7049232618193,3.18971340517766,0.0,,-1.14098465236386,,-0.637942681035532,,0.0,12.5,2.4,"Live,  other damage",False,ORIGINAL,Prosopis velutina Woot.,PRVE,Prosopis,Fabaceae,species,61,8.2,204.6
SRER,SRER_058,NEON.PLA.D14.SRER.00583,2021,0.0,0.0,0.0,-1.14098465236386,-1.14098465236386,-0.637942681035532,-0.637942681035532,0.0,0.0,12.5,,No longer qualifies,True,ORIGINAL,Prosopis velutina Woot.,PRVE,Prosopis,Fabaceae,species,61,8.2,204.6
