siteID,plotID,individualID,scientificName,taxonID,status,reason
SRER,SRER_009,NEON.PLA.D14.SRER.04080,Cylindropuntia spinosior (Engelm.) F.M. Knuth,CYSP8,UNMEASURED,Never measured in survey campaigns
SRER,SRER_051,NEON.PLA.D14.SRER.00833,Mammillaria grahamii Engelm.,MAGR9,UNMEASURED,Never measured in survey campaigns
SRER,SRER_049,NEON.PLA.D14.SRER.01009,Opuntia engelmannii Salm-Dyck ex Engelm.,OPEN3,UNMEASURED,Never measured in survey campaigns
SRER,SRER_048,NEON.PLA.D14.SRER.00330,Cylindropuntia leptocaulis (DC.) F.M. Knuth,CYLE8,UNMEASURED,Never measured in survey campaigns
SRER,SRER_005,NEON.PLA.D14.SRER.02450,Opuntia engelmannii Salm-Dyck ex Engelm.,OPEN3,UNMEASURED,Never measured in survey campaigns
SRER,SRER_055,NEON.PLA.D14.SRER.00937,Cylindropuntia spinosior (Engelm.) F.M. Knuth,CYSP8,UNMEASURED,Never measured in survey campaigns
SRER,SRER_052,NEON.PLA.D14.SRER.01077,Ferocactus wislizeni (Engelm.) Britton & Rose,FEWI,UNMEASURED,Never measured in survey campaigns
SRER,SRER_012,NEON.PLA.D14.SRER.04550,Cylindropuntia fulgida (Engelm.) F.M. Knuth,CYFU10,UNMEASURED,Never measured in survey campaigns
SRER,SRER_058,NEON.PLA.D14.SRER.00473,Cylindropuntia leptocaulis (DC.) F.M. Knuth,CYLE8,UNMEASURED,Never measured in survey campaigns
SRER,SRER_053,NEON.PLA.D14.SRER.00662,Cylindropuntia leptocaulis (DC.) F.M. Knuth,CYLE8,UNMEASURED,Never measured in survey campaigns
SRER,SRER_053,NEON.PLA.D14.SRER.00698,Opuntia engelmannii Salm-Dyck ex Engelm.,OPEN3,UNMEASURED,Never measured in survey campaigns
SRER,SRER_051,NEON.PLA.D14.SRER.01649,Cylindropuntia leptocaulis (DC.) F.M. Knuth,CYLE8,UNMEASURED,Never measured in survey campaigns
SRER,SRER_059,NEON.PLA.D14.SRER.00769,Opuntia engelmannii Salm-Dyck ex Engelm.,OPEN3,UNMEASURED,Never measured in survey campaigns
SRER,SRER_005,NEON.PLA.D14.SRER.02464,Opuntia engelmannii Salm-Dyck ex Engelm.,OPEN3,UNMEASURED,Never measured in survey campaigns
SRER,SRER_053,NEON.PLA.D14.SRER.00649,Opuntia engelmannii Salm-Dyck ex Engelm.,OPEN3,UNMEASURED,Never measured in survey campaigns
SRER,SRER_050,NEON.PLA.D14.SRER.01492,Cylindropuntia spinosior (Engelm.) F.M. Knuth,CYSP8,UNMEASURED,Never measured in survey campaigns
SRER,SRER_005,NEON.PLA.D14.SRER.02453,Opuntia engelmannii Salm-Dyck ex Engelm.,OPEN3,UNMEASURED,Never measured in survey campaigns
SRER,SRER_042,NEON.PLA.D14.SRER.01833,Cylindropuntia leptocaulis (DC.) F.M. Knuth,CYLE8,UNMEASURED,Never measured in survey campaigns
