siteID,plotID,individualID,scientificName,taxonID,status,reason
STEI,STEI_005,NEON.PLA.D05.STEI.03063,Fraxinus pennsylvanica Marshall,FRPE,UNMEASURED,Never measured in survey campaigns
STEI,STEI_021,NEON.PLA.D05.STEI.03739,Alnus incana (L.) Moench ssp. rugosa (Du Roi) R.T. Clausen,ALINR,UNMEASURED,Never measured in survey campaigns
STEI,STEI_001,NEON.PLA.D05.STEI.03188,Fraxinus americana L.,FRAM2,UNMEASURED,Never measured in survey campaigns
STEI,STEI_050,NEON.PLA.D05.STEI.05623,Populus tremuloides Michx.,POTR5,UNMEASURED,Never measured in survey campaigns
STEI,STEI_017,NEON.PLA.D05.STEI.03417,Acer saccharum Marshall,ACSA3,UNMEASURED,Never measured in survey campaigns
STEI,STEI_047,NEON.PLA.D05.STEI.00711,Ostrya virginiana (Mill.) K. Koch,OSVI,UNMEASURED,Never measured in survey campaigns
STEI,STEI_014,NEON.PLA.D05.STEI.03933,Tilia americana L.,TIAM,UNMEASURED,Never measured in survey campaigns
STEI,STEI_022,NEON.PLA.D05.STEI.09855,Thuja occidentalis L.,THOC2,UNMEASURED,Never measured in survey campaigns
STEI,STEI_021,NEON.PLA.D05.STEI.03926,Alnus incana (L.) Moench ssp. rugosa (Du Roi) R.T. Clausen,ALINR,UNMEASURED,Never measured in survey campaigns
STEI,STEI_001,NEON.PLA.D05.STEI.03179,Fraxinus pennsylvanica Marshall,FRPE,UNMEASURED,Never measured in survey campaigns
STEI,STEI_011,NEON.PLA.D05.STEI.05008,Fraxinus pennsylvanica Marshall,FRPE,UNMEASURED,Never measured in survey campaigns
STEI,STEI_001,NEON.PLA.D05.STEI.05272,Fraxinus pennsylvanica Marshall,FRPE,UNMEASURED,Never measured in survey campaigns
STEI,STEI_052,NEON.PLA.D05.STEI.04176,Abies balsamea (L.) Mill.,ABBA,UNMEASURED,Never measured in survey campaigns
STEI,STEI_006,NEON.PLA.D05.STEI.03643,Fraxinus nigra Marshall,FRNI,UNMEASURED,Never measured in survey campaigns
STEI,STEI_013,NEON.PLA.D05.STEI.05220,Fraxinus pennsylvanica Marshall,FRPE,UNMEASURED,Never measured in survey campaigns
STEI,STEI_015,NEON.PLA.D05.STEI.03200,Ostrya virginiana (Mill.) K. Koch,OSVI,UNMEASURED,Never measured in survey campaigns
STEI,STEI_021,NEON.PLA.D05.STEI.03913,Cornus sericea L.,COSE16,UNMEASURED,Never measured in survey campaigns
STEI,STEI_015,NEON.PLA.D05.STEI.03191,Fraxinus pennsylvanica Marshall,FRPE,UNMEASURED,Never measured in survey campaigns
STEI,STEI_022,NEON.PLA.D05.STEI.05022,Alnus incana (L.) Moench ssp. rugosa (Du Roi) R.T. Clausen,ALINR,UNMEASURED,Never measured in survey campaigns
STEI,STEI_010,NEON.PLA.D05.STEI.02151,Unknown plant,2PLANT,UNMEASURED,Never measured in survey campaigns
STEI,STEI_008,NEON.PLA.D05.STEI.05397,Acer saccharum Marshall,ACSA3,UNMEASURED,Never measured in survey campaigns
STEI,STEI_010,NEON.PLA.D05.STEI.02119,Acer saccharum Marshall,ACSA3,UNMEASURED,Never measured in survey campaigns
STEI,STEI_021,NEON.PLA.D05.STEI.03914,Alnus incana (L.) Moench ssp. rugosa (Du Roi) R.T. Clausen,ALINR,UNMEASURED,Never measured in survey campaigns
STEI,STEI_008,NEON.PLA.D05.STEI.03030,Acer rubrum L.,ACRU,UNMEASURED,Never measured in survey campaigns
STEI,STEI_004,NEON.PLA.D05.STEI.05464,Fraxinus pennsylvanica Marshall,FRPE,UNMEASURED,Never measured in survey campaigns
STEI,STEI_013,NEON.PLA.D05.STEI.05242,Fraxinus pennsylvanica Marshall,FRPE,UNMEASURED,Never measured in survey campaigns
STEI,STEI_013,NEON.PLA.D05.STEI.05239,Fraxinus pennsylvanica Marshall,FRPE,UNMEASURED,Never measured in survey campaigns
STEI,STEI_014,NEON.PLA.D05.STEI.03932,Fraxinus pennsylvanica Marshall,FRPE,UNMEASURED,Never measured in survey campaigns
STEI,STEI_010,NEON.PLA.D05.STEI.02130,Acer saccharum Marshall,ACSA3,UNMEASURED,Never measured in survey campaigns
STEI,STEI_022,NEON.PLA.D05.STEI.05125,Alnus incana (L.) Moench ssp. rugosa (Du Roi) R.T. Clausen,ALINR,UNMEASURED,Never measured in survey campaigns
STEI,STEI_023,NEON.PLA.D05.STEI.09854,Acer rubrum L.,ACRU,UNMEASURED,Never measured in survey campaigns
STEI,STEI_003,NEON.PLA.D05.STEI.03885,Ostrya virginiana (Mill.) K. Koch,OSVI,UNMEASURED,Never measured in survey campaigns
STEI,STEI_014,NEON.PLA.D05.STEI.03782A,Acer saccharum Marshall,ACSA3,UNMEASURED,Never measured in survey campaigns
STEI,STEI_003,NEON.PLA.D05.STEI.03879,Ostrya virginiana (Mill.) K. Koch,OSVI,UNMEASURED,Never measured in survey campaigns
STEI,STEI_021,NEON.PLA.D05.STEI.03731,Alnus incana (L.) Moench ssp. rugosa (Du Roi) R.T. Clausen,ALINR,UNMEASURED,Never measured in survey campaigns
STEI,STEI_010,NEON.PLA.D05.STEI.01550,Quercus rubra L.,QURU,UNMEASURED,Never measured in survey campaigns
STEI,STEI_022,NEON.PLA.D05.STEI.05017,Acer rubrum L.,ACRU,UNMEASURED,Never measured in survey campaigns
STEI,STEI_004,NEON.PLA.D05.STEI.05462,Fraxinus pennsylvanica Marshall,FRPE,UNMEASURED,Never measured in survey campaigns
STEI,STEI_021,NEON.PLA.D05.STEI.03737,Cornus sericea L.,COSE16,UNMEASURED,Never measured in survey campaigns
STEI,STEI_013,NEON.PLA.D05.STEI.05238,Fraxinus pennsylvanica Marshall,FRPE,UNMEASURED,Never measured in survey campaigns
STEI,STEI_022,NEON.PLA.D05.STEI.05118,Alnus incana (L.) Moench ssp. rugosa (Du Roi) R.T. Clausen,ALINR,UNMEASURED,Never measured in survey campaigns
STEI,STEI_015,NEON.PLA.D05.STEI.03127,Ostrya virginiana (Mill.) K. Koch,OSVI,UNMEASURED,Never measured in survey campaigns
STEI,STEI_022,NEON.PLA.D05.STEI.05049,Cornus sericea L.,COSE16,UNMEASURED,Never measured in survey campaigns
STEI,STEI_022,NEON.PLA.D05.STEI.05032,Cornus sericea L.,COSE16,UNMEASURED,Never measured in survey campaigns
STEI,STEI_021,NEON.PLA.D05.STEI.03919,Unknown plant,2PLANT,UNMEASURED,Never measured in survey campaigns
STEI,STEI_021,NEON.PLA.D05.STEI.03697,Alnus incana (L.) Moench ssp. rugosa (Du Roi) R.T. Clausen,ALINR,UNMEASURED,Never measured in survey campaigns
STEI,STEI_021,NEON.PLA.D05.STEI.03918,Alnus incana (L.) Moench ssp. rugosa (Du Roi) R.T. Clausen,ALINR,UNMEASURED,Never measured in survey campaigns
STEI,STEI_006,NEON.PLA.D05.STEI.03614,Fraxinus americana L.,FRAM2,UNMEASURED,Never measured in survey campaigns
STEI,STEI_016,NEON.PLA.D05.STEI.02158,Acer saccharum Marshall,ACSA3,UNMEASURED,Never measured in survey campaigns
STEI,STEI_021,NEON.PLA.D05.STEI.03659,Alnus incana (L.) Moench ssp. rugosa (Du Roi) R.T. Clausen,ALINR,UNMEASURED,Never measured in survey campaigns
STEI,STEI_014,NEON.PLA.D05.STEI.03797,Unknown plant,2PLANT,UNMEASURED,Never measured in survey campaigns
STEI,STEI_013,NEON.PLA.D05.STEI.05240,Prunus serotina Ehrh.,PRSE2,UNMEASURED,Never measured in survey campaigns
STEI,STEI_014,NEON.PLA.D05.STEI.03960,Acer saccharum Marshall,ACSA3,UNMEASURED,Never measured in survey campaigns
STEI,STEI_058,NEON.PLA.D05.STEI.03228,Populus tremuloides Michx.,POTR5,UNMEASURED,Never measured in survey campaigns
STEI,STEI_021,NEON.PLA.D05.STEI.03660,Alnus incana (L.) Moench ssp. rugosa (Du Roi) R.T. Clausen,ALINR,UNMEASURED,Never measured in survey campaigns
STEI,STEI_013,NEON.PLA.D05.STEI.05234,Fraxinus pennsylvanica Marshall,FRPE,UNMEASURED,Never measured in survey campaigns
STEI,STEI_021,NEON.PLA.D05.STEI.03755,Ilex verticillata (L.) A. Gray,ILVE,UNMEASURED,Never measured in survey campaigns
STEI,STEI_021,NEON.PLA.D05.STEI.03745,Alnus incana (L.) Moench ssp. rugosa (Du Roi) R.T. Clausen,ALINR,UNMEASURED,Never measured in survey campaigns
STEI,STEI_058,NEON.PLA.D05.STEI.08048,Populus tremuloides Michx.,POTR5,UNMEASURED,Never measured in survey campaigns
STEI,STEI_022,NEON.PLA.D05.STEI.05144,Abies balsamea (L.) Mill.,ABBA,UNMEASURED,Never measured in survey campaigns
STEI,STEI_010,NEON.PLA.D05.STEI.01842,Unknown plant,2PLANT,UNMEASURED,Never measured in survey campaigns
STEI,STEI_014,NEON.PLA.D05.STEI.03996,Fraxinus pennsylvanica Marshall,FRPE,UNMEASURED,Never measured in survey campaigns
STEI,STEI_016,NEON.PLA.D05.STEI.02077,Unknown plant,2PLANT,UNMEASURED,Never measured in survey campaigns
STEI,STEI_010,NEON.PLA.D05.STEI.02193,Corylus cornuta Marshall,COCO6,UNMEASURED,Never measured in survey campaigns
STEI,STEI_013,NEON.PLA.D05.STEI.05245,Fraxinus pennsylvanica Marshall,FRPE,UNMEASURED,Never measured in survey campaigns
STEI,STEI_021,NEON.PLA.D05.STEI.03924,Alnus incana (L.) Moench ssp. rugosa (Du Roi) R.T. Clausen,ALINR,UNMEASURED,Never measured in survey campaigns
STEI,STEI_022,NEON.PLA.D05.STEI.05123,Cornus sericea L.,COSE16,UNMEASURED,Never measured in survey campaigns
STEI,STEI_001,NEON.PLA.D05.STEI.05262,Fraxinus pennsylvanica Marshall,FRPE,UNMEASURED,Never measured in survey campaigns
