siteID,plotID,individualID,scientificName,taxonID,status,reason
TEAK,TEAK_056,NEON.PLA.D17.TEAK.05797,Pinus jeffreyi Balf.,PIJE,UNMEASURED,Never measured in survey campaigns
TEAK,TEAK_011,NEON.PLA.D17.TEAK.05572,Abies concolor (Gord. & Glend.) Lindl. ex Hildebr.,ABCO,UNMEASURED,Never measured in survey campaigns
TEAK,TEAK_014,NEON.PLA.D17.TEAK.05590,Ceanothus cordulatus Kellogg,CECO,UNMEASURED,Never measured in survey campaigns
TEAK,TEAK_061,NEON.PLA.D17.TEAK.00639A,Pinus contorta Douglas ex Loudon,PICO,UNMEASURED,Never measured in survey campaigns
TEAK,TEAK_058,NEON.PLA.D17.TEAK.02182A,Abies lowiana (Gordon & Glend.) A. Murray bis,ABLO,UNMEASURED,Never measured in survey campaigns
TEAK,TEAK_046,NEON.PLA.D17.TEAK.09097,Abies concolor (Gord. & Glend.) Lindl. ex Hildebr.,ABCO,UNMEASURED,Never measured in survey campaigns
TEAK,TEAK_060,NEON.PLA.D17.TEAK.01200,Pinus contorta Douglas ex Loudon,PICO,UNMEASURED,Never measured in survey campaigns
TEAK,TEAK_014,NEON.PLA.D17.TEAK.05578,Ribes cereum Douglas,RICE,UNMEASURED,Never measured in survey campaigns
TEAK,TEAK_014,NEON.PLA.D17.TEAK.05570,Ribes roezlii Regel,RIRO,UNMEASURED,Never measured in survey campaigns
TEAK,TEAK_010,NEON.PLA.D17.TEAK.05799,Prunus emarginata (Douglas ex Hook.) D. Dietr.,PREM,UNMEASURED,Never measured in survey campaigns
TEAK,TEAK_056,NEON.PLA.D17.TEAK.05793,Ceanothus cordulatus Kellogg,CECO,UNMEASURED,Never measured in survey campaigns
TEAK,TEAK_014,NEON.PLA.D17.TEAK.05568,Abies magnifica A. Murray bis,ABMA,UNMEASURED,Never measured in survey campaigns
TEAK,TEAK_051,NEON.PLA.D17.TEAK.01917A,Pinus contorta Douglas ex Loudon,PICO,UNMEASURED,Never measured in survey campaigns
TEAK,TEAK_046,NEON.PLA.D17.TEAK.05964,Abies concolor (Gord. & Glend.) Lindl. ex Hildebr.,ABCO,UNMEASURED,Never measured in survey campaigns
TEAK,TEAK_053,NEON.PLA.D17.TEAK.01686A,Pinus contorta Douglas ex Loudon,PICO,UNMEASURED,Never measured in survey campaigns
