siteID,plotID,individualID,year,AGBJenkins,AGBChojnacky,AGBAnnighofer,growth_AGBJenkins,growth_cumu_AGBJenkins,growth_AGBChojnacky,growth_cumu_AGBChojnacky,growth_AGBAnnighofer,growth_cumu_AGBAnnighofer,stemDiameter,height,plantStatus,corrected_is_dead,gapFilling,scientificName,taxonID,genus,family,taxonRank,pointID,stemDistance,stemAzimuth
TREE,TREE_056,NEON.PLA.D05.TREE.00001,2015,27.4366404784122,31.6499098154163,0.0,,4.514308646910264,,4.8141323822026685,,0.0,10.3,6.3,Live,False,ORIGINAL,Fraxinus pennsylvanica Marshall,FRPE,Fraxinus,Oleaceae,species,41,9.7,205.2
TREE,TREE_056,NEON.PLA.D05.TREE.00001,2016,33.7817889358751,38.5438121448212,0.0,6.345148457462898,4.514308646910264,6.893902329404902,4.8141323822026685,0.0,0.0,11.2,12.4,Live,False,ORIGINAL,Fraxinus pennsylvanica Marshall,FRPE,Fraxinus,Oleaceae,species,41,9.7,205.2
TREE,TREE_056,NEON.PLA.D05.TREE.00001,2017,36.0738729508933,41.0166124358424,0.0,2.2920840150182045,4.514308646910264,2.472800291021194,4.8141323822026685,0.0,0.0,11.5,12.0,Live,False,ORIGINAL,Fraxinus pennsylvanica Marshall,FRPE,Fraxinus,Oleaceae,species,41,9.7,205.2
TREE,TREE_056,NEON.PLA.D05.TREE.00001,2018,41.7757566215683,47.1332139955116,0.0,5.701883670674995,4.514308646910264,6.116601559669206,4.8141323822026685,0.0,0.0,12.2,12.4,Live,False,ORIGINAL,Fraxinus pennsylvanica Marshall,FRPE,Fraxinus,Oleaceae,species,41,9.7,205.2
TREE,TREE_056,NEON.PLA.D05.TREE.00001,2021,54.7133823970619,60.8570809795934,0.0,4.312541925164534,4.514308646910264,4.574622328027265,4.8141323822026685,0.0,0.0,13.6,13.5,Live,False,ORIGINAL,Fraxinus pennsylvanica Marshall,FRPE,Fraxinus,Oleaceae,species,41,9.7,205.2
TREE,TREE_056,NEON.PLA.D05.TREE.00001,2022,59.8460307180024,66.2517310357447,0.0,5.132648320940504,4.514308646910264,5.394650056151299,4.8141323822026685,0.0,0.0,14.1,15.5,Live,False,ORIGINAL,Fraxinus pennsylvanica Marshall,FRPE,Fraxinus,Oleaceae,species,41,9.7,205.2
TREE,TREE_056,NEON.PLA.D05.TREE.00001,2023,64.09040381036903,70.8436999151345,0.0,4.244373092366622,4.514308646910264,4.591968879389796,4.8141323822026685,0.0,0.0,14.7,15.4,Live,False,ORIGINAL,Fraxinus pennsylvanica Marshall,FRPE,Fraxinus,Oleaceae,species,41,9.7,205.2
TREE,TREE_056,NEON.PLA.D05.TREE.00002,2015,167.01608691976435,154.93832060757813,0.0,,8.41758720769766,,7.888698492822151,,0.0,19.1,16.5,Live,False,ORIGINAL,Acer rubrum L.,ACRU,Acer,Aceraceae,species,41,8.5,224.6
TREE,TREE_056,NEON.PLA.D05.TREE.00002,2016,178.520320416773,165.722864608296,0.0,11.504233497008642,8.41758720769766,10.784544000717858,7.888698492822151,0.0,0.0,20.1,18.0,Live,False,ORIGINAL,Acer rubrum L.,ACRU,Acer,Aceraceae,species,41,8.5,224.6
TREE,TREE_056,NEON.PLA.D05.TREE.00002,2017,180.628046955711,167.696223304836,0.0,2.10772653893801,8.41758720769766,1.9733586965400036,7.888698492822151,0.0,0.0,20.2,17.4,Live,False,ORIGINAL,Acer rubrum L.,ACRU,Acer,Aceraceae,species,41,8.5,224.6
TREE,TREE_056,NEON.PLA.D05.TREE.00002,2018,191.381575860142,177.767212935356,0.0,10.753528904430993,8.41758720769766,10.070989630520017,7.888698492822151,0.0,0.0,20.7,17.9,Live,False,ORIGINAL,Acer rubrum L.,ACRU,Acer,Aceraceae,species,41,8.5,224.6
TREE,TREE_056,NEON.PLA.D05.TREE.00002,2021,218.666895058173,203.341722561826,0.0,9.095106399343669,8.41758720769766,8.524836542156663,7.888698492822151,0.0,0.0,21.9,17.6,Live,False,ORIGINAL,Acer rubrum L.,ACRU,Acer,Aceraceae,species,41,8.5,224.6
TREE,TREE_056,NEON.PLA.D05.TREE.00002,2022,225.817753254274,210.048850991198,0.0,7.150858196101012,8.41758720769766,6.7071284293720055,7.888698492822151,0.0,0.0,22.2,19.5,Live,False,ORIGINAL,Acer rubrum L.,ACRU,Acer,Aceraceae,species,41,8.5,224.6
TREE,TREE_056,NEON.PLA.D05.TREE.00002,2023,234.35678458134498,218.04790855015563,0.0,8.539031327070973,8.41758720769766,7.999057558957617,7.888698492822151,0.0,0.0,22.6,18.6,Live,False,ORIGINAL,Acer rubrum L.,ACRU,Acer,Aceraceae,species,41,8.5,224.6
TREE,TREE_049,NEON.PLA.D05.TREE.00003,2015,561.468828726528,586.52074513325,0.0,,7.007305037303978,,7.166566693900336,,0.0,30.8,17.5,Live,False,ORIGINAL,Acer saccharum Marshall,ACSA3,Acer,Aceraceae,species,43,10.8,239.3
TREE,TREE_049,NEON.PLA.D05.TREE.00003,2016,565.916591701159,591.073071289533,0.0,4.447762974630905,7.007305037303978,4.552326156283016,7.166566693900336,0.0,0.0,30.9,20.6,Live,False,ORIGINAL,Acer saccharum Marshall,ACSA3,Acer,Aceraceae,species,43,10.8,239.3
TREE,TREE_049,NEON.PLA.D05.TREE.00003,2017,570.385046622497,595.645850652581,0.0,4.468454921338093,7.007305037303978,4.572779363047971,7.166566693900336,0.0,0.0,31.0,22.9,Live,False,ORIGINAL,Acer saccharum Marshall,ACSA3,Acer,Aceraceae,species,43,10.8,239.3
TREE,TREE_049,NEON.PLA.D05.TREE.00003,2018,574.874222539862,600.239108694105,0.0,4.489175917364946,7.007305037303978,4.593258041523995,7.166566693900336,0.0,0.0,31.1,22.5,Live,False,ORIGINAL,Acer saccharum Marshall,ACSA3,Acer,Aceraceae,species,43,10.8,239.3
TREE,TREE_049,NEON.PLA.D05.TREE.00003,2021,597.631930100211,623.513467070818,0.0,7.58590252011633,7.007305037303978,7.758119458904351,7.166566693900336,0.0,0.0,31.6,20.9,Live,False,ORIGINAL,Acer saccharum Marshall,ACSA3,Acer,Aceraceae,species,43,10.8,239.3
TREE,TREE_049,NEON.PLA.D05.TREE.00003,2022,611.537054295855,637.725445523162,0.0,13.90512419564402,7.007305037303978,14.211978452343942,7.166566693900336,0.0,0.0,31.9,23.8,Live,False,ORIGINAL,Acer saccharum Marshall,ACSA3,Acer,Aceraceae,species,43,10.8,239.3
TREE,TREE_049,NEON.PLA.D05.TREE.00003,2023,614.1709200113219,640.424687081093,0.0,2.633865715466868,7.007305037303978,2.699241557931032,7.166566693900336,0.0,0.0,32.2,22.7,Live,False,ORIGINAL,Acer saccharum Marshall,ACSA3,Acer,Aceraceae,species,43,10.8,239.3
TREE,TREE_051,NEON.PLA.D05.TREE.00004,2016,26.7798543996179,30.9318028544107,0.0,,2.310929750488335,,2.5345893604481557,,0.0,10.2,12.8,Live,False,ORIGINAL,Fraxinus pennsylvanica Marshall,FRPE,Fraxinus,Oleaceae,species,39,7.5,39.0
TREE,TREE_051,NEON.PLA.D05.TREE.00004,2017,27.4366404784122,31.6499098154163,0.0,0.6567860787943012,2.310929750488335,0.7181069610055992,2.5345893604481557,0.0,0.0,10.3,12.8,Live,False,ORIGINAL,Fraxinus pennsylvanica Marshall,FRPE,Fraxinus,Oleaceae,species,39,7.5,39.0
TREE,TREE_051,NEON.PLA.D05.TREE.00004,2018,29.4643456923515,33.8613061924714,0.0,2.0277052139392993,2.310929750488335,2.2113963770551024,2.5345893604481557,0.0,0.0,10.6,13.5,Live,False,ORIGINAL,Fraxinus pennsylvanica Marshall,FRPE,Fraxinus,Oleaceae,species,39,7.5,39.0
TREE,TREE_051,NEON.PLA.D05.TREE.00004,2021,37.78312192816156,42.99925552350396,0.0,2.7729254119366877,2.310929750488335,3.0459831103441863,2.5345893604481557,0.0,0.0,10.6,,,False,FILLED,Fraxinus pennsylvanica Marshall,FRPE,Fraxinus,Oleaceae,species,39,7.5,39.0
TREE,TREE_050,NEON.PLA.D05.TREE.00007,2015,531.810302262659,543.905630357273,0.0,,24.226137302904533,,25.089786119334857,,0.0,37.3,14.1,Live,False,ORIGINAL,Pinus resinosa Aiton,PIRE,Pinus,Pinaceae,species,39,11.5,58.1
TREE,TREE_050,NEON.PLA.D05.TREE.00007,2016,545.803687279912,558.389384507886,0.0,13.99338501725299,24.226137302904533,14.483754150612981,25.089786119334857,0.0,0.0,37.7,17.8,"Live, insect damaged",False,ORIGINAL,Pinus resinosa Aiton,PIRE,Pinus,Pinaceae,species,39,11.5,58.1
TREE,TREE_050,NEON.PLA.D05.TREE.00007,2017,352.402742134906,358.661596363198,0.0,-193.40094514500595,24.226137302904533,-199.72778814468802,25.089786119334857,0.0,0.0,31.5,18.5,Live,False,ORIGINAL,Pinus resinosa Aiton,PIRE,Pinus,Pinaceae,species,39,11.5,58.1
TREE,TREE_050,NEON.PLA.D05.TREE.00007,2018,592.769873590175,607.033017251497,0.0,240.36713145526903,24.226137302904533,248.37142088829899,25.089786119334857,0.0,0.0,39.0,18.9,Live,False,ORIGINAL,Pinus resinosa Aiton,PIRE,Pinus,Pinaceae,species,39,11.5,58.1
TREE,TREE_050,NEON.PLA.D05.TREE.00007,2021,649.82310309547,666.185262525771,0.0,19.017743168431632,24.226137302904533,19.71741509142468,25.089786119334857,0.0,0.0,40.5,20.5,Live,False,ORIGINAL,Pinus resinosa Aiton,PIRE,Pinus,Pinaceae,species,39,11.5,58.1
TREE,TREE_055,NEON.PLA.D05.TREE.00009,2015,765.578572045851,719.54542424264,0.0,,11.746294671772683,,11.134745441976854,,0.0,37.2,20.3,Live,False,ORIGINAL,Acer rubrum L.,ACRU,Acer,Aceraceae,species,39,4.2,79.3
TREE,TREE_055,NEON.PLA.D05.TREE.00009,2016,736.695093372287,692.172403794735,0.0,-28.883478673564014,11.746294671772683,-27.37302044790499,11.134745441976854,0.0,0.0,36.6,18.5,Live,False,ORIGINAL,Acer rubrum L.,ACRU,Acer,Aceraceae,species,39,4.2,79.3
TREE,TREE_055,NEON.PLA.D05.TREE.00009,2017,765.578572045851,719.54542424264,0.0,28.883478673564014,11.746294671772683,27.37302044790499,11.134745441976854,0.0,0.0,37.2,22.8,Live,False,ORIGINAL,Acer rubrum L.,ACRU,Acer,Aceraceae,species,39,4.2,79.3
