siteID,plotID,year,plotArea_m2,tree_AGBJenkins,tree_AGBChojnacky,tree_AGBAnnighofer,n_trees,small_woody_AGBJenkins,small_woody_AGBChojnacky,small_woody_AGBAnnighofer,n_small_woody_total,n_small_woody_measured,n_unaccounted_trees,total_AGBJenkins,total_AGBChojnacky,total_AGBAnnighofer,growth,growth_cumu
TREE,TREE_001,2017,1600,37.30414714049693,37.45556631564847,,13,0.5786889501447272,0.4658896648509617,0.71006604050805,146,53,2,37.88283609064166,37.92145598049943,0.71006604050805,,0.00432390496047092
TREE,TREE_001,2019,1600,39.7598142482589,39.94067637784149,,13,0.7050851028541544,0.5680506094212932,0.9307838018692808,155,53,2,40.464899351113054,40.50872698726278,0.9307838018692808,1.2910316302356968,0.00432390496047092
TREE,TREE_001,2023,1600,37.62272385352228,38.67569518420393,,13,0.8007387569922921,0.6457468809183352,1.1603533615808697,140,53,2,38.42346261051458,39.32144206512227,1.1603533615808697,-0.5103591851496194,0.00432390496047092
TREE,TREE_002,2017,1600,35.146891362405,32.63922262719549,,39,0.3195853693700258,0.26400828755746114,0.6534817605010694,106,44,8,35.466476731775025,32.903230914752946,0.6534817605010694,,-1.674146359260607
TREE,TREE_002,2019,1600,32.54875451001762,30.219840607323,,38,0.33505966429957224,0.27929543568150506,0.6314490650067948,97,44,8,32.883814174317195,30.499136043004505,0.6314490650067948,-1.291331278728915,-1.674146359260607
TREE,TREE_002,2023,1600,25.11111956659618,23.344753918874673,,38,0.46360504182788037,0.39126847513919044,0.773388859072739,107,44,8,25.57472460842406,23.736022394013865,0.773388859072739,-1.8272723914732838,-1.674146359260607
TREE,TREE_003,2017,1600,53.144003450995804,51.076134372263304,,19,0.04006529013740136,0.03746792844615431,0.03405273400793889,14,3,0,53.1840687411332,51.11360230070946,0.03405273400793889,,1.3157289081684753
TREE,TREE_003,2019,1600,52.970173110241355,51.03301442699512,,18,0.042927096575787166,0.04014420904945104,0.036485072151363096,15,3,0,53.01310020681714,51.073158636044575,0.036485072151363096,-0.08548426715803004,1.3157289081684753
TREE,TREE_003,2023,1600,60.46644440412251,58.30661290393175,,18,0.0515125158909446,0.048173050859341246,0.04378208658163572,18,3,0,60.517956920013454,58.35478595479109,0.04378208658163572,1.8762141782990778,1.3157289081684753
TREE,TREE_004,2017,1600,30.24997335364457,20.379300827104856,,34,0.7980314758880961,0.5929475837720372,2.7474417326276246,115,18,6,31.048004829532665,20.972248410876894,2.7474417326276246,,-0.8347904770123677
TREE,TREE_004,2019,1600,26.393091713186347,18.27697668035769,,26,1.0094476172591964,0.7424356533450367,2.211646840551697,101,16,6,27.402539330445542,19.01941233370273,2.211646840551697,-1.8227327495435617,-0.8347904770123677
TREE,TREE_004,2023,1600,24.154350928059692,17.597689106207227,,26,1.48973413038629,1.0896448717907394,2.3868267883181686,109,16,6,25.64408505844598,18.687333977997966,2.3868267883181686,-0.43961356799989026,-0.8347904770123677
TREE,TREE_005,2017,1600,15.295795629408111,15.472995958085756,,3,0.33583244734994433,0.2870522208507902,,75,2,1,15.631628076758055,15.760048178936547,0.0,,-0.4161889595131568
TREE,TREE_005,2019,1600,14.122302551281626,14.416832814595002,,3,0.3408771540646786,0.2926526973683169,,83,2,1,14.463179705346304,14.709485511963319,0.0,-0.5842241857058754,-0.4161889595131568
TREE,TREE_005,2023,1600,12.969685686434252,13.148928265132167,,3,0.0975945427677746,0.08476939102852087,,29,2,1,13.067280229202026,13.233697656160688,0.0,-0.34897486903606945,-0.4161889595131568
TREE,TREE_006,2017,1600,28.215834075682576,28.67164039653187,,7,0.024125927561165477,0.02211982783265743,1.4516470217486475,42,12,0,28.23996000324374,28.693760224364528,1.4516470217486475,,-1.7372829695910619
