siteID,plotID,individualID,scientificName,taxonID,status,reason
TREE,TREE_019,NEON.PLA.D05.TREE.02317,Acer rubrum L.,ACRU,UNMEASURED,Never measured in survey campaigns
TREE,TREE_012,NEON.PLA.D05.TREE.02624,Ilex verticillata (L.) A. Gray,ILVE,UNMEASURED,Never measured in survey campaigns
TREE,TREE_016,NEON.PLA.D05.TREE.02176,Corylus cornuta Marshall,COCO6,UNMEASURED,Never measured in survey campaigns
TREE,TREE_007,NEON.PLA.D05.TREE.02818,Prunus serotina Ehrh.,PRSE2,UNMEASURED,Never measured in survey campaigns
TREE,TREE_019,NEON.PLA.D05.TREE.02319,Acer rubrum L.,ACRU,UNMEASURED,Never measured in survey campaigns
TREE,TREE_019,NEON.PLA.D05.TREE.02271,Populus tremuloides Michx.,POTR5,UNMEASURED,Never measured in survey campaigns
TREE,TREE_016,NEON.PLA.D05.TREE.02183,Acer rubrum L.,ACRU,UNMEASURED,Never measured in survey campaigns
TREE,TREE_007,NEON.PLA.D05.TREE.02836,Populus tremuloides Michx.,POTR5,UNMEASURED,Never measured in survey campaigns
TREE,TREE_012,NEON.PLA.D05.TREE.02635,Alnus incana (L.) Moench ssp. rugosa (Du Roi) R.T. Clausen,ALINR,UNMEASURED,Never measured in survey campaigns
TREE,TREE_007,NEON.PLA.D05.TREE.02814,Corylus cornuta Marshall,COCO6,UNMEASURED,Never measured in survey campaigns
TREE,TREE_016,NEON.PLA.D05.TREE.02192,Betula papyrifera Marshall,BEPA,UNMEASURED,Never measured in survey campaigns
TREE,TREE_048,NEON.PLA.D05.TREE.01629,Acer rubrum L.,ACRU,UNMEASURED,Never measured in survey campaigns
TREE,TREE_009,NEON.PLA.D05.TREE.02580,"Picea mariana (Mill.) Britton, Sterns & Poggenb.",PIMA,UNMEASURED,Never measured in survey campaigns
TREE,TREE_007,NEON.PLA.D05.TREE.02774,Populus tremuloides Michx.,POTR5,UNMEASURED,Never measured in survey campaigns
TREE,TREE_007,NEON.PLA.D05.TREE.02755,Acer rubrum L.,ACRU,UNMEASURED,Never measured in survey campaigns
TREE,TREE_011,NEON.PLA.D05.TREE.02861,Alnus incana (L.) Moench ssp. rugosa (Du Roi) R.T. Clausen,ALINR,UNMEASURED,Never measured in survey campaigns
TREE,TREE_016,NEON.PLA.D05.TREE.02188,Populus tremuloides Michx.,POTR5,UNMEASURED,Never measured in survey campaigns
TREE,TREE_002,NEON.PLA.D05.TREE.03770,Abies balsamea (L.) Mill.,ABBA,UNMEASURED,Never measured in survey campaigns
TREE,TREE_012,NEON.PLA.D05.TREE.02618,Larix laricina (Du Roi) K. Koch,LALA,UNMEASURED,Never measured in survey campaigns
TREE,TREE_060,NEON.PLA.D05.TREE.02996,Acer rubrum L.,ACRU,UNMEASURED,Never measured in survey campaigns
TREE,TREE_007,NEON.PLA.D05.TREE.02772,Corylus cornuta Marshall,COCO6,UNMEASURED,Never measured in survey campaigns
TREE,TREE_048,NEON.PLA.D05.TREE.05289,Acer rubrum L.,ACRU,UNMEASURED,Never measured in survey campaigns
TREE,TREE_016,NEON.PLA.D05.TREE.02197,Acer rubrum L.,ACRU,UNMEASURED,Never measured in survey campaigns
TREE,TREE_010,NEON.PLA.D05.TREE.02710,Corylus cornuta Marshall,COCO6,UNMEASURED,Never measured in survey campaigns
TREE,TREE_054,NEON.PLA.D05.TREE.08052,Acer saccharum Marshall,ACSA3,UNMEASURED,Never measured in survey campaigns
TREE,TREE_019,NEON.PLA.D05.TREE.02351,Populus tremuloides Michx.,POTR5,UNMEASURED,Never measured in survey campaigns
TREE,TREE_016,NEON.PLA.D05.TREE.02195,Acer rubrum L.,ACRU,UNMEASURED,Never measured in survey campaigns
TREE,TREE_002,NEON.PLA.D05.TREE.03769,Alnus incana (L.) Moench ssp. rugosa (Du Roi) R.T. Clausen,ALINR,UNMEASURED,Never measured in survey campaigns
TREE,TREE_023,NEON.PLA.D05.TREE.02213,Populus tremuloides Michx.,POTR5,UNMEASURED,Never measured in survey campaigns
TREE,TREE_018,NEON.PLA.D05.TREE.02037,Acer rubrum L.,ACRU,UNMEASURED,Never measured in survey campaigns
TREE,TREE_012,NEON.PLA.D05.TREE.02616,Abies balsamea (L.) Mill.,ABBA,UNMEASURED,Never measured in survey campaigns
