siteID,plotID,year,plotArea_m2,tree_AGBJenkins,tree_AGBChojnacky,tree_AGBAnnighofer,n_trees,small_woody_AGBJenkins,small_woody_AGBChojnacky,small_woody_AGBAnnighofer,n_small_woody_total,n_small_woody_measured,n_unaccounted_trees,total_AGBJenkins,total_AGBChojnacky,total_AGBAnnighofer,growth,growth_cumu
UKFS,UKFS_001,2018,1600,40.44591514536985,10.031360140347038,,23,2.729955651039705,3.3601861209687187,,36,5,31,43.175870796409555,13.391546261315757,0.0,,
UKFS,UKFS_002,2018,1600,30.71879565880566,10.905998980863023,,19,1.1598365944906281,2.2219449230898367,,35,6,35,31.87863225329629,13.12794390395286,0.0,,
UKFS,UKFS_003,2018,1600,10.283131905564604,3.495517596338918,,19,0.8869749080860563,1.582158045821291,,66,29,32,11.17010681365066,5.077675642160209,0.0,,
UKFS,UKFS_004,2018,1600,27.188863500751484,2.360884206639259,,11,0.9296828798817526,,,140,13,33,28.118546380633237,2.360884206639259,0.0,,
UKFS,UKFS_005,2018,1600,78.54368320616264,72.27126501768352,,25,2.724185188844287,3.4504422920707043,0.30837995138180474,89,37,24,81.26786839500693,75.72170730975422,0.30837995138180474,,
UKFS,UKFS_006,2018,1600,18.27524059134009,0.5717288413270801,,24,0.7408957293385555,4.829069525983741,,49,25,39,19.016136320678644,5.400798367310821,0.0,,
UKFS,UKFS_007,2018,1600,106.08924139227142,108.28706427559672,,25,3.77550529409443,6.623836598609391,1.0663622948772873,107,37,47,109.86474668636585,114.9109008742061,1.0663622948772873,,
UKFS,UKFS_008,2016,1600,73.61868847660247,28.439008577663433,,14,2.4212769326262618,3.039674490443042,,58,3,39,76.03996540922873,31.478683068106474,0.0,,
UKFS,UKFS_009,2018,1600,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,,
UKFS,UKFS_010,2018,1600,15.917986404441777,13.65680278001735,,21,0.6283489173224589,1.8868395145294599,,39,19,20,16.546335321764236,15.543642294546808,0.0,,
UKFS,UKFS_011,2018,1600,38.48135857249027,4.303154233653687,,20,1.6908717098880075,1.95289036867006,,40,1,4,40.17223028237828,6.256044602323747,0.0,,
UKFS,UKFS_012,2018,1600,27.836344295028983,16.673126859293248,,20,0.3125446086856455,1.457334011889117,,24,5,3,28.148888903714628,18.130460871182365,0.0,,
UKFS,UKFS_013,2018,1600,2.386909675686173,0.3338773627349325,,5,1.193271708418419,1.0423388693393114,0.5189445562949493,65,23,1,3.580181384104592,1.376216232074244,0.5189445562949493,,
UKFS,UKFS_014,2018,1600,37.31405929580191,0.19036519877735625,,17,1.7164342889149553,1.848859330294889,,40,29,0,39.030493584716865,2.0392245290722455,0.0,,
UKFS,UKFS_015,2018,1600,37.54675432259095,15.87481721815805,,23,0.6139478425515601,1.0364817764357364,,21,7,6,38.16070216514251,16.911298994593785,0.0,,
UKFS,UKFS_016,2018,1600,13.227993966766837,3.8556978789627174,,15,0.5505720433629383,,0.2701551636644452,36,8,2,13.778566010129776,3.8556978789627174,0.2701551636644452,,
UKFS,UKFS_017,2018,1600,8.849759057561235,1.528012350718031,,17,0.9521208918528032,,0.3425972272347567,62,31,0,9.801879949414039,1.528012350718031,0.3425972272347567,,
UKFS,UKFS_018,2018,1600,0.0,0.0,0.0,0,,,,5,0,0,0.0,0.0,0.0,,
UKFS,UKFS_019,2018,1600,28.55986942745406,5.2373855736696555,,26,0.8844069744048015,0.6313426837604694,0.09094937367829664,23,12,0,29.44427640185886,5.868728257430125,0.09094937367829664,,
UKFS,UKFS_025,2018,1600,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,,
UKFS,UKFS_031,2015,1600,68.42143545590699,17.09375829785166,,50,5.285999476099666,18.066294977435106,,437,76,5,73.70743493200665,35.16005327528677,0.0,,4.037415905920659
UKFS,UKFS_031,2016,1600,69.28348663518915,17.95007499945766,,50,5.269295810933645,17.650397250841262,,447,76,5,74.55278244612279,35.60047225029892,0.0,0.845347514116142,4.037415905920659
UKFS,UKFS_031,2017,1600,74.1464223696496,18.50656169959097,,51,6.106287576652607,16.4059132018378,,444,74,5,80.2527099463022,34.91247490142877,0.0,5.699927500179413,4.037415905920659
