siteID,plotID,individualID,scientificName,taxonID,status,reason
UKFS,UKFS_044,NEON.PLA.D06.UKFS.09027,Ulmus sp.,ULMUS,UNMEASURED,Never measured in survey campaigns
UKFS,UKFS_050,NEON.PLA.D06.UKFS.09813,Cornus drummondii C.A. Mey.,CODR,UNMEASURED,Never measured in survey campaigns
UKFS,UKFS_043,NEON.PLA.D06.UKFS.09312,Celtis occidentalis L.,CEOC,UNMEASURED,Never measured in survey campaigns
UKFS,UKFS_003,NEON.PLA.D06.UKFS.10784,Ulmus americana L.,ULAM,UNMEASURED,Never measured in survey campaigns
UKFS,UKFS_002,NEON.PLA.D06.UKFS.10758,Ribes missouriense Nutt.,RIMI,UNMEASURED,Never measured in survey campaigns
UKFS,UKFS_043,NEON.PLA.D06.UKFS.09385,Celtis occidentalis L.,CEOC,UNMEASURED,Never measured in survey campaigns
UKFS,UKFS_043,NEON.PLA.D06.UKFS.09362,Celtis occidentalis L.,CEOC,UNMEASURED,Never measured in survey campaigns
UKFS,UKFS_043,NEON.PLA.D06.UKFS.09381,Celtis occidentalis L.,CEOC,UNMEASURED,Never measured in survey campaigns
UKFS,UKFS_003,NEON.PLA.D06.UKFS.00084B,Morus alba L.,MOAL,UNMEASURED,Never measured in survey campaigns
UKFS,UKFS_050,NEON.PLA.D06.UKFS.09856,Celtis occidentalis L.,CEOC,UNMEASURED,Never measured in survey campaigns
UKFS,UKFS_007,NEON.PLA.D06.UKFS.10936,Parthenocissus quinquefolia (L.) Planch.,PAQU2,UNMEASURED,Never measured in survey campaigns
UKFS,UKFS_010,NEON.PLA.D06.UKFS.10998,Cornus drummondii C.A. Mey.,CODR,UNMEASURED,Never measured in survey campaigns
UKFS,UKFS_001,NEON.PLA.D06.UKFS.10688,Celtis occidentalis L.,CEOC,UNMEASURED,Never measured in survey campaigns
UKFS,UKFS_003,NEON.PLA.D06.UKFS.00084F,Morus alba L.,MOAL,UNMEASURED,Never measured in survey campaigns
UKFS,UKFS_043,NEON.PLA.D06.UKFS.09316,Celtis occidentalis L.,CEOC,UNMEASURED,Never measured in survey campaigns
UKFS,UKFS_043,NEON.PLA.D06.UKFS.09171,Celtis occidentalis L.,CEOC,UNMEASURED,Never measured in survey campaigns
UKFS,UKFS_002,NEON.PLA.D06.UKFS.10855,Symphoricarpos orbiculatus Moench,SYOR,UNMEASURED,Never measured in survey campaigns
UKFS,UKFS_043,NEON.PLA.D06.UKFS.06508,Celtis occidentalis L.,CEOC,UNMEASURED,Never measured in survey campaigns
UKFS,UKFS_050,NEON.PLA.D06.UKFS.09831,Ulmus rubra Muhl.,ULRU,UNMEASURED,Never measured in survey campaigns
UKFS,UKFS_001,NEON.PLA.D06.UKFS.10732,Celtis occidentalis L.,CEOC,UNMEASURED,Never measured in survey campaigns
UKFS,UKFS_002,NEON.PLA.D06.UKFS.10378,Quercus rubra L.,QURU,UNMEASURED,Never measured in survey campaigns
UKFS,UKFS_008,NEON.PLA.D06.UKFS.10956,Symphoricarpos orbiculatus Moench,SYOR,UNMEASURED,Never measured in survey campaigns
UKFS,UKFS_005,NEON.PLA.D06.UKFS.10789,Cercis canadensis L.,CECA4,UNMEASURED,Never measured in survey campaigns
UKFS,UKFS_043,NEON.PLA.D06.UKFS.09198,Prunus serotina Ehrh.,PRSE2,UNMEASURED,Never measured in survey campaigns
UKFS,UKFS_007,NEON.PLA.D06.UKFS.10399,Parthenocissus quinquefolia (L.) Planch.,PAQU2,UNMEASURED,Never measured in survey campaigns
UKFS,UKFS_007,NEON.PLA.D06.UKFS.10945,Toxicodendron radicans (L.) Kuntze,TORA2,UNMEASURED,Never measured in survey campaigns
UKFS,UKFS_043,NEON.PLA.D06.UKFS.09351,Celtis occidentalis L.,CEOC,UNMEASURED,Never measured in survey campaigns
UKFS,UKFS_043,NEON.PLA.D06.UKFS.09194,Celtis occidentalis L.,CEOC,UNMEASURED,Never measured in survey campaigns
UKFS,UKFS_007,NEON.PLA.D06.UKFS.04952,Vitis riparia Michx.,VIRI,UNMEASURED,Never measured in survey campaigns
