siteID,plotID,individualID,year,AGBJenkins,AGBChojnacky,AGBAnnighofer,growth_AGBJenkins,growth_cumu_AGBJenkins,growth_AGBChojnacky,growth_cumu_AGBChojnacky,growth_AGBAnnighofer,growth_cumu_AGBAnnighofer,stemDiameter,height,plantStatus,corrected_is_dead,gapFilling,scientificName,taxonID,genus,family,taxonRank,pointID,stemDistance,stemAzimuth
UNDE,UNDE_057,NEON.PLA.D05.UNDE.00001,2016,228.230926803817,212.31269098717,0.0,,3.2039770360099284,,3.0070144510164725,,0.0,22.3,17.4,Live,False,ORIGINAL,Acer rubrum L.,ACRU,Acer,Aceraceae,species,41,14.0,137.3
UNDE,UNDE_057,NEON.PLA.D05.UNDE.00001,2017,233.10175100057,216.882713259115,0.0,4.870824196753006,3.2039770360099284,4.570022271945021,3.0070144510164725,0.0,0.0,22.5,18.4,Live,False,ORIGINAL,Acer rubrum L.,ACRU,Acer,Aceraceae,species,41,14.0,137.3
UNDE,UNDE_057,NEON.PLA.D05.UNDE.00001,2018,235.559450029828,219.188944133538,0.0,2.457699029258009,3.2039770360099284,2.306230874422994,3.0070144510164725,0.0,0.0,22.6,18.6,Live,False,ORIGINAL,Acer rubrum L.,ACRU,Acer,Aceraceae,species,41,14.0,137.3
UNDE,UNDE_057,NEON.PLA.D05.UNDE.00001,2022,248.071776017057,230.933261916534,0.0,3.1280814968072477,3.2039770360099284,2.9360794457490016,3.0070144510164725,0.0,0.0,23.1,18.8,Live,False,ORIGINAL,Acer rubrum L.,ACRU,Acer,Aceraceae,species,41,14.0,137.3
UNDE,UNDE_078,NEON.PLA.D05.UNDE.00028,2016,21.01531594176049,19.179509393956323,0.0,,6.277742131150578,,6.08769569204561,,0.0,11.0,,,False,FILLED,Populus tremuloides Michx.,POTR5,Populus,Salicaceae,species,23,8.6,316.7
UNDE,UNDE_078,NEON.PLA.D05.UNDE.00028,2017,27.293058072911663,25.267205086001923,0.0,6.277742131151172,6.277742131150578,6.0876956920456,6.08769569204561,0.0,0.0,11.0,,,False,FILLED,Populus tremuloides Michx.,POTR5,Populus,Salicaceae,species,23,8.6,316.7
UNDE,UNDE_078,NEON.PLA.D05.UNDE.00028,2018,33.5708002040623,31.3549007780463,0.0,6.277742131150639,6.277742131150578,6.087695692044377,6.08769569204561,0.0,0.0,11.0,10.5,Live,False,ORIGINAL,Populus tremuloides Michx.,POTR5,Populus,Salicaceae,species,23,8.6,316.7
UNDE,UNDE_078,NEON.PLA.D05.UNDE.00028,2022,58.6817687286642,55.7056835462299,0.0,6.277742131150475,6.277742131150578,6.0876956920459,6.08769569204561,0.0,0.0,13.9,11.7,Live,False,ORIGINAL,Populus tremuloides Michx.,POTR5,Populus,Salicaceae,species,23,8.6,316.7
UNDE,UNDE_002,NEON.PLA.D05.UNDE.00041,2020,30.1689277504457,27.842124259166,0.0,,,,,,,10.5,7.5,Live,False,ORIGINAL,"Picea mariana (Mill.) Britton, Sterns & Poggenb.",PIMA,Picea,Pinaceae,species,31,4.5,47.8
UNDE,UNDE_002,NEON.PLA.D05.UNDE.00042,2020,50.5419409022448,46.3050928921266,0.0,,,,,,,13.1,10.0,Live,False,ORIGINAL,Larix laricina (Du Roi) K. Koch,LALA,Larix,Pinaceae,species,31,4.9,52.8
UNDE,UNDE_002,NEON.PLA.D05.UNDE.00042A,2020,0.0,0.0,0.0,,,,,,,10.2,,Standing dead,True,ORIGINAL,Larix laricina (Du Roi) K. Koch,LALA,Larix,Pinaceae,species,,,
UNDE,UNDE_002,NEON.PLA.D05.UNDE.00043,2020,35.8042784911861,33.0210148578667,0.0,,,,,,,11.3,11.8,Live,False,ORIGINAL,"Picea mariana (Mill.) Britton, Sterns & Poggenb.",PIMA,Picea,Pinaceae,species,31,5.3,58.6
UNDE,UNDE_002,NEON.PLA.D05.UNDE.00046,2020,148.579601386205,136.279275159167,0.0,,,,,,,20.8,15.2,Live,False,ORIGINAL,"Picea mariana (Mill.) Britton, Sterns & Poggenb.",PIMA,Picea,Pinaceae,species,31,9.1,40.1
UNDE,UNDE_002,NEON.PLA.D05.UNDE.00048,2020,113.048471542247,105.483920316745,0.0,,,,,,,18.5,12.6,Live,False,ORIGINAL,Larix laricina (Du Roi) K. Koch,LALA,Larix,Pinaceae,species,31,10.5,26.5
UNDE,UNDE_002,NEON.PLA.D05.UNDE.00049,2020,42.8111708731294,39.4560007770376,0.0,,,,,,,12.2,11.0,Live,False,ORIGINAL,"Picea mariana (Mill.) Britton, Sterns & Poggenb.",PIMA,Picea,Pinaceae,species,31,9.0,78.3
UNDE,UNDE_002,NEON.PLA.D05.UNDE.00050,2020,90.2877666550668,83.8169335227651,0.0,,,,,,,16.8,11.3,Live,False,ORIGINAL,Larix laricina (Du Roi) K. Koch,LALA,Larix,Pinaceae,species,31,9.4,82.2
UNDE,UNDE_002,NEON.PLA.D05.UNDE.00051,2020,41.9972053634999,38.7086940798796,0.0,,,,,,,12.1,10.6,Live,False,ORIGINAL,"Picea mariana (Mill.) Britton, Sterns & Poggenb.",PIMA,Picea,Pinaceae,species,31,9.8,85.2
UNDE,UNDE_002,NEON.PLA.D05.UNDE.00052,2020,58.0354680559101,53.4243878109341,0.0,,,,,,,13.9,12.7,Live,False,ORIGINAL,"Picea mariana (Mill.) Britton, Sterns & Poggenb.",PIMA,Picea,Pinaceae,species,31,11.0,87.2
UNDE,UNDE_002,NEON.PLA.D05.UNDE.00053,2020,72.5931926057585,67.0572915375494,0.0,,,,,,,15.3,10.5,Live,False,ORIGINAL,Larix laricina (Du Roi) K. Koch,LALA,Larix,Pinaceae,species,31,11.4,77.5
UNDE,UNDE_002,NEON.PLA.D05.UNDE.00054,2020,92.8145561301351,85.2855094218726,0.0,,,,,,,17.0,14.3,Live,False,ORIGINAL,"Picea mariana (Mill.) Britton, Sterns & Poggenb.",PIMA,Picea,Pinaceae,species,33,2.5,310.5
UNDE,UNDE_002,NEON.PLA.D05.UNDE.00055,2020,148.579601386205,139.501221736785,0.0,,,,,,,20.8,13.1,Live,False,ORIGINAL,Larix laricina (Du Roi) K. Koch,LALA,Larix,Pinaceae,species,33,3.0,317.2
UNDE,UNDE_002,NEON.PLA.D05.UNDE.00056,2020,46.1566515362556,42.5269421434663,0.0,,,,,,,12.6,10.7,Live,False,ORIGINAL,"Picea mariana (Mill.) Britton, Sterns & Poggenb.",PIMA,Picea,Pinaceae,species,33,5.5,306.5
UNDE,UNDE_002,NEON.PLA.D05.UNDE.00057,2020,78.247054233923,71.9470976203715,0.0,,,,,,,15.8,12.4,Live,False,ORIGINAL,"Picea mariana (Mill.) Britton, Sterns & Poggenb.",PIMA,Picea,Pinaceae,species,33,6.8,304.0
UNDE,UNDE_002,NEON.PLA.D05.UNDE.00058,2020,0.0,0.0,0.0,,,,,,,10.2,7.4,Standing dead,True,ORIGINAL,"Picea mariana (Mill.) Britton, Sterns & Poggenb.",PIMA,Picea,Pinaceae,species,33,6.0,283.0
UNDE,UNDE_002,NEON.PLA.D05.UNDE.00059,2020,54.2147576832264,49.9203605301196,0.0,,,,,,,13.5,12.3,Live,False,ORIGINAL,"Picea mariana (Mill.) Britton, Sterns & Poggenb.",PIMA,Picea,Pinaceae,species,33,9.0,358.5
UNDE,UNDE_002,NEON.PLA.D05.UNDE.00060,2020,53.2827454188139,49.0654568470498,0.0,,,,,,,13.4,12.3,Live,False,ORIGINAL,"Picea mariana (Mill.) Britton, Sterns & Poggenb.",PIMA,Picea,Pinaceae,species,33,9.0,350.3
UNDE,UNDE_002,NEON.PLA.D05.UNDE.00061,2020,84.1444008717733,77.9888705822095,0.0,,,,,,,16.3,13.2,Live,False,ORIGINAL,Larix laricina (Du Roi) K. Koch,LALA,Larix,Pinaceae,species,33,5.6,334.9
UNDE,UNDE_002,NEON.PLA.D05.UNDE.00062,2020,41.1921530926886,37.9695157036648,0.0,,,,,,,12.0,10.9,Live,False,ORIGINAL,"Picea mariana (Mill.) Britton, Sterns & Poggenb.",PIMA,Picea,Pinaceae,species,41,5.5,33.8
UNDE,UNDE_002,NEON.PLA.D05.UNDE.00063,2020,51.4463600092717,47.1526968000165,0.0,,,,,,,13.2,10.8,Live,False,ORIGINAL,Larix laricina (Du Roi) K. Koch,LALA,Larix,Pinaceae,species,41,5.7,36.9
UNDE,UNDE_002,NEON.PLA.D05.UNDE.00064,2020,40.3959895143994,37.2384438691449,0.0,,,,,,,11.9,11.6,Live,False,ORIGINAL,"Picea mariana (Mill.) Britton, Sterns & Poggenb.",PIMA,Picea,Pinaceae,species,41,6.2,33.6
UNDE,UNDE_007,NEON.PLA.D05.UNDE.00071,2020,714.202681012067,742.464548429796,0.0,,,,,,,34.0,18.5,Live,False,ORIGINAL,Acer saccharum Marshall,ACSA3,Acer,Aceraceae,species,31,1.2,57.4
UNDE,UNDE_007,NEON.PLA.D05.UNDE.00072,2020,0.0,0.0,0.0,,,,,,,33.3,2.2,"Dead, broken bole",True,ORIGINAL,Populus tremuloides Michx.,POTR5,Populus,Salicaceae,species,31,3.5,38.6
UNDE,UNDE_007,NEON.PLA.D05.UNDE.00081,2020,0.0,0.0,0.0,,,,,,,27.8,16.8,Standing dead,True,ORIGINAL,Picea glauca (Moench) Voss,PIGL,Picea,Pinaceae,species,41,7.6,195.0
UNDE,UNDE_007,NEON.PLA.D05.UNDE.00082,2020,68.7790866715438,74.9496989166102,0.0,,,,,,,13.0,15.1,"Live, physically damaged",False,ORIGINAL,Acer saccharum Marshall,ACSA3,Acer,Aceraceae,species,41,4.6,232.0
UNDE,UNDE_007,NEON.PLA.D05.UNDE.00082A,2020,134.046237428919,144.123410680634,0.0,,,,,,,17.1,,"Live, physically damaged",False,ORIGINAL,Acer saccharum Marshall,ACSA3,Acer,Aceraceae,species,,,
UNDE,UNDE_007,NEON.PLA.D05.UNDE.00089,2020,497.215498893679,520.672759276331,0.0,,,,,,,29.3,21.8,Live,False,ORIGINAL,Acer saccharum Marshall,ACSA3,Acer,Aceraceae,species,,,
UNDE,UNDE_007,NEON.PLA.D05.UNDE.00089A,2020,299.749954011571,317.105348091186,0.0,,,,,,,23.8,,Live,False,ORIGINAL,Acer saccharum Marshall,ACSA3,Acer,Aceraceae,species,,,
UNDE,UNDE_007,NEON.PLA.D05.UNDE.00089B,2020,108.88158396178,117.557965001896,0.0,,,,,,,15.7,,Live,False,ORIGINAL,Acer saccharum Marshall,ACSA3,Acer,Aceraceae,species,,,
UNDE,UNDE_007,NEON.PLA.D05.UNDE.00089C,2020,103.886337354745,112.270752098901,0.0,,,,,,,15.4,,Live,False,ORIGINAL,Acer saccharum Marshall,ACSA3,Acer,Aceraceae,species,,,
UNDE,UNDE_007,NEON.PLA.D05.UNDE.00089D,2020,0.0,0.0,0.0,,,,,,,10.1,,"Dead, broken bole",True,ORIGINAL,Acer saccharum Marshall,ACSA3,Acer,Aceraceae,species,42,4.9,282.4
UNDE,UNDE_003,NEON.PLA.D05.UNDE.00092,2020,32.0787432909319,23.6660207273982,0.0,,,,,,,10.3,8.0,"Live,  other damage",False,ORIGINAL,Abies balsamea (L.) Mill.,ABBA,Abies,Pinaceae,species,31,6.0,55.0
UNDE,UNDE_003,NEON.PLA.D05.UNDE.00094,2020,48.6461251289593,51.6949434110171,0.0,,,,,,,11.6,7.7,Live,False,ORIGINAL,Betula alleghaniensis Britton,BEAL2,Betula,Betulaceae,species,31,7.8,60.1
UNDE,UNDE_003,NEON.PLA.D05.UNDE.00095,2020,261.569234434915,259.332470150067,0.0,,,,,,,26.0,15.7,Live,False,ORIGINAL,Populus grandidentata Michx.,POGR4,Populus,Salicaceae,species,31,7.0,23.3
UNDE,UNDE_003,NEON.PLA.D05.UNDE.00097,2020,45.7987442694099,50.3178459619612,0.0,,,,,,,11.0,9.3,Live,False,ORIGINAL,Acer saccharum Marshall,ACSA3,Acer,Aceraceae,species,31,9.9,20.3
UNDE,UNDE_003,NEON.PLA.D05.UNDE.00098,2020,0.0,0.0,0.0,,,,,,,31.6,12.0,"Dead, broken bole",True,ORIGINAL,"Picea mariana (Mill.) Britton, Sterns & Poggenb.",PIMA,Picea,Pinaceae,species,41,3.1,250.1
UNDE,UNDE_003,NEON.PLA.D05.UNDE.00099,2020,0.0,0.0,0.0,,,,,,,22.7,2.7,"Dead, broken bole",True,ORIGINAL,"Picea mariana (Mill.) Britton, Sterns & Poggenb.",PIMA,Picea,Pinaceae,species,41,3.4,157.6
UNDE,UNDE_003,NEON.PLA.D05.UNDE.00100,2020,96.6263389627786,104.297581889994,0.0,,,,,,,17.1,14.4,Live,False,ORIGINAL,Fraxinus nigra Marshall,FRNI,Fraxinus,Oleaceae,species,41,4.8,152.5
UNDE,UNDE_056,NEON.PLA.D05.UNDE.00200,2016,46.6857485029506,42.8478117174061,0.0,,1.5545757468534407,,1.4400924927526895,,0.0,11.4,14.3,Live,False,ORIGINAL,Acer rubrum L.,ACRU,Acer,Aceraceae,species,43,8.1,228.7
UNDE,UNDE_056,NEON.PLA.D05.UNDE.00200,2017,47.6601192302708,43.7497609488595,0.0,0.9743707273201991,1.5545757468534407,0.9019492314534006,1.4400924927526895,0.0,0.0,11.5,13.2,Live,False,ORIGINAL,Acer rubrum L.,ACRU,Acer,Aceraceae,species,43,8.1,228.7
