siteID,plotID,individualID,scientificName,taxonID,status,reason
WREF,WREF_077,NEON.PLA.D16.WREF.09509,Vaccinium parvifolium Sm.,VAPA,UNMEASURED,Never measured in survey campaigns
WREF,WREF_001,NEON.PLA.D16.WREF.10016,Unknown plant,2PLANT,UNMEASURED,Never measured in survey campaigns
WREF,WREF_077,NEON.PLA.D16.WREF.09522,Gaultheria shallon Pursh,GASH,UNMEASURED,Never measured in survey campaigns
WREF,WREF_081,NEON.PLA.D16.WREF.04758,Acer circinatum Pursh,ACCI,UNMEASURED,Never measured in survey campaigns
WREF,WREF_076,NEON.PLA.D16.WREF.08453,Gaultheria shallon Pursh,GASH,UNMEASURED,Never measured in survey campaigns
WREF,WREF_075,NEON.PLA.D16.WREF.08935,Vaccinium parvifolium Sm.,VAPA,UNMEASURED,Never measured in survey campaigns
WREF,WREF_073,NEON.PLA.D16.WREF.08929,Vaccinium parvifolium Sm.,VAPA,UNMEASURED,Never measured in survey campaigns
WREF,WREF_013,NEON.PLA.D16.WREF.08086Z,Tsuga heterophylla (Raf.) Sarg.,TSHE,UNMEASURED,Never measured in survey campaigns
WREF,WREF_074,NEON.PLA.D16.WREF.08930,Gaultheria shallon Pursh,GASH,UNMEASURED,Never measured in survey campaigns
WREF,WREF_073,NEON.PLA.D16.WREF.08926,Gaultheria shallon Pursh,GASH,UNMEASURED,Never measured in survey campaigns
WREF,WREF_073,NEON.PLA.D16.WREF.08927,Gaultheria shallon Pursh,GASH,UNMEASURED,Never measured in survey campaigns
WREF,WREF_015,NEON.PLA.D16.WREF.09981Z,Pseudotsuga menziesii (Mirb.) Franco var. menziesii,PSMEM,UNMEASURED,Never measured in survey campaigns
WREF,WREF_077,NEON.PLA.D16.WREF.08272Z,Thuja plicata Donn ex D. Don,THPL,UNMEASURED,Never measured in survey campaigns
WREF,WREF_015,NEON.PLA.D16.WREF.08096Z,Tsuga heterophylla (Raf.) Sarg.,TSHE,UNMEASURED,Never measured in survey campaigns
WREF,WREF_077,NEON.PLA.D16.WREF.09526,Gaultheria shallon Pursh,GASH,UNMEASURED,Never measured in survey campaigns
WREF,WREF_076,NEON.PLA.D16.WREF.04668F,Acer circinatum Pursh,ACCI,UNMEASURED,Never measured in survey campaigns
WREF,WREF_086,NEON.PLA.D16.WREF.06912,Pseudotsuga menziesii (Mirb.) Franco var. menziesii,PSMEM,UNMEASURED,Never measured in survey campaigns
WREF,WREF_081,NEON.PLA.D16.WREF.08801Z,Thuja plicata Donn ex D. Don,THPL,UNMEASURED,Never measured in survey campaigns
WREF,WREF_074,NEON.PLA.D16.WREF.08934,Tsuga heterophylla (Raf.) Sarg.,TSHE,UNMEASURED,Never measured in survey campaigns
WREF,WREF_076,NEON.PLA.D16.WREF.08452,Gaultheria shallon Pursh,GASH,UNMEASURED,Never measured in survey campaigns
WREF,WREF_073,NEON.PLA.D16.WREF.08928,Gaultheria shallon Pursh,GASH,UNMEASURED,Never measured in survey campaigns
WREF,WREF_089,NEON.PLA.D16.WREF.09534,Gaultheria shallon Pursh,GASH,UNMEASURED,Never measured in survey campaigns
WREF,WREF_075,NEON.PLA.D16.WREF.08917,Gaultheria shallon Pursh,GASH,UNMEASURED,Never measured in survey campaigns
WREF,WREF_076,NEON.PLA.D16.WREF.08454,Gaultheria shallon Pursh,GASH,UNMEASURED,Never measured in survey campaigns
WREF,WREF_011,NEON.PLA.D16.WREF.08077Z,Pseudotsuga menziesii (Mirb.) Franco var. menziesii,PSMEM,UNMEASURED,Never measured in survey campaigns
WREF,WREF_076,NEON.PLA.D16.WREF.08455,Gaultheria shallon Pursh,GASH,UNMEASURED,Never measured in survey campaigns
WREF,WREF_004,NEON.PLA.D16.WREF.08400Z,Abies amabilis (Douglas ex Loudon) Douglas ex Forbes,ABAM,UNMEASURED,Never measured in survey campaigns
WREF,WREF_077,NEON.PLA.D16.WREF.09504,Vaccinium parvifolium Sm.,VAPA,UNMEASURED,Never measured in survey campaigns
WREF,WREF_073,NEON.PLA.D16.WREF.08932,Acer circinatum Pursh,ACCI,UNMEASURED,Never measured in survey campaigns
WREF,WREF_009,NEON.PLA.D16.WREF.09977,Acer circinatum Pursh,ACCI,UNMEASURED,Never measured in survey campaigns
WREF,WREF_077,NEON.PLA.D16.WREF.09512,Gaultheria shallon Pursh,GASH,UNMEASURED,Never measured in survey campaigns
WREF,WREF_019,NEON.PLA.D16.WREF.09992,Taxus brevifolia Nutt.,TABR2,UNMEASURED,Never measured in survey campaigns
WREF,WREF_077,NEON.PLA.D16.WREF.09511,Abies amabilis (Douglas ex Loudon) Douglas ex Forbes,ABAM,UNMEASURED,Never measured in survey campaigns
WREF,WREF_077,NEON.PLA.D16.WREF.09513,Tsuga heterophylla (Raf.) Sarg.,TSHE,UNMEASURED,Never measured in survey campaigns
WREF,WREF_012,NEON.PLA.D16.WREF.10007,Pseudotsuga menziesii (Mirb.) Franco var. menziesii,PSMEM,UNMEASURED,Never measured in survey campaigns
WREF,WREF_077,NEON.PLA.D16.WREF.09523,Gaultheria shallon Pursh,GASH,UNMEASURED,Never measured in survey campaigns
WREF,WREF_009,NEON.PLA.D16.WREF.09978,Vaccinium parvifolium Sm.,VAPA,UNMEASURED,Never measured in survey campaigns
WREF,WREF_008,NEON.PLA.D16.WREF.10003,Gaultheria shallon Pursh,GASH,UNMEASURED,Never measured in survey campaigns
WREF,WREF_019,NEON.PLA.D16.WREF.09986Z,Abies amabilis (Douglas ex Loudon) Douglas ex Forbes,ABAM,UNMEASURED,Never measured in survey campaigns
WREF,WREF_086,NEON.PLA.D16.WREF.08282Z,Tsuga heterophylla (Raf.) Sarg.,TSHE,UNMEASURED,Never measured in survey campaigns
WREF,WREF_077,NEON.PLA.D16.WREF.09528,Gaultheria shallon Pursh,GASH,UNMEASURED,Never measured in survey campaigns
WREF,WREF_075,NEON.PLA.D16.WREF.08936,Mahonia nervosa (Pursh) Nutt.,MANE2,UNMEASURED,Never measured in survey campaigns
WREF,WREF_019,NEON.PLA.D16.WREF.08075Z,Abies amabilis (Douglas ex Loudon) Douglas ex Forbes,ABAM,UNMEASURED,Never measured in survey campaigns
WREF,WREF_075,NEON.PLA.D16.WREF.08924,Gaultheria shallon Pursh,GASH,UNMEASURED,Never measured in survey campaigns
WREF,WREF_014,NEON.PLA.D16.WREF.10004,Vaccinium sp.,VACCI,UNMEASURED,Never measured in survey campaigns
WREF,WREF_071,NEON.PLA.D16.WREF.07448,Tsuga heterophylla (Raf.) Sarg.,TSHE,UNMEASURED,Never measured in survey campaigns
WREF,WREF_074,NEON.PLA.D16.WREF.08933,Gaultheria shallon Pursh,GASH,UNMEASURED,Never measured in survey campaigns
WREF,WREF_075,NEON.PLA.D16.WREF.08925,Tsuga heterophylla (Raf.) Sarg.,TSHE,UNMEASURED,Never measured in survey campaigns
WREF,WREF_011,NEON.PLA.D16.WREF.10006,Tsuga heterophylla (Raf.) Sarg.,TSHE,UNMEASURED,Never measured in survey campaigns
WREF,WREF_070,NEON.PLA.D16.WREF.08876,Gaultheria shallon Pursh,GASH,UNMEASURED,Never measured in survey campaigns
WREF,WREF_077,NEON.PLA.D16.WREF.09524,Gaultheria shallon Pursh,GASH,UNMEASURED,Never measured in survey campaigns
WREF,WREF_004,NEON.PLA.D16.WREF.09971Z,Tsuga heterophylla (Raf.) Sarg.,TSHE,UNMEASURED,Never measured in survey campaigns
WREF,WREF_076,NEON.PLA.D16.WREF.08922,Gaultheria shallon Pursh,GASH,UNMEASURED,Never measured in survey campaigns
WREF,WREF_073,NEON.PLA.D16.WREF.08931,Acer circinatum Pursh,ACCI,UNMEASURED,Never measured in survey campaigns
WREF,WREF_077,NEON.PLA.D16.WREF.09501,Gaultheria shallon Pursh,GASH,UNMEASURED,Never measured in survey campaigns
WREF,WREF_013,NEON.PLA.D16.WREF.09972Z,Abies amabilis (Douglas ex Loudon) Douglas ex Forbes,ABAM,UNMEASURED,Never measured in survey campaigns
WREF,WREF_013,NEON.PLA.D16.WREF.08087,Pseudotsuga menziesii (Mirb.) Franco var. menziesii,PSMEM,UNMEASURED,Never measured in survey campaigns
WREF,WREF_089,NEON.PLA.D16.WREF.04854,Pseudotsuga menziesii (Mirb.) Franco var. menziesii,PSMEM,NO_ALLOMETRY,Has diameter measurements but no biomass estimates
WREF,WREF_077,NEON.PLA.D16.WREF.04189,Pinaceae sp.,PINACE,NO_ALLOMETRY,Has diameter measurements but no biomass estimates
WREF,WREF_015,NEON.PLA.D16.WREF.05405,Pinaceae sp.,PINACE,NO_ALLOMETRY,Has diameter measurements but no biomass estimates
WREF,WREF_003,NEON.PLA.D16.WREF.07106,Pinaceae sp.,PINACE,NO_ALLOMETRY,Has diameter measurements but no biomass estimates
WREF,WREF_003,NEON.PLA.D16.WREF.08739,Pinaceae sp.,PINACE,NO_ALLOMETRY,Has diameter measurements but no biomass estimates
WREF,WREF_003,NEON.PLA.D16.WREF.08751,Pinaceae sp.,PINACE,NO_ALLOMETRY,Has diameter measurements but no biomass estimates
WREF,WREF_003,NEON.PLA.D16.WREF.07101,Pinaceae sp.,PINACE,NO_ALLOMETRY,Has diameter measurements but no biomass estimates
WREF,WREF_003,NEON.PLA.D16.WREF.05046,Pinaceae sp.,PINACE,NO_ALLOMETRY,Has diameter measurements but no biomass estimates
WREF,WREF_003,NEON.PLA.D16.WREF.05041,Pinaceae sp.,PINACE,NO_ALLOMETRY,Has diameter measurements but no biomass estimates
WREF,WREF_003,NEON.PLA.D16.WREF.05045,Pinaceae sp.,PINACE,NO_ALLOMETRY,Has diameter measurements but no biomass estimates
WREF,WREF_018,NEON.PLA.D16.WREF.08771,Pinaceae sp.,PINACE,NO_ALLOMETRY,Has diameter measurements but no biomass estimates
