siteID,plotID,year,plotArea_m2,tree_AGBJenkins,tree_AGBChojnacky,tree_AGBAnnighofer,n_trees,small_woody_AGBJenkins,small_woody_AGBChojnacky,small_woody_AGBAnnighofer,n_small_woody_total,n_small_woody_measured,n_unaccounted_trees,total_AGBJenkins,total_AGBChojnacky,total_AGBAnnighofer,growth,growth_cumu
YELL,YELL_001,2018,250000,0.0,0.0,0.0,0,,,,56,0,0,0.0,0.0,0.0,,0.0
YELL,YELL_001,2019,250000,0.0,0.0,0.0,0,,,,120,0,0,0.0,0.0,0.0,0.0,0.0
YELL,YELL_002,2018,1600,0.0,0.0,0.0,0,,,,113,0,13,0.0,0.0,0.0,,0.0
YELL,YELL_002,2019,1600,0.0,0.0,0.0,0,,,,125,0,13,0.0,0.0,0.0,0.0,0.0
YELL,YELL_003,2018,1600,0.0,0.0,0.0,0,,,,21,0,5,0.0,0.0,0.0,,0.0
YELL,YELL_003,2019,1600,0.0,0.0,0.0,0,,,,37,0,5,0.0,0.0,0.0,0.0,0.0
YELL,YELL_004,2018,1600,0.0,0.0,0.0,0,,,,41,0,2,0.0,0.0,0.0,,0.0
YELL,YELL_004,2019,1600,0.0,0.0,0.0,0,,,,91,0,2,0.0,0.0,0.0,0.0,0.0
YELL,YELL_005,2018,1600,0.0,0.0,0.0,0,,,,19,0,35,0.0,0.0,0.0,,0.0
YELL,YELL_005,2019,1600,0.0,0.0,0.0,0,,,,42,0,35,0.0,0.0,0.0,0.0,0.0
YELL,YELL_006,2018,1600,49.740901729870316,46.38028086434602,,11,,,0.029127813849884998,24,2,12,49.740901729870316,46.38028086434602,0.029127813849884998,,-16.573383175554284
YELL,YELL_006,2019,1600,33.16751855431603,30.741494966046503,,11,,,0.07524685244553625,62,2,12,33.16751855431603,30.741494966046503,0.07524685244553625,-16.573383175554284,-16.573383175554284
YELL,YELL_007,2018,1600,47.99789506227528,43.98151247165182,,19,,,,23,0,3,47.99789506227528,43.98151247165182,0.0,,-4.939528703160121
YELL,YELL_007,2019,1600,43.05836635911516,39.472628195323516,,19,,,,66,0,3,43.05836635911516,39.472628195323516,0.0,-4.939528703160121,-4.939528703160121
YELL,YELL_008,2018,1600,0.0,0.0,0.0,0,,,,42,0,6,0.0,0.0,0.0,,0.0
YELL,YELL_008,2019,1600,0.0,0.0,0.0,0,,,,91,0,6,0.0,0.0,0.0,0.0,0.0
YELL,YELL_009,2019,1600,55.10584686194843,50.727471216402705,,32,,,0.6879220178764394,37,33,23,55.10584686194843,50.727471216402705,0.6879220178764394,,
YELL,YELL_010,2018,1600,0.0,0.0,0.0,0,,,,32,0,19,0.0,0.0,0.0,,0.0
YELL,YELL_010,2019,1600,0.0,0.0,0.0,0,,,,82,0,19,0.0,0.0,0.0,0.0,0.0
YELL,YELL_011,2018,1600,0.0,0.0,0.0,0,,,,23,0,10,0.0,0.0,0.0,,0.0
YELL,YELL_011,2019,1600,0.0,0.0,0.0,0,,,,50,0,10,0.0,0.0,0.0,0.0,0.0
YELL,YELL_012,2018,1600,48.25454572888118,44.20218468283519,,27,,,0.11681925816054006,30,10,15,48.25454572888118,44.20218468283519,0.11681925816054006,,-4.681363762203134
YELL,YELL_012,2019,1600,43.57318196667805,40.02850391887746,,27,,,0.1596529861527381,41,10,15,43.57318196667805,40.02850391887746,0.1596529861527381,-4.681363762203134,-4.681363762203134
YELL,YELL_013,2018,1600,0.0,0.0,0.0,0,,,,76,0,8,0.0,0.0,0.0,,0.0
YELL,YELL_013,2019,1600,0.0,0.0,0.0,0,,,,62,0,8,0.0,0.0,0.0,0.0,0.0
YELL,YELL_014,2018,1600,0.0,0.0,0.0,0,,,,33,0,0,0.0,0.0,0.0,,0.0
YELL,YELL_014,2019,1600,0.0,0.0,0.0,0,,,,91,0,0,0.0,0.0,0.0,0.0,0.0
YELL,YELL_016,2018,1600,0.0,0.0,0.0,0,,,,71,0,15,0.0,0.0,0.0,,0.0
YELL,YELL_016,2019,1600,0.0,0.0,0.0,0,,,,106,0,15,0.0,0.0,0.0,0.0,0.0
YELL,YELL_018,2018,1600,0.0,0.0,0.0,0,,,,4,0,2,0.0,0.0,0.0,,0.0
YELL,YELL_018,2019,1600,0.0,0.0,0.0,0,,,,14,0,2,0.0,0.0,0.0,0.0,0.0
YELL,YELL_020,2018,1600,8.196924856795828,8.136086531438362,,35,0.8063539431841554,0.784762922647928,0.17854851166241006,21,21,6,9.003278799979984,8.92084945408629,0.17854851166241006,,2.5018597520700396
YELL,YELL_020,2019,1600,10.631626535570582,10.597330083766714,,35,0.8735120164794419,0.8503086302038133,0.18705082174157248,22,22,6,11.505138552050024,11.447638713970527,0.18705082174157248,2.5018597520700396,2.5018597520700396
YELL,YELL_021,2019,1600,34.62614487240308,31.097387157404885,,22,0.04508360833429138,0.03636208951206753,0.30899267504766464,37,9,34,34.671228480737376,31.133749246916953,0.30899267504766464,,
YELL,YELL_022,2019,1600,23.562453860630825,21.51968874627692,,16,,,0.7169711509323148,41,12,9,23.562453860630825,21.51968874627692,0.7169711509323148,,
YELL,YELL_023,2018,1600,197.15804695064293,189.7008342281739,,8,0.03363411307542685,0.027187128772255237,0.16097046994545725,23,23,7,197.19168106371836,189.72802135694616,0.16097046994545725,,-177.9591712292965
YELL,YELL_023,2019,1600,19.19887572134644,17.94108028841175,,8,0.03363411307542685,0.027187128772255237,0.16097046994545725,23,23,7,19.232509834421865,17.968267417184006,0.16097046994545725,-177.9591712292965,-177.9591712292965
YELL,YELL_043,2019,1600,50.02478401566041,51.6388933852968,,10,0.21469952349579344,0.17858020779141628,,78,44,3,50.239483539156204,51.817473593088216,0.0,,-5.514553478551176
YELL,YELL_043,2020,1600,50.96333948155494,52.63206306195868,,10,0.3366335014315985,0.2843012465961819,,77,43,3,51.29997298298654,52.91636430855486,0.0,1.0604894438303347,-5.514553478551176
YELL,YELL_043,2021,1600,37.13302222053388,38.324657457965564,,10,0.46492003807599663,0.3968205240456878,,80,46,3,37.597942258609876,38.72147798201125,0.0,-13.702030724376662,-5.514553478551176
YELL,YELL_043,2022,1600,35.59080859232008,36.73072436590446,,10,0.484010318940296,0.4138703952291963,,77,44,3,36.07481891126038,37.14459476113365,0.0,-1.5231233473494967,-5.514553478551176
YELL,YELL_043,2023,1600,29.69174251609322,30.659543460934582,,10,0.5875506661701831,0.504436280322726,,76,43,3,30.279293182263405,31.163979741257307,0.0,-5.795525728996974,-5.514553478551176
YELL,YELL_044,2019,1600,48.680617627159684,44.679182685251895,,23,0.1317702864738338,0.11056167758280447,,46,9,5,48.812387913633515,44.789744362834696,0.0,,-0.16141909183101077
YELL,YELL_044,2020,1600,48.19343550954999,44.29795162230763,,21,0.13912497963617948,0.11727912673838947,,38,8,5,48.33256048918617,44.41523074904602,0.0,-0.4798274244473433,-0.16141909183101077
YELL,YELL_044,2021,1600,47.520297958304624,43.69203314274356,,21,0.1636746575876449,0.1383821429417169,,38,8,5,47.683972615892266,43.83041528568528,0.0,-0.6485878732939057,-0.16141909183101077
YELL,YELL_044,2022,1600,47.53450717063235,43.7019768722248,,21,0.1968618833237758,0.16760502376905168,,37,8,5,47.73136905395613,43.869581895993846,0.0,0.0473964380638634,-0.16141909183101077
YELL,YELL_044,2023,1600,48.12204467807696,44.26278446066598,,21,0.18384349401652259,0.15677898659396725,,38,9,5,48.30588817209348,44.419563447259954,0.0,0.5745191181373528,-0.16141909183101077
YELL,YELL_045,2019,1600,71.82543027372452,66.76412131136779,,22,1.479657476874447,1.2425202142132827,7.363910678958343,77,4,2,73.30508775059897,68.00664152558107,7.363910678958343,,-2.485991611437413
YELL,YELL_045,2020,1600,58.72952767134416,54.22002069484397,,22,0.9798199453440943,0.8258563807458902,2.7344510470763375,41,4,2,59.709347616688255,55.04587707558986,2.7344510470763375,-13.595740133910716,-2.485991611437413
YELL,YELL_045,2021,1600,61.52072381345285,56.82590711353612,,22,2.2464164600571923,1.8934268241491143,2.925232678058284,94,4,2,63.76714027351004,58.719333937685235,2.925232678058284,4.057792656821782,-2.485991611437413
YELL,YELL_045,2022,1600,58.4993303089113,54.057172685885156,,22,2.602192929811331,2.2067990182005857,2.744454284894511,76,4,2,61.10152323872263,56.26397170408574,2.744454284894511,-2.6656170347874095,-2.485991611437413
YELL,YELL_045,2023,1600,60.17904188239472,55.26747162571788,,23,,,3.0154571889539006,71,3,2,60.17904188239472,55.26747162571788,3.0154571889539006,-0.9224813563279071,-2.485991611437413
YELL,YELL_046,2019,1600,96.8140325596445,91.86592271626745,,14,0.0097289844747382,0.00751137986306402,0.3883442021692173,87,32,5,96.82376154411924,91.87343409613051,0.3883442021692173,,3.920399361103941
YELL,YELL_046,2020,1600,103.48190211254769,98.18152079355293,,14,0.01237531042376099,0.00961106500442972,1.2734512627303187,61,30,5,103.49427742297145,98.19113185855737,1.2734512627303187,6.670515878852214,3.920399361103941
YELL,YELL_046,2021,1600,113.42792439351285,107.50050706930188,,14,0.02704667542336375,0.021155701879302838,5.275078549688749,95,35,5,113.45497106893622,107.52166277118118,5.275078549688749,9.960693645964767,3.920399361103941
YELL,YELL_046,2022,1600,108.77077479958336,103.20022680650747,,14,0.04012428044908808,0.03163901143436321,0.8126130584445296,93,33,5,108.81089908003246,103.23186581794184,0.8126130584445296,-4.644071988903761,3.920399361103941
YELL,YELL_046,2023,1600,113.71585817835872,107.85420407954621,,14,0.051589342749723544,0.04073333828582682,3.4419707925158285,98,33,5,113.76744752110844,107.89493741783204,3.4419707925158285,4.956548441075981,3.920399361103941
YELL,YELL_047,2019,1600,25.92006403712902,26.416125254908074,,20,0.15049681686147517,0.1354749454275902,3.519717571047283,67,16,4,26.070560853990496,26.551600200335663,3.519717571047283,,0.5916897453159077
YELL,YELL_047,2020,1600,23.847464544902273,24.28201741615996,,20,0.10306228096098131,0.09128617587890496,1.6881715564336712,45,10,4,23.950526825863253,24.373303592038866,1.6881715564336712,-2.120034028127243,0.5916897453159077
YELL,YELL_047,2021,1600,25.21571885713637,25.694155805368723,,20,0.24383224496072328,0.22078740138287384,4.4007512959914665,78,19,4,25.459551102097095,25.914943206751598,4.4007512959914665,1.5090242762338413,0.5916897453159077
YELL,YELL_047,2022,1600,27.601312284456476,26.43902307456535,,20,0.2780622613349526,0.2577484736883496,1.8400605234083356,62,11,4,27.87937454579143,26.696771548253697,1.8400605234083356,2.4198234436943338,0.5916897453159077
YELL,YELL_047,2023,1600,26.800827622562736,25.225533432199065,,20,0.26375809804321243,0.24528122519789644,2.0316845991862107,60,12,4,27.064585720605947,25.47081465739696,2.0316845991862107,-0.8147888251854809,0.5916897453159077
YELL,YELL_048,2019,1600,119.81516917855618,111.20433117834416,,31,2.0316387530804736,1.7135977689987694,3.7622897220734153,144,20,0,121.84680793163665,112.91792894734293,3.7622897220734153,,3.934962507424523
YELL,YELL_048,2021,1600,120.70773066897384,112.15571065420285,,31,3.0138118595888534,2.5543190168464225,3.1685903015819528,130,20,0,123.7215425285627,114.71002967104927,3.1685903015819528,0.9373672984630232,3.934962507424523
YELL,YELL_048,2022,1600,131.6579496472626,122.25435870288375,,30,0.9605542565299816,0.8131638933509006,1.5972096492246526,82,16,0,132.61850390379257,123.06752259623465,1.5972096492246526,8.896961375229878,3.934962507424523
YELL,YELL_048,2023,1600,136.11780231485915,126.46354262292516,,30,1.055196251108439,0.8944795968367721,1.6604467542088908,82,16,0,137.1729985659676,127.35802221976193,1.6604467542088908,4.554494662175017,3.934962507424523
YELL,YELL_049,2019,1600,0.0,0.0,0.0,0,0.13897860417277536,0.12664322995802565,1.3053524975742965,44,19,0,0.13897860417277536,0.12664322995802565,1.3053524975742965,,0.09924937460933089
YELL,YELL_049,2021,1600,0.0,0.0,0.0,0,0.33747735339143714,0.3100373559062354,1.6443447774870628,55,19,0,0.33747735339143714,0.3100373559062354,1.6443447774870628,0.09924937460933089,0.09924937460933089
YELL,YELL_050,2019,1600,31.219933354275803,29.007135467328702,,7,0.012423707047552125,0.009755430130644453,0.8260508838408727,33,9,2,31.232357061323356,29.016890897459348,0.8260508838408727,,3.22760217169366
YELL,YELL_050,2021,1600,33.45293181606661,31.09746203695132,,7,0.016188466758931555,0.012711621079324593,1.2972086005980041,43,9,2,33.46912028282554,31.110173658030646,1.2972086005980041,1.1183816107510935,3.22760217169366
YELL,YELL_050,2022,1600,42.03104657887292,39.081486212908466,,7,0.010541327191862408,0.008277334656304385,0.9165951292153786,28,9,2,42.04158790606478,39.08976354756477,0.9165951292153786,8.572467623239234,3.22760217169366
YELL,YELL_050,2023,1600,43.04683669078236,40.031425945013574,,7,0.010541327191862408,0.008277334656304385,0.9884962859483416,28,9,2,43.057378017974216,40.03970327966988,0.9884962859483416,1.015790111909439,3.22760217169366
YELL,YELL_051,2019,1600,0.0,0.0,0.0,0,,,2.8682963996926194,107,2,0,0.0,0.0,2.8682963996926194,,0.0
YELL,YELL_051,2021,1600,0.0,0.0,0.0,0,,,4.635169281753534,117,2,0,0.0,0.0,4.635169281753534,0.0,0.0
YELL,YELL_052,2019,1600,80.43138030776977,74.93493646463472,,36,1.190127832116952,1.0202143983851073,13.027227927698078,256,54,2,81.62150813988673,75.95515086301982,13.027227927698078,,-0.14580945498220643
YELL,YELL_052,2021,1600,80.05745789067333,74.16899652663572,,35,1.272431339248986,1.0911119550470716,14.483962302147395,273,52,2,81.32988922992232,75.26010848168279,14.483962302147395,-0.14580945498220643,-0.14580945498220643
YELL,YELL_053,2019,1600,14.840515581388269,13.836999298896297,,8,0.030111235296655072,0.023823375574673747,0.9402129837178576,60,21,1,14.870626816684924,13.86082267447097,0.9402129837178576,,3.7507017310843285
YELL,YELL_053,2021,1600,14.95962221551144,13.940503386762012,,8,0.06315885116188977,0.05049011410671478,1.4809829617971324,72,19,1,15.022781066673328,13.990993500868727,1.4809829617971324,0.07607712499420227,3.7507017310843285
YELL,YELL_053,2022,1600,27.99822878673507,23.882897813192713,,8,0.04652904877752343,0.037320999340606786,0.8880628884679959,40,15,1,28.04475783551259,23.92021881253332,0.8880628884679959,13.021976768839263,3.7507017310843285
YELL,YELL_053,2023,1600,27.94470711166921,23.86915441586766,,8,0.05510853093812769,0.04427403534603687,0.9339680771036379,40,15,1,27.999815642607338,23.913428451213694,0.9339680771036379,-0.044942192905253364,3.7507017310843285
YELL,YELL_054,2019,1600,46.44977271411466,44.183336184451875,,40,0.15660212989039432,0.13036632404106538,0.3459585267796888,51,30,1,46.60637484400505,44.31370250849294,0.3459585267796888,,-0.3593905275964744
YELL,YELL_054,2021,1600,45.674657089870074,43.562783422788016,,40,0.21293669894203276,0.17834813797287472,0.4365892925652611,54,30,1,45.887593788812104,43.74113156076089,0.4365892925652611,-0.3593905275964744,-0.3593905275964744
YELL,YELL_055,2019,1600,55.83771761098046,51.19001159702732,,38,0.1651659869481563,0.10133364046193134,1.5287532127566565,56,14,2,56.002883597928616,51.29134523748925,1.5287532127566565,,2.9936327304338306
YELL,YELL_055,2021,1600,61.83430211027301,56.69286188053344,,37,0.1558469485232666,0.0959564418818005,1.6517485139592907,56,14,2,61.99014905879628,56.788818322415246,1.6517485139592907,2.9936327304338306,2.9936327304338306
YELL,YELL_056,2019,1600,6.8300677066785385,6.952441024312809,,8,0.011115828723136921,0.008616286604847404,2.6231288378239723,63,14,0,6.841183535401675,6.961057310917656,2.6231288378239723,,1.9176128875394176
YELL,YELL_056,2021,1600,10.666175690386194,10.878804883445241,,8,0.010233620094316533,0.00793245433462142,5.769330792012561,58,10,0,10.67640931048051,10.886737337779863,5.769330792012561,1.9176128875394176,1.9176128875394176
YELL,YELL_057,2019,1600,83.92230333820346,78.89185838702537,,21,0.06340130904428834,0.05019246925216715,5.481998109496766,98,19,1,83.98570464724776,78.94205085627753,5.481998109496766,,-0.2034442315260975
