siteID,plotID,individualID,scientificName,taxonID,status,reason
YELL,YELL_009,NEON.PLA.D12.YELL.06692,Pseudotsuga menziesii (Mirb.) Franco,PSME,UNMEASURED,Never measured in survey campaigns
YELL,YELL_005,NEON.PLA.D12.YELL.02126,Artemisia tridentata Nutt.,ARTR2,UNMEASURED,Never measured in survey campaigns
YELL,YELL_009,NEON.PLA.D12.YELL.01569,Pseudotsuga menziesii (Mirb.) Franco,PSME,UNMEASURED,Never measured in survey campaigns
YELL,YELL_002,NEON.PLA.D12.YELL.06695,Artemisia tridentata Nutt.,ARTR2,UNMEASURED,Never measured in survey campaigns
YELL,YELL_021,NEON.PLA.D12.YELL.00577,Pinus albicaulis Engelm.,PIAL,UNMEASURED,Never measured in survey campaigns
YELL,YELL_009,NEON.PLA.D12.YELL.02275,Juniperus communis L.,JUCO6,UNMEASURED,Never measured in survey campaigns
YELL,YELL_021,NEON.PLA.D12.YELL.00591,Juniperus communis L.,JUCO6,UNMEASURED,Never measured in survey campaigns
YELL,YELL_005,NEON.PLA.D12.YELL.02136,Artemisia tridentata Nutt.,ARTR2,UNMEASURED,Never measured in survey campaigns
YELL,YELL_005,NEON.PLA.D12.YELL.02143,Artemisia tridentata Nutt.,ARTR2,UNMEASURED,Never measured in survey campaigns
YELL,YELL_010,NEON.PLA.D12.YELL.06644,Artemisia tridentata Nutt.,ARTR2,UNMEASURED,Never measured in survey campaigns
YELL,YELL_016,NEON.PLA.D12.YELL.06668,Artemisia tridentata Nutt.,ARTR2,UNMEASURED,Never measured in survey campaigns
YELL,YELL_011,NEON.PLA.D12.YELL.02408,Artemisia tridentata Nutt.,ARTR2,UNMEASURED,Never measured in survey campaigns
YELL,YELL_021,NEON.PLA.D12.YELL.00579,Pinus albicaulis Engelm.,PIAL,UNMEASURED,Never measured in survey campaigns
YELL,YELL_021,NEON.PLA.D12.YELL.00590,Juniperus communis L.,JUCO6,UNMEASURED,Never measured in survey campaigns
YELL,YELL_022,NEON.PLA.D12.YELL.02112,Juniperus communis L.,JUCO6,UNMEASURED,Never measured in survey campaigns
YELL,YELL_009,NEON.PLA.D12.YELL.06687,Pseudotsuga menziesii (Mirb.) Franco,PSME,UNMEASURED,Never measured in survey campaigns
YELL,YELL_021,NEON.PLA.D12.YELL.00576,Pinus contorta Douglas ex Loudon,PICO,UNMEASURED,Never measured in survey campaigns
YELL,YELL_016,NEON.PLA.D12.YELL.06667,Artemisia tridentata Nutt.,ARTR2,UNMEASURED,Never measured in survey campaigns
YELL,YELL_009,NEON.PLA.D12.YELL.06686,Pseudotsuga menziesii (Mirb.) Franco,PSME,UNMEASURED,Never measured in survey campaigns
YELL,YELL_007,NEON.PLA.D12.YELL.02205,Pseudotsuga menziesii (Mirb.) Franco,PSME,UNMEASURED,Never measured in survey campaigns
YELL,YELL_005,NEON.PLA.D12.YELL.02130,Artemisia tridentata Nutt.,ARTR2,UNMEASURED,Never measured in survey campaigns
YELL,YELL_016,NEON.PLA.D12.YELL.06677,Artemisia tridentata Nutt.,ARTR2,UNMEASURED,Never measured in survey campaigns
YELL,YELL_006,NEON.PLA.D12.YELL.02163,Artemisia tridentata Nutt.,ARTR2,UNMEASURED,Never measured in survey campaigns
YELL,YELL_021,NEON.PLA.D12.YELL.00595,Shepherdia canadensis (L.) Nutt.,SHCA,UNMEASURED,Never measured in survey campaigns
YELL,YELL_009,NEON.PLA.D12.YELL.06688,Pseudotsuga menziesii (Mirb.) Franco,PSME,UNMEASURED,Never measured in survey campaigns
YELL,YELL_021,NEON.PLA.D12.YELL.02878,Pseudotsuga menziesii (Mirb.) Franco,PSME,UNMEASURED,Never measured in survey campaigns
YELL,YELL_020,NEON.PLA.D12.YELL.00117A,Pinus contorta Douglas ex Loudon,PICO,UNMEASURED,Never measured in survey campaigns
YELL,YELL_016,NEON.PLA.D12.YELL.06685,Artemisia tridentata Nutt.,ARTR2,UNMEASURED,Never measured in survey campaigns
YELL,YELL_021,NEON.PLA.D12.YELL.00602,Juniperus communis L.,JUCO6,UNMEASURED,Never measured in survey campaigns
YELL,YELL_043,NEON.PLA.D12.YELL.03052Z,Populus tremuloides Michx.,POTR5,UNMEASURED,Never measured in survey campaigns
YELL,YELL_009,NEON.PLA.D12.YELL.02299,Pseudotsuga menziesii (Mirb.) Franco,PSME,UNMEASURED,Never measured in survey campaigns
YELL,YELL_009,NEON.PLA.D12.YELL.00888Z,Pinus contorta Douglas ex Loudon,PICO,UNMEASURED,Never measured in survey campaigns
YELL,YELL_021,NEON.PLA.D12.YELL.02875,Pinus contorta Douglas ex Loudon,PICO,UNMEASURED,Never measured in survey campaigns
YELL,YELL_018,NEON.PLA.D12.YELL.06639,Artemisia tridentata Nutt.,ARTR2,UNMEASURED,Never measured in survey campaigns
YELL,YELL_010,NEON.PLA.D12.YELL.06649,Artemisia tridentata Nutt.,ARTR2,UNMEASURED,Never measured in survey campaigns
YELL,YELL_002,NEON.PLA.D12.YELL.06699,Artemisia tridentata Nutt.,ARTR2,UNMEASURED,Never measured in survey campaigns
YELL,YELL_044,NEON.PLA.D12.YELL.06757,Populus tremuloides Michx.,POTR5,UNMEASURED,Never measured in survey campaigns
YELL,YELL_009,NEON.PLA.D12.YELL.02208,Juniperus communis L.,JUCO6,UNMEASURED,Never measured in survey campaigns
YELL,YELL_009,NEON.PLA.D12.YELL.02212,Pseudotsuga menziesii (Mirb.) Franco,PSME,UNMEASURED,Never measured in survey campaigns
YELL,YELL_021,NEON.PLA.D12.YELL.02877,Pseudotsuga menziesii (Mirb.) Franco,PSME,UNMEASURED,Never measured in survey campaigns
YELL,YELL_009,NEON.PLA.D12.YELL.02210,Pseudotsuga menziesii (Mirb.) Franco,PSME,UNMEASURED,Never measured in survey campaigns
YELL,YELL_016,NEON.PLA.D12.YELL.06669,Artemisia tridentata Nutt.,ARTR2,UNMEASURED,Never measured in survey campaigns
YELL,YELL_018,NEON.PLA.D12.YELL.06638,Artemisia tridentata Nutt.,ARTR2,UNMEASURED,Never measured in survey campaigns
YELL,YELL_046,NEON.PLA.D12.YELL.01560,Pseudotsuga menziesii (Mirb.) Franco,PSME,UNMEASURED,Never measured in survey campaigns
YELL,YELL_023,NEON.PLA.D12.YELL.06646,Pseudotsuga menziesii (Mirb.) Franco,PSME,UNMEASURED,Never measured in survey campaigns
YELL,YELL_005,NEON.PLA.D12.YELL.02139,Artemisia tridentata Nutt.,ARTR2,UNMEASURED,Never measured in survey campaigns
YELL,YELL_047,NEON.PLA.D12.YELL.02217,Populus tremuloides Michx.,POTR5,UNMEASURED,Never measured in survey campaigns
YELL,YELL_016,NEON.PLA.D12.YELL.06684,Artemisia cana Pursh,ARCA13,UNMEASURED,Never measured in survey campaigns
YELL,YELL_053,NEON.PLA.D12.YELL.02982,Shepherdia canadensis (L.) Nutt.,SHCA,UNMEASURED,Never measured in survey campaigns
YELL,YELL_022,NEON.PLA.D12.YELL.00718,Pseudotsuga menziesii (Mirb.) Franco,PSME,UNMEASURED,Never measured in survey campaigns
YELL,YELL_008,NEON.PLA.D12.YELL.06664,Artemisia tridentata Nutt.,ARTR2,UNMEASURED,Never measured in survey campaigns
YELL,YELL_020,NEON.PLA.D12.YELL.06754,Juniperus communis L.,JUCO6,UNMEASURED,Never measured in survey campaigns
YELL,YELL_009,NEON.PLA.D12.YELL.02214,Pseudotsuga menziesii (Mirb.) Franco,PSME,UNMEASURED,Never measured in survey campaigns
YELL,YELL_005,NEON.PLA.D12.YELL.02150,Artemisia tridentata Nutt.,ARTR2,UNMEASURED,Never measured in survey campaigns
YELL,YELL_005,NEON.PLA.D12.YELL.02124,Artemisia tridentata Nutt.,ARTR2,UNMEASURED,Never measured in survey campaigns
YELL,YELL_002,NEON.PLA.D12.YELL.06693,Artemisia tridentata Nutt.,ARTR2,UNMEASURED,Never measured in survey campaigns
YELL,YELL_050,NEON.PLA.D12.YELL.02888Z,Shepherdia canadensis (L.) Nutt.,SHCA,UNMEASURED,Never measured in survey campaigns
YELL,YELL_005,NEON.PLA.D12.YELL.02142,Artemisia tridentata Nutt.,ARTR2,UNMEASURED,Never measured in survey campaigns
YELL,YELL_021,NEON.PLA.D12.YELL.00589,Shepherdia canadensis (L.) Nutt.,SHCA,UNMEASURED,Never measured in survey campaigns
YELL,YELL_010,NEON.PLA.D12.YELL.06650,Artemisia tridentata Nutt.,ARTR2,UNMEASURED,Never measured in survey campaigns
YELL,YELL_008,NEON.PLA.D12.YELL.06661,Artemisia tridentata Nutt.,ARTR2,UNMEASURED,Never measured in survey campaigns
YELL,YELL_057,NEON.PLA.D12.YELL.02886Z,Shepherdia canadensis (L.) Nutt.,SHCA,UNMEASURED,Never measured in survey campaigns
YELL,YELL_012,NEON.PLA.D12.YELL.01561,Juniperus communis L.,JUCO6,UNMEASURED,Never measured in survey campaigns
YELL,YELL_022,NEON.PLA.D12.YELL.06752,Populus tremuloides Michx.,POTR5,UNMEASURED,Never measured in survey campaigns
YELL,YELL_008,NEON.PLA.D12.YELL.06663,Artemisia tridentata Nutt.,ARTR2,UNMEASURED,Never measured in survey campaigns
YELL,YELL_006,NEON.PLA.D12.YELL.02167,Artemisia tridentata Nutt.,ARTR2,UNMEASURED,Never measured in survey campaigns
YELL,YELL_002,NEON.PLA.D12.YELL.01566,Artemisia tridentata Nutt.,ARTR2,UNMEASURED,Never measured in survey campaigns
YELL,YELL_012,NEON.PLA.D12.YELL.01567,Juniperus communis L.,JUCO6,UNMEASURED,Never measured in survey campaigns
YELL,YELL_043,NEON.PLA.D12.YELL.02897Z,Pseudotsuga menziesii (Mirb.) Franco,PSME,UNMEASURED,Never measured in survey campaigns
YELL,YELL_022,NEON.PLA.D12.YELL.02198Z,Pinus contorta Douglas ex Loudon,PICO,UNMEASURED,Never measured in survey campaigns
YELL,YELL_005,NEON.PLA.D12.YELL.02138,Artemisia tridentata Nutt.,ARTR2,UNMEASURED,Never measured in survey campaigns
YELL,YELL_002,NEON.PLA.D12.YELL.02219,Artemisia tridentata Nutt.,ARTR2,UNMEASURED,Never measured in survey campaigns
YELL,YELL_021,NEON.PLA.D12.YELL.00599,Juniperus communis L.,JUCO6,UNMEASURED,Never measured in survey campaigns
YELL,YELL_011,NEON.PLA.D12.YELL.02409,Artemisia tridentata Nutt.,ARTR2,UNMEASURED,Never measured in survey campaigns
YELL,YELL_005,NEON.PLA.D12.YELL.02144,Artemisia tridentata Nutt.,ARTR2,UNMEASURED,Never measured in survey campaigns
YELL,YELL_054,NEON.PLA.D12.YELL.02889Z,Populus tremuloides Michx.,POTR5,UNMEASURED,Never measured in survey campaigns
YELL,YELL_012,NEON.PLA.D12.YELL.01547,Juniperus communis L.,JUCO6,UNMEASURED,Never measured in survey campaigns
YELL,YELL_005,NEON.PLA.D12.YELL.02133,Artemisia tridentata Nutt.,ARTR2,UNMEASURED,Never measured in survey campaigns
YELL,YELL_010,NEON.PLA.D12.YELL.00131,Artemisia tridentata Nutt.,ARTR2,UNMEASURED,Never measured in survey campaigns
YELL,YELL_003,NEON.PLA.D12.YELL.06671,Artemisia tridentata Nutt.,ARTR2,UNMEASURED,Never measured in survey campaigns
YELL,YELL_006,NEON.PLA.D12.YELL.02157,Artemisia tridentata Nutt.,ARTR2,UNMEASURED,Never measured in survey campaigns
YELL,YELL_005,NEON.PLA.D12.YELL.02125,Artemisia tridentata Nutt.,ARTR2,UNMEASURED,Never measured in survey campaigns
YELL,YELL_013,NEON.PLA.D12.YELL.02122,Artemisia tridentata Nutt.,ARTR2,UNMEASURED,Never measured in survey campaigns
YELL,YELL_046,NEON.PLA.D12.YELL.01565,Pseudotsuga menziesii (Mirb.) Franco,PSME,UNMEASURED,Never measured in survey campaigns
YELL,YELL_005,NEON.PLA.D12.YELL.02145,Artemisia tridentata Nutt.,ARTR2,UNMEASURED,Never measured in survey campaigns
YELL,YELL_005,NEON.PLA.D12.YELL.02131,Artemisia tridentata Nutt.,ARTR2,UNMEASURED,Never measured in survey campaigns
YELL,YELL_021,NEON.PLA.D12.YELL.02881,Pinus contorta Douglas ex Loudon,PICO,UNMEASURED,Never measured in survey campaigns
YELL,YELL_005,NEON.PLA.D12.YELL.02134,Artemisia tridentata Nutt.,ARTR2,UNMEASURED,Never measured in survey campaigns
YELL,YELL_005,NEON.PLA.D12.YELL.02137,Artemisia tridentata Nutt.,ARTR2,UNMEASURED,Never measured in survey campaigns
YELL,YELL_009,NEON.PLA.D12.YELL.06689,Pseudotsuga menziesii (Mirb.) Franco,PSME,UNMEASURED,Never measured in survey campaigns
YELL,YELL_021,NEON.PLA.D12.YELL.00618,Pinus albicaulis Engelm.,PIAL,UNMEASURED,Never measured in survey campaigns
YELL,YELL_009,NEON.PLA.D12.YELL.02209,Pseudotsuga menziesii (Mirb.) Franco,PSME,UNMEASURED,Never measured in survey campaigns
YELL,YELL_044,NEON.PLA.D12.YELL.01570,Populus tremuloides Michx.,POTR5,UNMEASURED,Never measured in survey campaigns
YELL,YELL_021,NEON.PLA.D12.YELL.00594,Juniperus communis L.,JUCO6,UNMEASURED,Never measured in survey campaigns
YELL,YELL_009,NEON.PLA.D12.YELL.02215,Pseudotsuga menziesii (Mirb.) Franco,PSME,UNMEASURED,Never measured in survey campaigns
YELL,YELL_005,NEON.PLA.D12.YELL.02132,Artemisia tridentata Nutt.,ARTR2,UNMEASURED,Never measured in survey campaigns
YELL,YELL_023,NEON.PLA.D12.YELL.06642,Pseudotsuga menziesii (Mirb.) Franco,PSME,UNMEASURED,Never measured in survey campaigns
YELL,YELL_021,NEON.PLA.D12.YELL.00613,Juniperus communis L.,JUCO6,UNMEASURED,Never measured in survey campaigns
YELL,YELL_003,NEON.PLA.D12.YELL.06672,Artemisia tridentata Nutt.,ARTR2,UNMEASURED,Never measured in survey campaigns
YELL,YELL_010,NEON.PLA.D12.YELL.06654,Artemisia tridentata Nutt.,ARTR2,UNMEASURED,Never measured in survey campaigns
YELL,YELL_005,NEON.PLA.D12.YELL.02141,Artemisia tridentata Nutt.,ARTR2,UNMEASURED,Never measured in survey campaigns
YELL,YELL_002,NEON.PLA.D12.YELL.06698,Artemisia tridentata Nutt.,ARTR2,UNMEASURED,Never measured in survey campaigns
YELL,YELL_012,NEON.PLA.D12.YELL.01546,Juniperus communis L.,JUCO6,UNMEASURED,Never measured in survey campaigns
YELL,YELL_012,NEON.PLA.D12.YELL.02900Z,Juniperus communis L.,JUCO6,UNMEASURED,Never measured in survey campaigns
YELL,YELL_022,NEON.PLA.D12.YELL.02115,Populus tremuloides Michx.,POTR5,UNMEASURED,Never measured in survey campaigns
